seq,word,phonetic,exchange,trans,
0001,一,yī
0002,乙,yǐ
0003,二,èr
0004,十,shí
0005,丁,dīng
0006,厂,chǎng
0007,七,qī
0008,卜,bo，bǔ
0009,八,bā
0010,人,rén
0011,入,rù
0012,儿,ér
0013,匕,bǐ
0014,几,jī，jǐ
0015,九,jiǔ
0016,刁,diāo
0017,了,le，liǎo
0018,刀,dāo
0019,力,lì
0020,乃,nǎi
0021,又,yòu
0022,三,sān
0023,干,gān，gàn
0024,于,yú
0025,亏,kuī
0026,工,gōng
0027,土,tǔ
0028,士,shì
0029,才,cái
0030,下,xià
0031,寸,cùn
0032,大,dà，dài
0033,丈,zhàng
0034,与,yǔ，yù
0035,万,mò，wàn
0036,上,shǎng，shàng
0037,小,xiǎo
0038,口,kǒu
0039,山,shān
0040,巾,jīn
0041,千,qiān
0042,乞,qǐ
0043,川,chuān
0044,亿,yì
0045,个,gě，gè
0046,夕,xī
0047,久,jiǔ
0048,么,me
0049,勺,sháo
0050,凡,fán
0051,丸,wán
0052,及,jí
0053,广,guǎng
0054,亡,wáng
0055,门,mén
0056,丫,yā
0057,义,yì
0058,之,zhī
0059,尸,shī
0060,己,jǐ
0061,已,yǐ
0062,巳,sì
0063,弓,gōng
0064,子,zǐ
0065,卫,wèi
0066,也,yě
0067,女,nǚ
0068,刃,rèn
0069,飞,fēi
0070,习,xí
0071,叉,chā，chá，chǎ，chà
0072,马,mǎ
0073,乡,xiāng
0074,丰,fēng
0075,王,wáng
0076,开,kāi
0077,井,jǐng
0078,天,tiān
0079,夫,fū
0080,元,yuán
0081,无,mó，wú
0082,云,yún
0083,专,zhuān
0084,丐,gài
0085,扎,zā，zhā，zhá
0086,艺,yì
0087,木,mù
0088,五,wǔ
0089,支,zhī
0090,厅,tīng
0091,不,bù
0092,犬,quǎn
0093,太,tài
0094,区,ōu，qū
0095,历,lì
0096,歹,dǎi
0097,友,yǒu
0098,尤,yóu
0099,匹,pǐ
0100,车,chē，jū
