seq,word,pinyins,strokes,strokesok
0001,一,yī,一,true(a1~e1)
0002,乙,yǐ,⺄,true(a1~e1)
0003,二,èr,一 一,true(a2~e2)
0004,十,shí,一 丨,true(a2~e2)
0005,丁,dīng、zhēng,一 亅,true(a2~e2)
0006,厂,chǎng、ān、hàn,一 丿,true(a2~e2)
0007,七,qī,一 乚,true(a2~e2)
0008,卜,bo、bǔ,丨 丶,true(a2~e2)
0009,八,bā,丿 ㇏,true(a2~e2)
0010,人,rén,丿 ㇏,true(a2~e2)
0011,入,rù,丿 ㇏,true(a2~e2)
0012,儿,ér,丿 乚,true(a2~e2)
0013,匕,bǐ,丿 乚,true(a2~e2)
0014,几,jī、jǐ,丿 ⺄,true(a2~e2)
0015,九,jiǔ,丿 ⺄,true(a2~e2)
0016,刁,diāo,𠃌 ㇀,true(a2~e2)
0017,了,le、liǎo,㇇ 亅,true(a2~e2)
0018,刀,dāo,𠃌 丿,true(a2~e2)
0019,力,lì,𠃌 丿,true(a2~e2)
0020,乃,nǎi,𠄎 丿,true(a2~e2)
0021,又,yòu,㇇ ㇏,true(a2~e2)
0022,三,sān,一 一 一,true(a3~e3)
0023,干,gān、gàn,一 一 丨,true(a3~e3)
0024,于,yú,一 一 亅,true(a3~e3)
0025,亏,kuī,一 一 ㇉,true(a3~e3)
0026,工,gōng,一 丨 一,true(a3~e3)
0027,土,tǔ,一 丨 一,true(a3~e3)
0028,士,shì,一 丨 一,true(a3~e3)
0029,才,cái,一 亅 丿,true(a3~e3)
0030,下,xià,一 丨 丶,true(a3~e3)
0031,寸,cùn,一 亅 丶,true(a3~e3)
0032,大,dà、dài、tài,一 丿 ㇏,true(a3~e3)
0033,丈,zhàng,一 丿 ㇏,true(a3~e3)
0034,与,yǔ、yù、yú,一 ㇉ 一,true(a3~e3)
0035,万,wàn、mò,一 𠃌 丿,true(a3~e3)
0036,上,shàng、shǎng,丨 一 一,true(a3~e3)
0037,小,xiǎo,亅 丿 丶,true(a3~e3)
0038,口,kǒu,丨 𠃍 一,true(a3~e3)
0039,山,shān,丨 ㇄ 丨,true(a3~e3)
0040,巾,jīn,丨 𠃌 丨,true(a3~e3)
0041,千,qiān,丿 一 丨,true(a3~e3)
0042,乞,qǐ,丿 一 ⺄,true(a3~e3)
0043,川,chuān,丿 丨 丨,true(a3~e3)
0044,亿,yì,丿 丨 ⺄,true(a3~e3)
0045,个,gè、gě,丿 ㇏ 丨,true(a3~e3)
0046,夕,xī,丿 ㇇ 丶,true(a3~e3)
0047,久,jiǔ,丿 ㇇ ㇏,true(a3~e3)
0048,么,me、mó、ma、yāo,丿 𠃋 丶,true(a3~e3)
0049,勺,sháo,丿 𠃌 丶,true(a3~e3)
0050,凡,fán,丿 ⺄ 丶,true(a3~e3)
0051,丸,wán,丿 ⺄ 丶,true(a3~e3)
0052,及,jí,丿 ㇋ ㇏,true(a3~e3)
0053,广,guǎng、ān,丶 一 丿,true(a3~e3)
0054,亡,wáng、wú,丶 一 ㇄,true(a3~e3)
0055,门,mén,丶 丨 𠃌,true(a3~e3)
0056,丫,yā,丶 丿 丨,true(a3~e3)
0057,义,yì,丶 丿 ㇏,true(a3~e3)
0058,之,zhī,丶 ㇇ ㇏,true(a3~e3)
0059,尸,shī,𠃍 一 丿,true(a3~e3)
0060,己,jǐ,𠃍 一 乚,true(a3~e3)
0061,已,yǐ,𠃍 一 乚,true(a3~e3)
0062,巳,sì,𠃍 一 乚,true(a3~e3)
0063,弓,gōng,𠃍 一 ㇉,true(a3~e3)
0064,子,zǐ,乛 亅 一,true(a3~e3)
0065,卫,wèi,𠃌 丨 一,true(a3~e3)
0066,也,yě,𠃌 丨 乚,true(a3~e3)
0067,女,nǚ、rǔ,𡿨 丿 一,true(a3~e3)
0068,刃,rèn,𠃌 丿 ㇀,true(a3~e3)
0069,飞,fēi,⺄ 丿 丶,true(a3~e3)
0070,习,xí,𠃌 丶 ㇀,true(a3~e3)
0071,叉,chā、chá、chǎ、chà,㇇ ㇏ 丶,true(a3~e3)
0072,马,mǎ,𠃍 ㇉ 一,true(a3~e3)
0073,乡,xiāng,𠃋 𠃋 丿,true(a3~e3)
0074,丰,fēng,一 一 一 丨,true(a4~e4)
0075,王,wáng、wàng,一 一 丨 一,true(a4~e4)
0076,开,kāi,一 一 丿 丨,true(a4~e4)
0077,井,jǐng,一 一 丿 丨,true(a4~e4)
0078,天,tiān,一 一 丿 ㇏,true(a4~e4)
0079,夫,fū、fú,一 一 丿 ㇏,true(a4~e4)
0080,元,yuán,一 一 丿 乚,true(a4~e4)
0081,无,mó、wú,一 一 丿 乚,true(a4~e4)
0082,云,yún,一 一 𠃋 丶,true(a4~e4)
0083,专,zhuān,一 一 ㄣ 丶,true(a4~e4)
0084,丐,gài,一 丨 一 ㇉,true(a4~e4)
0085,扎,zā、zhā、zhá,一 亅 ㇀ 乚,true(a4~e4)
0086,艺,yì,一 丨 丨 ⺄,true(a4~e4)
0087,木,mù,一 丨 丿 ㇏,true(a4~e4)
0088,五,wǔ,一 丨 𠃍 一,true(a4~e4)
0089,支,zhī,一 丨 ㇇ ㇏,true(a4~e4)
0090,厅,tīng,一 丿 一 亅,true(a4~e4)
0091,不,bù、fǒu,一 丿 丨 丶,true(a4~e4)
0092,犬,quǎn,一 丿 ㇏ 丶,true(a4~e4)
0093,太,tài,一 丿 ㇏ 丶,true(a4~e4)
0094,区,ōu、qū,一 丿 丶 ㇄,true(a4~e4)
0095,历,lì,一 丿 𠃌 丿,true(a4~e4)
0096,歹,dǎi,一 丿 ㇇ 丶,true(a4~e4)
0097,友,yǒu,一 丿 ㇇ ㇏,true(a4~e4)
0098,尤,yóu,一 丿 乚 丶,true(a4~e4)
0099,匹,pǐ,一 丿 乚 ㇄,true(a4~e4)
0100,车,chē、jū,一 𠃋 一 丨,true(a4~e4)
0101,巨,jù,一 𠃍 一 ㇄,true(a4~e4)
0102,牙,yá,一 𠃋 亅 丿,true(a4~e4)
0103,屯,tún、zhūn,一 ㇄ 丨 乚,true(a4~e4)
0104,戈,gē,一 ㇂ 丿 丶,true(a4~e4)
0105,比,bǐ,一 𠄌 丿 乚,true(a4~e4)
0106,互,hù,一 𠃋 ㇇ 一,true(a4~e4)
0107,切,qiē、qiè,一 𠄌 𠃌 丿,true(a4~e4)
0108,瓦,wǎ、wà,一 𠄌 ⺄ 丶,true(a4~e4)
0109,止,zhǐ,丨 一 丨 一,true(a4~e4)
0110,少,shǎo、shào,丨 丿 丶 丿,true(a4~e4)
0111,曰,yuē,丨 𠃍 一 一,true(a4~e4)
0112,日,rì,丨 𠃍 一 一,true(a4~e4)
0113,中,zhōng、zhòng,丨 𠃍 一 丨,true(a4~e4)
0114,贝,bèi,丨 𠃍 丿 丶,true(a4~e4)
0115,冈,gāng,丨 𠃌 丿 丶,true(a4~e4)
0116,内,nèi、nà,丨 𠃌 丿 丶,true(a4~e4)
0117,水,shuǐ,亅 ㇇ 丿 ㇏,true(a4~e4)
0118,见,jiàn、xiàn,丨 𠃍 丿 乚,true(a4~e4)
0119,午,wǔ,丿 一 一 丨,true(a4~e4)
0120,牛,niú,丿 一 一 丨,true(a4~e4)
0121,手,shǒu,丿 一 一 亅,true(a4~e4)
0122,气,qì,丿 一 一 ⺄,true(a4~e4)
0123,毛,máo,丿 一 一 乚,true(a4~e4)
0124,壬,rén,丿 一 丨 一,true(a4~e4)
0125,升,shēng,丿 一 丿 丨,true(a4~e4)
0126,夭,yāo,丿 一 丿 ㇏,true(a4~e4)
0127,长,cháng、zhǎng,丿 一 𠄌 ㇏,true(a4~e4)
0128,仁,rén,丿 丨 一 一,true(a4~e4)
0129,什,shén、shí,丿 丨 一 丨,true(a4~e4)
0130,片,piān、piàn,丿 丨 一 𠃍,true(a4~e4)
0131,仆,pū、pú,丿 丨 丨 丶,true(a4~e4)
0132,化,huà、huā,丿 丨 丿 乚,true(a4~e4)
0133,仇,chóu、qiú,丿 丨 丿 ⺄,true(a4~e4)
0134,币,bì,丿 丨 𠃌 丨,true(a4~e4)
0135,仍,réng,丿 丨 𠄎 丿,true(a4~e4)
0136,仅,jǐn、jìn,丿 丨 ㇇ ㇏,true(a4~e4)
0137,斤,jīn,丿 丿 一 丨,true(a4~e4)
0138,爪,zhǎo、zhuǎ,丿 丿 丨 ㇏,true(a4~e4)
0139,反,fǎn,丿 丿 ㇇ ㇏,true(a4~e4)
0140,介,jiè,丿 ㇏ 丿 丨,true(a4~e4)
0141,父,fù、fǔ,丿 丶 丿 ㇏,true(a4~e4)
0142,从,cóng、zòng,丿 丶 丿 ㇏,true(a4~e4)
0143,仑,lún,丿 ㇏ 丿 乚,true(a4~e4)
0144,今,jīn,丿 ㇏ 丶 ㇇,true(a4~e4)
0145,凶,xiōng,丿 丶 ㇄ 丨,true(a4~e4)
0146,分,fēn、fèn,丿 ㇏ 𠃌 丿,true(a4~e4)
0147,乏,fá,丿 丶 ㇇ ㇏,true(a4~e4)
0148,公,gōng,丿 ㇏ 𠃋 丶,true(a4~e4)
0149,仓,cāng,丿 ㇏ 𠃌 乚,true(a4~e4)
0150,月,yuè,丿 𠃌 一 一,true(a4~e4)
0151,氏,shì、zhī,丿 𠄌 一 ㇂,true(a4~e4)
0152,勿,wù,丿 𠃌 丿 丿,true(a4~e4)
0153,欠,qiàn,丿 ㇇ 丿 ㇏,true(a4~e4)
0154,风,fēng、fěng,丿 ⺄ 丿 丶,true(a4~e4)
0155,丹,dān,丿 𠃌 丶 一,true(a4~e4)
0156,匀,yún,丿 𠃌 丶 ㇀,true(a4~e4)
0157,乌,wū,丿 𠃌 ㇉ 一,true(a4~e4)
0158,勾,gōu、gòu,丿 𠃌 𠃋 丶,true(a4~e4)
0159,凤,fèng,丿 ⺄ ㇇ 丶,true(a4~e4)
0160,六,liù、lù,丶 一 丿 丶,true(a4~e4)
0161,文,wén,丶 一 丿 ㇏,true(a4~e4)
0162,亢,kàng,丶 一 丿 ⺄,true(a4~e4)
0163,方,fāng,丶 一 𠃌 丿,true(a4~e4)
0164,火,huǒ,㇀ 丿 丿 ㇏,true(a4~e4)
0165,为,wéi、wèi,丶 丿 𠃌 丶,true(a4~e4)
0166,斗,dǒu、dòu,丶 丶 一 丨,true(a4~e4)
0167,忆,yì,㇀ 丶 丨 ⺄,true(a4~e4)
0168,计,jì,丶 ㇊ 一 丨,true(a4~e4)
0169,订,dìng,丶 ㇊ 一 亅,true(a4~e4)
0170,户,hù,丶 𠃍 一 丿,true(a4~e4)
0171,认,rèn,丶 ㇊ 丿 ㇏,true(a4~e4)
0172,冗,rǒng,㇀ 乛 丿 ⺄,true(a4~e4)
0173,讥,jī,丶 ㇊ 丿 ⺄,true(a4~e4)
0174,心,xīn,㇀ ㇃ 丶 丶,true(a4~e4)
