seq,word
0001/2500,阿
0002/2500,啊
0003/2500,哎
0004/2500,哀
0005/2500,唉
0006/2500,埃
0007/2500,挨
0008/2500,癌
0009/2500,矮
0010/2500,艾
0011/2500,爱
0012/2500,碍
0013/2500,安
0014/2500,氨
0015/2500,俺
0016/2500,岸
0017/2500,按
0018/2500,案
0019/2500,暗
0020/2500,昂
0021/2500,凹
0022/2500,熬
0023/2500,傲
0024/2500,奥
0025/2500,澳
0026/2500,八
0027/2500,巴
0028/2500,叭
0029/2500,吧
0030/2500,拔
0031/2500,把
0032/2500,坝
0033/2500,爸
0034/2500,罢
0035/2500,霸
0036/2500,白
0037/2500,百
0038/2500,柏
0039/2500,摆
0040/2500,败
0041/2500,拜
0042/2500,班
0043/2500,般
0044/2500,颁
0045/2500,斑
0046/2500,搬
0047/2500,板
0048/2500,版
0049/2500,办
0050/2500,半
0051/2500,伴
0052/2500,扮
0053/2500,瓣
0054/2500,邦
0055/2500,帮
0056/2500,膀
0057/2500,傍
0058/2500,棒
0059/2500,包
0060/2500,胞
0061/2500,宝
0062/2500,饱
0063/2500,保
0064/2500,堡
0065/2500,报
0066/2500,抱
0067/2500,豹
0068/2500,暴
0069/2500,爆
0070/2500,卑
0071/2500,杯
0072/2500,悲
0073/2500,碑
0074/2500,北
0075/2500,贝
0076/2500,备
0077/2500,背
0078/2500,倍
0079/2500,被
0080/2500,辈
0081/2500,奔
0082/2500,本
0083/2500,崩
0084/2500,逼
0085/2500,鼻
0086/2500,比
0087/2500,彼
0088/2500,笔
0089/2500,币
0090/2500,必
0091/2500,毕
0092/2500,闭
0093/2500,辟
0094/2500,碧
0095/2500,蔽
0096/2500,壁
0097/2500,避
0098/2500,臂
0099/2500,边
0100/2500,编
0101/2500,蝙
0102/2500,鞭
0103/2500,扁
0104/2500,便
0105/2500,变
0106/2500,遍
0107/2500,辨
0108/2500,辩
0109/2500,标
0110/2500,表
0111/2500,别
0112/2500,宾
0113/2500,滨
0114/2500,冰
0115/2500,兵
0116/2500,丙
0117/2500,柄
0118/2500,饼
0119/2500,并
0120/2500,病
0121/2500,拨
0122/2500,波
0123/2500,玻
0124/2500,剥
0125/2500,播
0126/2500,脖
0127/2500,伯
0128/2500,驳
0129/2500,泊
0130/2500,勃
0131/2500,博
0132/2500,搏
0133/2500,膊
0134/2500,薄
0135/2500,卜
0136/2500,补
0137/2500,捕
0138/2500,不
0139/2500,布
0140/2500,步
0141/2500,部
0142/2500,擦
0143/2500,猜
0144/2500,才
0145/2500,材
0146/2500,财
0147/2500,裁
0148/2500,釆
0149/2500,彩
0150/2500,踩
0151/2500,菜
0152/2500,蔡
0153/2500,参
0154/2500,餐
0155/2500,残
0156/2500,蚕
0157/2500,惨
0158/2500,灿
0159/2500,仓
0160/2500,苍
0161/2500,舱
0162/2500,藏
0163/2500,操
0164/2500,曹
0165/2500,槽
0166/2500,草
0167/2500,册
0168/2500,侧
0169/2500,测
0170/2500,策
0171/2500,层
0172/2500,叉
0173/2500,插
0174/2500,查
0175/2500,茶
0176/2500,察
0177/2500,差
0178/2500,拆
0179/2500,柴
0180/2500,缠
0181/2500,产
0182/2500,阐
0183/2500,颤
0184/2500,昌
0185/2500,长
0186/2500,肠
0187/2500,尝
0188/2500,偿
0189/2500,常
0190/2500,厂
0191/2500,场
0192/2500,畅
0193/2500,倡
0194/2500,唱
0195/2500,抄
0196/2500,超
0197/2500,巢
0198/2500,朝
0199/2500,潮
0200/2500,吵
0201/2500,炒
0202/2500,车
0203/2500,扯
0204/2500,彻
0205/2500,撤
0206/2500,尘
0207/2500,臣
0208/2500,沉
0209/2500,陈
0210/2500,晨
0211/2500,衬
0212/2500,称
0213/2500,趁
0214/2500,撑
0215/2500,成
0216/2500,呈
0217/2500,承
0218/2500,诚
0219/2500,城
0220/2500,乘
0221/2500,惩
0222/2500,程
0223/2500,橙
0224/2500,吃
0225/2500,池
0226/2500,驰
0227/2500,迟
0228/2500,持
0229/2500,匙
0230/2500,尺
0231/2500,齿
0232/2500,斥
0233/2500,赤
0234/2500,翅
0235/2500,充
0236/2500,冲
0237/2500,虫
0238/2500,崇
0239/2500,抽
0240/2500,仇
0241/2500,绸
0242/2500,愁
0243/2500,筹
0244/2500,酬
0245/2500,丑
0246/2500,瞅
0247/2500,臭
0248/2500,出
0249/2500,初
0250/2500,除
0251/2500,厨
0252/2500,础
0253/2500,储
0254/2500,楚
0255/2500,处
0256/2500,触
0257/2500,川
0258/2500,穿
0259/2500,传
0260/2500,船
0261/2500,喘
0262/2500,串
0263/2500,窗
0264/2500,床
0265/2500,闯
0266/2500,创
0267/2500,吹
0268/2500,垂
0269/2500,锤
0270/2500,春
0271/2500,纯
0272/2500,唇
0273/2500,醇
0274/2500,词
0275/2500,瓷
0276/2500,慈
0277/2500,辞
0278/2500,磁
0279/2500,雌
0280/2500,此
0281/2500,次
0282/2500,刺
0283/2500,匆
0284/2500,葱
0285/2500,聪
0286/2500,从
0287/2500,丛
0288/2500,凑
0289/2500,粗
0290/2500,促
0291/2500,催
0292/2500,脆
0293/2500,翠
0294/2500,村
0295/2500,存
0296/2500,寸
0297/2500,措
0298/2500,错
0299/2500,搭
0300/2500,达
0301/2500,答
0302/2500,打
0303/2500,大
0304/2500,呆
0305/2500,代
0306/2500,带
0307/2500,待
0308/2500,袋
0309/2500,逮
0310/2500,戴
0311/2500,丹
0312/2500,单
0313/2500,担
0314/2500,胆
0315/2500,旦
0316/2500,但
0317/2500,诞
0318/2500,弹
0319/2500,淡
0320/2500,蛋
0321/2500,氮
0322/2500,当
0323/2500,挡
0324/2500,党
0325/2500,荡
0326/2500,刀
0327/2500,导
0328/2500,岛
0329/2500,倒
0330/2500,蹈
0331/2500,到
0332/2500,盗
0333/2500,道
0334/2500,稻
0335/2500,得
0336/2500,德
0337/2500,的
0338/2500,灯
0339/2500,登
0340/2500,等
0341/2500,邓
0342/2500,凳
0343/2500,瞪
0344/2500,低
0345/2500,堤
0346/2500,滴
0347/2500,迪
0348/2500,敌
0349/2500,笛
0350/2500,底
0351/2500,抵
0352/2500,地
0353/2500,弟
0354/2500,帝
0355/2500,递
0356/2500,第
0357/2500,颠
0358/2500,典
0359/2500,点
0360/2500,电
0361/2500,店
0362/2500,垫
0363/2500,淀
0364/2500,殿
0365/2500,雕
0366/2500,吊
0367/2500,钓
0368/2500,调
0369/2500,掉
0370/2500,爹
0371/2500,跌
0372/2500,叠
0373/2500,蝶
0374/2500,丁
0375/2500,叮
0376/2500,盯
0377/2500,钉
0378/2500,顶
0379/2500,订
0380/2500,定
0381/2500,丢
0382/2500,东
0383/2500,冬
0384/2500,懂
0385/2500,动
0386/2500,冻
0387/2500,洞
0388/2500,都
0389/2500,斗
0390/2500,抖
0391/2500,陡
0392/2500,豆
0393/2500,督
0394/2500,毒
0395/2500,读
