seq,word
1,一
2,二
3,十
4,厂
5,七
6,儿
7,八
8,人
9,入
10,几
11,九
12,了
13,刀
14,力
15,又
16,三
17,干
18,工
19,土
20,才
21,下
22,大
23,上
24,小
25,口
26,山
27,巾
28,千
29,个
30,广
31,门
32,己
33,子
34,也
35,女
36,飞
37,习
38,马
39,王
40,开
41,天
42,元
43,云
44,木
45,五
46,不
47,太
48,友
49,车
50,牙
51,比
52,切
53,止
54,少
55,日
56,中
57,贝
58,内
59,水
60,见
61,午
62,牛
63,手
64,气
65,毛
66,长
67,片
68,爪
69,反
70,父
71,从
72,今
73,分
74,公
75,月
76,风
77,六
78,文
79,方
80,火
81,户
82,心
83,双
84,书
85,玉
86,打
87,正
88,去
89,古
90,本
91,可
92,左
93,石
94,右
95,平
96,北
97,旦
98,目
99,电
100,田
101,叫
102,四
103,生
104,禾
105,们
106,白
107,他
108,瓜
109,用
110,册
111,外
112,冬
113,鸟
114,包
115,主
116,市
117,立
118,半
119,让
120,出
121,奶
122,加
123,皮
124,母
125,动
126,老
127,地
128,耳
129,共
130,机
131,过
132,在
133,百
134,有
135,页
136,光
137,当
138,早
139,虫
140,同
141,吃
142,回
143,网
144,肉
145,年
146,先
147,竹
148,自
149,向
150,后
151,行
152,全
153,会
154,合
155,爷
156,多
157,冰
158,交
159,衣
160,问
161,字
162,羊
163,关
164,米
165,灯
166,江
167,阳
168,阴
169,好
170,她
171,妈
172,羽
173,红
174,进
175,远
176,走
177,把
178,花
179,村
180,更
181,豆
182,医
183,来
184,时
185,里
186,足
187,男
188,吵
189,听
190,吹
191,财
192,钉
193,我
194,利
195,每
196,体
197,你
198,住
199,身
200,近
201,坐
202,岛
203,饭
204,床
205,库
206,间
207,快
208,灾
209,迟
210,张
211,玩
212,青
213,现
214,顶
215,抬
216,直
217,林
218,画
219,雨
220,到
221,亲
222,果
223,国
224,明
225,忠
226,和
227,的
228,金
229,爸
230,采
231,朋
232,鱼
233,狗
234,饱
235,京
236,放
237,河
238,学
239,空
240,房
241,视
242,话
243,织
244,经
245,春
246,城
247,草
248,面
249,轻
250,背
251,点
252,是
253,星
254,昨
255,看
256,胆
257,胖
258,亮
259,美
260,前
261,首
262,洗
263,穿
264,语
265,说
266,孩
267,班
268,起
269,都
270,校
271,样
272,桌
273,铅
274,笔
275,饿
276,高
277,站
278,海
279,家
280,被
281,祥
282,课
283,理
284,雪
285,常
286,晚
287,船
288,盒
289,彩
290,猫
291,着
292,情
293,煮
294,期
295,晴
296,跑
297,短
298,道
299,裤
300,跳
