seq,word,Unicode,pinyin
3501,乂,U+4E42,yì
3502,乜,U+4E5C,miē，niè
3503,兀,U+5140,wù
3504,弋,U+5F0B,yì
3505,孑,U+5B51,jié
3506,孓,U+5B53,jué
3507,幺,U+5E7A,yāo
3508,亓,U+4E93,qí
3509,韦,U+97E6,wéi
3510,廿,U+5EFF,niàn
3511,丏,U+4E0F,miǎn
3512,卅,U+5345,sà
3513,仄,U+4EC4,zè
3514,厄,U+5384,è
3515,仃,U+4EC3,dīng
3516,仉,U+4EC9,zhǎng
3517,仂,U+4EC2,lè
3518,兮,U+516E,xī
3519,刈,U+5208,yì
3520,爻,U+723B,yáo
3521,卞,U+535E,biàn
3522,闩,U+95E9,shuān
3523,讣,U+8BA3,fù
3524,尹,U+5C39,yǐn
3525,夬,U+592C,guài
3526,爿,U+723F,pán
3527,毋,U+6BCB,wú
3528,邗,U+9097,hán
3529,邛,U+909B,qióng
3530,艽,U+827D,jiāo
3531,艿,U+827F,nǎi
3532,札,U+672D,zhá
3533,叵,U+53F5,pǒ
3534,匝,U+531D,zā
3535,丕,U+4E15,pī
3536,匜,U+531C,yí
3537,劢,U+52A2,mài
3538,卟,U+535F,bǔ
3539,叱,U+53F1,chì
3540,叻,U+53FB,lè
3541,仨,U+4EE8,sā
3542,仕,U+4ED5,shì
3543,仟,U+4EDF,qiān
3544,仡,U+4EE1,gē
3545,仫,U+4EEB,mù
3546,仞,U+4EDE,rèn
3547,卮,U+536E,zhī
3548,氐,U+6C10,dī，dǐ
3549,犰,U+72B0,qiú
3550,刍,U+520D,chú
3551,邝,U+909D,kuàng
3552,邙,U+9099,máng
3553,汀,U+6C40,tīng
3554,讦,U+8BA6,jié
3555,讧,U+8BA7,hòng
3556,讪,U+8BAA,shàn
3557,讫,U+8BAB,qì
3558,尻,U+5C3B,kāo
3559,阡,U+9621,qiān
3560,尕,U+5C15,gǎ
3561,弁,U+5F01,biàn
3562,驭,U+9A6D,yù
3563,匡,U+5321,kuāng
3564,耒,U+8012,lěi
3565,玎,U+738E,dīng
3566,玑,U+7391,jī
3567,邢,U+90A2,xíng
3568,圩,U+5729,wéi，xū
3569,圬,U+572C,wū
3570,圭,U+572D,guī
3571,扦,U+6266,qiān
3572,圪,U+572A,gē
3573,圳,U+5733,zhèn
3574,圹,U+5739,kuàng
3575,扪,U+626A,mén
3576,圮,U+572E,pǐ
3577,圯,U+572F,yí
3578,芊,U+828A,qiān
3579,芍,U+828D,sháo
3580,芄,U+8284,wán
3581,芨,U+82A8,jī
3582,芑,U+8291,qǐ
3583,芎,U+828E,xiōng
3584,芗,U+8297,xiāng
3585,亘,U+4E98,gèn
3586,厍,U+538D,shè
3587,夼,U+593C,kuǎng
3588,戍,U+620D,shù
3589,尥,U+5C25,liào
3590,乩,U+4E69,jī
3591,旯,U+65EF,lá
3592,曳,U+66F3,yè
3593,岌,U+5C8C,jí
3594,屺,U+5C7A,qǐ
3595,凼,U+51FC,dàng
3596,囡,U+56E1,nān
3597,钇,U+9487,yǐ
3598,缶,U+7F36,fǒu
3599,氘,U+6C18,dāo
3600,氖,U+6C16,nǎi
3601,牝,U+725D,pìn
3602,伎,U+4F0E,jì
3603,伛,U+4F1B,yǔ
3604,伢,U+4F22,yá
3605,佤,U+4F64,wǎ
3606,仵,U+4EF5,wǔ
3607,伥,U+4F25,chāng
3608,伧,U+4F27,cāng
3609,伉,U+4F09,kàng
3610,伫,U+4F2B,zhù
3611,囟,U+56DF,xìn
3612,汆,U+6C46,cuān
3613,刖,U+5216,yuè
3614,夙,U+5919,sù
3615,旮,U+65EE,gā
3616,刎,U+520E,wěn
3617,犷,U+72B7,guǎng
3618,犸,U+72B8,mǎ
3619,舛,U+821B,chuǎn
3620,凫,U+51EB,fú
3621,邬,U+90AC,wū
3622,饧,U+9967,xíng
3623,汕,U+6C55,shàn
3624,汔,U+6C54,qì
3625,汐,U+6C50,xī
3626,汲,U+6C72,jí
3627,汜,U+6C5C,sì
3628,汊,U+6C4A,chà
3629,忖,U+5FD6,cǔn
3630,忏,U+5FCF,chàn
3631,讴,U+8BB4,ōu
3632,讵,U+8BB5,jù
3633,祁,U+7941,qí
3634,讷,U+8BB7,nè
3635,聿,U+807F,yù
3636,艮,U+826E,gěn，gèn
3637,厾,U+53BE,dū
3638,阱,U+9631,jǐng
3639,阮,U+962E,ruǎn
3640,阪,U+962A,bǎn
3641,丞,U+4E1E,chéng
3642,妁,U+5981,shuò
3643,牟,U+725F,móu，mù
3644,纡,U+7EA1,yū
3645,纣,U+7EA3,zhòu
3646,纥,U+7EA5,hé
3647,纨,U+7EA8,wán
3648,玕,U+7395,gān
3649,玙,U+7399,yú
3650,抟,U+629F,tuán
3651,抔,U+6294,póu
3652,圻,U+573B,qí
3653,坂,U+5742,bǎn
3654,坍,U+574D,tān
3655,坞,U+575E,wù
3656,抃,U+6283,biàn
3657,抉,U+6289,jué
3658,㧐,U+39D0,sǒng
3659,芫,U+82AB,yán，yuán
3660,邯,U+90AF,hán
3661,芸,U+82B8,yún
3662,芾,U+82BE,fèi，fú
3663,苈,U+82C8,lì
3664,苣,U+82E3,jù，qǔ
3665,芷,U+82B7,zhǐ
3666,芮,U+82AE,ruì
3667,苋,U+82CB,xiàn
3668,芼,U+82BC,mào
3669,苌,U+82CC,cháng
3670,苁,U+82C1,cōng
3671,芩,U+82A9,qín
3672,芪,U+82AA,qí
3673,芡,U+82A1,qiàn
3674,芟,U+829F,shān
3675,苄,U+82C4,biàn
3676,苎,U+82CE,zhù
3677,苡,U+82E1,yǐ
3678,杌,U+674C,wù
3679,杓,U+6753,biāo
3680,杞,U+675E,qǐ
3681,杈,U+6748,chā，chà
3682,忑,U+5FD1,tè
