seq,    word,Unicode,pinyin
0001/1605,亍,U+4E8D,chù
0002/1605,尢,U+5C22,wāng
0003/1605,彳,U+5F73,chì
0004/1605,卬,U+536C,áng
0005/1605,殳,U+6BB3,shū
0006/1605,𠙶,U+20676,ǒu
0007/1605,毌,U+6BCC,guàn
0008/1605,邘,U+9098,yú
0009/1605,戋,U+620B,jiān
0010/1605,圢,U+5722,tǐng
0011/1605,氕,U+6C15,piē
0012/1605,伋,U+4F0B,jí
0013/1605,仝,U+4EDD,tóng
0014/1605,冮,U+51AE,gāng
0015/1605,氿,U+6C3F,jiǔ
0016/1605,汈,U+6C48,diāo
0017/1605,氾,U+6C3E,fán
0018/1605,忉,U+5FC9,dāo
0019/1605,宄,U+5B84,guǐ
0020/1605,𬣙,U+2C8D9,xū
0021/1605,讱,U+8BB1,rèn
0022/1605,扞,U+625E,hàn
0023/1605,圲,U+5732,qiān
0024/1605,圫,U+572B,tuō
0025/1605,芏,U+828F,dù
0026/1605,芃,U+8283,péng
0027/1605,朳,U+6733,bā
0028/1605,朸,U+6738,lì
0029/1605,𨙸,U+28678,qí
0030/1605,邨,U+90A8,cūn
0031/1605,吒,U+5412,zhā
0032/1605,吖,U+5416,ā
0033/1605,屼,U+5C7C,wù
0034/1605,屾,U+5C7E,shēn
0035/1605,辿,U+8FBF,chān
0036/1605,钆,U+9486,gá
0037/1605,仳,U+4EF3,pǐ
0038/1605,伣,U+4F23,qiàn
0039/1605,伈,U+4F08,xǐn
0040/1605,癿,U+767F,bié
0041/1605,甪,U+752A,lù
0042/1605,邠,U+90A0,bīn
0043/1605,犴,U+72B4,àn，hān
0044/1605,冱,U+51B1,hù
0045/1605,邡,U+90A1,fāng
0046/1605,闫,U+95EB,yán
0047/1605,𬇕,U+2C1D5,wàn
0048/1605,汋,U+6C4B,zhuó
0049/1605,䜣,U+4723,xīn
0050/1605,讻,U+8BBB,xiōng
0051/1605,𬣞,U+2C8DE,zhǔ
0052/1605,孖,U+5B56,zī
0053/1605,𬘓,U+2C613,xún
0054/1605,纩,U+7EA9,kuàng
0055/1605,玒,U+7392,hóng
0056/1605,玓,U+7393,dì
0057/1605,玘,U+7398,qǐ
0058/1605,玚,U+739A,yáng
0059/1605,刬,U+522C,chàn
0060/1605,𫭟,U+2BB5F,ōu，qū
0061/1605,坜,U+575C,lì
0062/1605,坉,U+5749,tún
0063/1605,扽,U+627D,dèn
0064/1605,𫭢,U+2BB62,lǔn
0065/1605,坋,U+574B,fèn
0066/1605,扺,U+627A,zhǐ
0067/1605,㧑,U+39D1,huī
0068/1605,毐,U+6BD0,ǎi
0069/1605,芰,U+82B0,jì
0070/1605,芣,U+82A3,fú
0071/1605,苊,U+82CA,è
0072/1605,苉,U+82C9,pǐ
0073/1605,芘,U+8298,bǐ
0074/1605,芴,U+82B4,wù
0075/1605,芠,U+82A0,wén
0076/1605,𫇭,U+2B1ED,wěi
0077/1605,芤,U+82A4,kōu
0078/1605,杕,U+6755,dì
0079/1605,杙,U+6759,yì
0080/1605,杄,U+6744,qiān
0081/1605,杧,U+6767,máng
0082/1605,杩,U+6769,mà
0083/1605,尪,U+5C2A,wāng
0084/1605,尨,U+5C28,máng
0085/1605,轪,U+8F6A,dài
0086/1605,𫐄,U+2B404,yuè
0087/1605,坒,U+5752,bì
0088/1605,芈,U+8288,mǐ
0089/1605,旴,U+65F4,xū
0090/1605,旵,U+65F5,chǎn
0091/1605,呙,U+5459,guō
0092/1605,㕮,U+356E,fǔ
0093/1605,岍,U+5C8D,qiān
0094/1605,𫵷,U+2BD77,lì
0095/1605,岠,U+5CA0,jù
0096/1605,岜,U+5C9C,bā
0097/1605,呇,U+5447,mèn
0098/1605,冏,U+518F,jiǒng
0099/1605,觃,U+89C3,yàn
0100/1605,岙,U+5C99,ào
0101/1605,伾,U+4F3E,pī
0102/1605,㑇,U+3447,zhòu
0103/1605,伭,U+4F2D,xián
0104/1605,佖,U+4F56,bì
0105/1605,伲,U+4F32,ní
0106/1605,佁,U+4F41,yǐ
0107/1605,飏,U+98CF,yáng
0108/1605,狃,U+72C3,niǔ
0109/1605,闶,U+95F6,kàng
0110/1605,汧,U+6C67,qiān
0111/1605,汫,U+6C6B,jǐng
0112/1605,𣲘,U+23C98,wǔ
0113/1605,𣲗,U+23C97,wéi
0114/1605,沄,U+6C84,yún
0115/1605,沘,U+6C98,bǐ
0116/1605,𬇙,U+2C1D9,bèi
0117/1605,汭,U+6C6D,ruì
