seq,word,hzctable,strokesnum,pinyins,strokes,strokesok,explanation
3502,乜,表3丙表1000字,2画,miē、niè,𠃌 乚,true(a2~e2),乜 眼睛眯成一条缝 良材在烟榻上坐了，乜着眼又说道。--茅盾《霜叶红似二月花》又如乜斜(也作乜邪。眼睛眯成一条缝斜视);乜嬉(眼略眯斜视)眯着眼斜视着 鬼祟醉眼乜斜。--关汉卿《望江亭》细娇乜着嘴儿，轻轻地摇头。--陈残云《香飘四季》乜 偷偷摸摸不知做乜鬼?--陈残云《香飘四季》又如乜噑(什么事)乜 痴呆 乜miē⒈①眯着眼睛斜视～斜看人。②因困倦眼睛眯成一条缝～斜睡眼。乜niè⒈姓。
3503,兀,表3丙表1000字,3画,wù,一 丿 乚,true(a3~e3),兀 (指事。从一，在人上。人头上一横，表示高平。本义高耸特出的样子)同本义 兀，高而上平也。--《说文》何时眼前突兀见此屋。--杜甫《茅屋为秋风所破歌》又如兀岸(直耸挺拔);兀嵝(险峻)光秃(如毛发)的 蜀山兀。--唐·杜牧《阿房宫赋》又如兀首(头发脱落)茫然无知 临文乍了了，彻卷兀若天。--柳宗元《读书》又如兀兀陶陶(醉酒);兀楞楞(痴呆)不够稳定 独立 焉有翡翠横肩，援琴合膝，而能兀焉自立者也?--兀wù⒈高而上面平坦的样子，秃突～。蜀山～。～鹫（猛禽，头和颈上的羽毛退化而裸露）。⒉茫然无知的样子～若无。⒊⒋元曲里用作发语词。
3506,孓,表3丙表1000字,3画,jué,㇇ 亅 ㇏,true(a3~e3),见孑孓孓jué
3513,仄,表3丙表1000字,4画,zè,一 丿 丿 ㇏,true(a4~e4),仄 (会意。小篆字形象人侧身在山崖洞穴里的形状。本义倾斜)同本义 仄，侧倾也。--《说文》行山者仄輮。--《周礼·考工记·车人》众畏其口，见之仄目。--《汉书·息夫躬传》日极则仄，月满则亏。--《管子·白心》每旦视朝，日仄乃罢。--《后汉书·光武纪》又如仄歪(方言。倾斜摇晃);仄日(夕阳，斜阳);仄席(不敢正座，侧身坐在席上。形容忧心的样子);仄起(倾斜突起);仄目(斜着眼看);仄步(行走歪斜貌)内心不安 衷怀歉仄，自叹无缘。--《红楼梦》又如仄悚(恐惧不安);仄兀(歉疚不安)置 仄zè⒈倾斜，偏斜倾～。日～（日斜）。⒉不安歉～。⒊窄宽～适宜。⒋
3518,兮,表3丙表1000字,4画,xī,丿 ㇏ 一 ㇉,true(a4~e4),兮 啊 葛之覃兮，施于中谷。--《诗·周南·葛覃》兮xī文言助词，相当于现代汉语的'啊'、'呀'缘天梯～北上。登太乙～ 玉台。
3519,刈,表3丙表1000字,4画,yì,丿 丶 丨 亅,true(a4~e4),刈 (本作乿。形声。从刀，乿声。本作义。本义割草)同本义 刈，断也。又，杀也。--《广雅》是刈是攏。--《诗·周南·葛覃》腰镰刈葵藿，倚杖牧鸡豚。--鲍照《代东武呤》又如刈获(收割;收获);刈熟(指收割庄稼)杀 而又刈亡之。--《国语·吴语》及后世贪者之用兵也，以刈百姓。--《大戴礼记》刈 yì①割取。②指割下来的庄稼。③农具，镰刀之类。④斩杀;砍断。⑤消除;除去。
3520,爻,表3丙表1000字,4画,yáo,丿 丶 丿 ㇏,true(a4~e4),爻 (象形。本义组成八卦的长短横道。卦的变化取决于爻的变化，故爻表示交错和变动的意义) 同本义 爻，交也。象易六爻，头交也。--《说文》。按，乿，古文五，二五天地之数。会意。凡从爻之字，皆错杂意。道有变动，故曰爻。--《易·系辞下》又如爻分(交错分开);爻错(交叉错杂)爻 《周易》中组成卦的符号。 化之意六爻熟透，八卦精通。--《梼杌闲评--明珠缘》爻者，言乎爻yáo组成八挂的基本符号。有两种'-'是阳～；'- -'是阴～。
3521,卞,表3丙表1000字,4画,biàn,丶 一 丨 丶,true(a4~e4),卞 法，法度 卞，法也。--《玉篇》率循大卞。--《书·顾命》古地名 姓卞 急躁 庄公卞急而好洁。--《左传·定公三年》卞 biàn①法；法规率循大～。（《尚书·顾命》）②（性情）急躁～急。～姓。【卞和】春秋时楚国人。生卒年不详。传说他觅得玉璞，两次献给楚王，均被认为是假，先后被砍去双脚。楚文王即位，他抱璞在荆山下大哭，文王派匠人周目琢其璞，果然是宝玉，称为'和氏之璧'。
3522,闩,表3丙表1000字,4画,shuān,丶 丨 𠃌 一,true(a4~e4),闩 (指事。从门，一象门闩形。本义门上的横插) 同本义 闩，门横关也。--范成大《桂海虞衡志·杂志》又如上闩;门闩闩 插上门闩 闩紧闩紧大门闩shuān⒈关门时插在门后拴住门所用的棍棒门～。⒉插上门闩将门～好。
3528,邗,表3丙表1000字,5画,hán,一 一 丨 ㇌ 丨,true(a5~e5),邗〈名〉水名，即邗沟，又名邗江、邗溟沟 邗江 邗hán
