seq,word,hzctable,isprint,strokesnum,pinyins,strokes,strokesok,explanation
3504,弋,表2乙表500字,T,3画,yì,一 ㇂ 丶,true(a3~e3),弋 (象形。甲骨文字形。本义小木桩。今字作杙)同本义 以钩弋压下枝，令着地。--《齐民要术》系有绳子的箭，用来射鸟 指禽鸟 十二月，鸣弋。弋也者，禽也。--《大戴礼记》姓氏美孟弋矣。--《诗·傭风·桑柔》弋 射。用带绳子的箭射猎 戈，缴射也。--《玉篇》弋凫与雁。--《诗·郑风·女曰鸡鸣》。疏弋，谓以绳系矢而射之也。公弋取弋yì⒈〈古〉用带绳子的箭射～白鹄。泛指射猎～获。⒉取～其能者。
3505,孑,表2乙表500字,T,3画,jié,㇇ 亅 ㇀,true(a3~e3),孑 (象形。小篆字形，象人缺右臂形。本义缺少右臂)同本义 孑，无右臂也。--《说文》孤单，单独 胡有孑然其效戎翟也。--《国语·周语》何孤行之茕茕兮，孑不群而介立。--张衡《思玄赋》又如孑居(孑栖。独居);孑弦(单弦);孑轮(一辆车)小 剩余 孑，余也。--《方言二》又如孑黎(遗民;残存的百姓);孑余(剩余;残余)特立，出众。多指才能、人品等 孑，俊也。--《方言二》孑孑干旄。--《孑jié⒈孤独，孤单～立。～然一身。⒉⒊⒋〈古〉通'戟'。兵器名。
3515,仃,表2乙表500字,T,4画,dīng,丿 丨 一 亅,true(a4~e4),伶仃孤独 孤苦伶仃仃dīng见'仃伶'。【仃伶】孤独。
3533,叵,表2乙表500字,T,5画,pǒ,一 丨 𠃍 一 ㇄,true(a5~e5),叵〈副〉(会意。可字的反写。本义不可)同本义 叵，不可也。--《三苍》。按，从反可，指事。怀故叵新欢。--谢灵运诗又如居心叵测;叵信(不可信);叵奈(怎奈;无奈)遂，便，于是 超欲因此叵平诸国。--《后汉书·班超传》。注犹逐也。帝知其终不为用，叵欲讨之。--《后汉书·隗嚣传》多，甚。通颇 其是非叵缪于圣人。--《汉书·司马迁传赞》叵pǒ⒈不可～耐（不可忍耐）。居心～测。⒉遂，就～平诸国（平平定）。
3550,刍,表2乙表500字,T,5画,chú,丿 ㇇ 𠃍 一 一,true(a5~e5),刍〈动〉(象形兼会意。甲骨文字形，从又(手)从草，表示以手取草。俗作芻。本义割草)同本义 芻，刈草也。象包束草之形。--《说文》。按，象断草包束以饮马牛者也。七曰刍粖之式。--《周礼·太宰》淫刍荛者。--《左传·昭公十三年》禁刍牧采樵。--《左传·昭公六年》刍莝养马。--《越绝书·外传本事》又如刍牧(割草放牧)用草喂牲口 刍之三月。--《周礼·地官·充人》又如刍养(饲养)刍 〈名〉喂牲畜的草 食以刍叔。--《庄子·列御寇》馈之刍米。--《左传·僖公二十九年》民争负刍 chú①喂牲畜用的草～秣。②割草。【刍议】谦辞。指自己粗浅的意见、议论。刍（芻）chú⒈割草～牧田中。⒉牲畜吃的草。⒊
3555,讧,表2乙表500字,T,5画,hòng,丶 ㇊ 一 丨 一,true(a5~e5),讧 (形声。从言，工声。本义溃败)同本义 讧，瞶也。--《说文》蟊贼内讧。--《诗·大雅·召昮》又如讧柿(经过加工处理后由涩变甜变软的柿子);讧溃(毁败)争扰 讧hòng争吵，混乱内～。
3557,讫,表2乙表500字,T,5画,qì,丶 ㇊ 丿 一 ⺄,true(a5~e5),讫 (形声。从言，乞声。从言，表示本与言语有关。本义绝止;完毕)同本义 讫，止也。--《说文》毋讫籴。--《谷梁传·僖公九年》天既讫我殷命。--《书·西伯戡黎》。传天既毕讫殷之王命。典狱非讫于威，惟讫于富。--《书·吕刑》。传非绝于威，惟绝于富。讫不肯拜使者。--《汉书·西域传上》言讫。--唐·李朝威《柳毅传》用讫。--宋·沈括《梦溪笔谈·活板》言讫不见。--清·魏禧《大铁椎传》讫籴(终止籴粮);讫毕(完毕);讫竟(终止;了结);讫成(完成);讫工(讫功。竣讫qì⒈终了，完毕验～。收～。⒉终点，截止起～。⒊〈古〉通'迄'。到。
3589,尥,表2乙表500字,T,6画,liào,一 丿 乚 丿 𠃌 丶,true(a6~e6),尥蹶子尥铞儿尥liào
3593,岌,表2乙表500字,T,6画,jí,丨 ㇄ 丨 丿 ㇋ ㇏,true(a6~e6),岌 (形声。从山，及声。本义山高;高耸)同本义 岌，山高貌。--《说文新附》又如岌嶷(高峻的样子);岌峨(高;倾颓的样子)泛指其他事物之高 侧看岸旋转，白浪若山岌。--孔平仲《二十二日大风发长芦》危险 岌jí①山很高的样子。②危险～ ～可危。
3605,佤,表2乙表500字,T,6画,wǎ,丿 丨 一 𠄌 ⺄ 丶,true(a6~e6),佤 佤族的简称 佤族佤wǎ
3610,伫,表2乙表500字,T,6画,zhù,丿 丨 丶 ㇀ 乛 一,true(a6~e6),伫 (会意。从人，从宁。宁，堆积物。人在堆积物旁。本义久立)同本义 悔相道之不察兮，延伫乎吾将反。--《楚辞·离骚》伫盘桓而且俟。--班固《幽通赋》玉阶空伫立，宿鸟归飞急。--唐·李白《菩萨蛮》又如伫见(久立视看);伫眙(久立注视);伫轴(久立盼望而辗转思念);伫盼(久立远望);伫望(久立而远望)企盼;等待 梦寐伫归舟，释我吝与劳。--南朝宋·谢灵运《酬从弟惠连》又如虚伫(虚心等待);伫迟(企望;等待);伫望(等候，盼望)停止，停留 临津伫zhù 1.久立。 2.企盼;期待。 3.停止;停留。 4.积聚。
3612,汆,表2乙表500字,T,6画,cuān,丿 ㇏ 亅 ㇇ 丿 ㇏,true(a6~e6),汆 一种烹调方法。把食物放到沸水里稍微一煮 引申为把东西丢到水里或人钻入水中 所以才几天就搁下来了，眼睁睁汆了它妈一大堆钱进去。--沙汀《淘金记》汆tǔn①方言。漂流在水上。如冰块在水上汆。②用油炸。如油氽花生米。汆cuān烹饪法的一种，把食物放在开水中稍煮一下。如汆丸子。汆cuān①烹调的一种方法。把食物放入沸水中稍煮一下。②引申为把东西丢到水里或人钻入水中。
3614,夙,表2乙表500字,T,6画,sù,丿 ⺄ 一 丿 ㇇ 丶,true(a6~e6),夙 (会意。夕是夜间，乵表示以手持物。天不亮就起来做事情，表示早。所以除了早晨的意义外，还有早起劳作，以示恭敬的意思。本义早晨)同本义 夙，早敬也。--《说文》夙夜在公。--《诗·召南·小星》岂不夙夜，谓行多露。--《诗·召南·行露》夙夜惟寅。--《书·舜典》夙兴。--《仪礼·士昏礼》策蹇驴，囊图书，夙行失道，望尘惊悸。--明·马中锡《中山狼传》又如夙兴(早起);夙宵(朝夕，日夜)旧;平素 虞虽为上公，天性节约，…远近豪俊，夙僭奢者，莫不改，而归心夙sù⒈早晨～兴夜寐（起早睡晚。形容勤奋不懈）。⒉平素，过去～愿。～志。回忆～昔。
3616,刎,表2乙表500字,T,6画,wěn,丿 𠃌 丿 丿 丨 亅,true(a6~e6),刎 (形声。从刀，勿声。本义割脖子)同本义 刎，刭也。--《说文新附》卒相与欢，为刎颈之交。--《史记·廉颇蔺相如列传》种霸越而灭吴兮，终刎颈于属镂。--刘基《述志赋》又如自刎(割颈部自杀);刎脰(刎颈。割脖子，自杀)割断 刎，断也。--《博雅》刎，亡粉切，割也。--《玉篇》马前不得进，后不得退，遂避而逸，因下抽刀而刎其脚。--《韩非子·外储说右下》刎wěn割颈部自～。泛指割断～其脚。
3625,汐,表2乙表500字,T,6画,xī,丶 丶 ㇀ 丿 ㇇ 丶,true(a6~e6),汐 (形声。从水，夕声。本义晚潮)同本义 潮汐去还，谁所节度?--北齐·颜之推《颜氏家训》会夏旱水涸沙涨，有汐无潮。--清·魏源《圣武记》又如汐潮(白天涨落的叫潮，晚上涨落的叫汐)水名 汐，水名，出阳城山。--《集韵》汐xī夜晚的海潮观潮～。
3629,忖,表2乙表500字,T,6画,cǔn,㇀ 丶 丨 一 亅 丶,true(a6~e6),忖 (形声。从心，寸声。本义思量，揣度)同本义 忖，测度也。--《珠丛》予忖度之。--《诗·小雅·巧言》又如忖思(思量);忖势(分析研究，衡量情势);忖夺(犹忖度)除 故以成之数忖该之积如法为一寸，则黄钟之长也。--《汉书》忖度他人有心，予忖度之。--《诗·小雅·巧言》胸中忖度忖量心中忖量我一边走，一边忖度着他那番话的意思忖思忖 cǔn思量；揣度思～。【忖度】推测；揣度。【忖量】①揣度我～不出那话的意思。②思量他～了半天，不知如何回答是好。
3647,纨,表2乙表500字,T,6画,wán,𠃋 𠃋 ㇀ 丿 ⺄ 丶,true(a6~e6),纨 细致洁白的薄绸 纨，素也。从系，丸声，谓白致缯，今之细生绢也。--《说文》下宫糅罗纨。--《战国策·齐策》寄言纨裦与膏粱莫效此儿形状!--《红楼梦》又如纨袖(白练衣袖);纨质(白皙细洁，如纨素之质。多形容妇女美质);纨绮(精美的丝织品)纨扇，细绢扇 两路绿杨藏乳燕，行人避暑扇摇纨。--《西游记》纨 幼小的 纨wán⒈细绢，细致的丝织品～扇。⒉
3654,坍,表2乙表500字,T,7画,tān,一 丨 ㇀ 丿 𠃌 丶 一,true(a7~e7),坍〈动〉水冲岸塌;引申为倒塌 引申指衰颓，凋敝 过惯了好日子，一朝坍下来，真受苦。--丁玲《母亲》坍tān崖、岸、建筑物或堆起的东西等倒塌，从基底部崩坏河堤～了。房屋～了。货堆～了。
