seq,word
3502,乜
3503,兀
3506,孓
3513,仄
3518,兮
3519,刈
3520,爻
3521,卞
3522,闩
3528,邗
3529,邛
3531,艿
3534,匝
3535,丕
3544,仡
3545,仫
3546,仞
3548,氐
3551,邝
3552,邙
3554,讦
3561,弁
3564,耒
3566,玑
3568,圩
3570,圭
3571,扦
3578,芊
3581,芨
3583,芎
3584,芗
3590,乩
3598,缶
3600,氖
3601,牝
3603,伛
3607,伥
3608,伧
3609,伉
3611,囟
3619,舛
3621,邬
3622,饧
3628,汊
3635,聿
3636,艮
3642,妁
3645,纣
3646,纥
3650,抟
3651,抔
3653,坂
3659,芫
3662,芾
3665,芷
3666,芮
3673,芡
3674,芟
3676,苎
3677,苡
3685,邳
3687,奁
3688,豕
3689,忒
3691,轫
3692,迓
3696,邺
3707,虬
3710,吣
3716,岑
3722,钋
3725,氙
3726,氚
3733,佟
3734,佗
3737,佘
3738,佥
3740,豸
3744,奂
3754,饬
3758,疔
3761,闱
3762,闳
3763,闵
3765,炀
3767,沅
3770,沌
3773,汩
3774,汨
3779,汶
3783,怃
3786,忤
3789,忻
3791,怆
3793,忸
3795,诃
3804,陂
3805,陉
3806,妍
3808,妪
3809,妣
3814,姒
3817,劭
3822,纰
3826,玮
3834,忝
3836,坩
3844,拃
3845,拊
3846,坼
3847,坻
3856,苤
3857,茏
3859,苜
3861,苒
3862,苘
3863,茌
3870,茔
3871,茕
3873,苕
3874,枥
3881,枞
3885,杼
3887,砀
3890,瓯
3891,殁
3892,郏
3893,轭
3895,鸢
3896,盱
3897,昊
3899,杲
3903,昕
3909,畀
3912,呷
3921,呦
3922,咝
3923,岢
3925,岬
3926,岫
3927,帙
3929,峁
3935,峄
3940,钎
3942,钒
3950,佶
3963,侪
3966,侬
3974,籴
3976,戗
3980,肱
3981,肫
3986,狎
3987,狍
3996,庖
4000,兖
4003,炜
4008,炔
4010,沭
4012,泸
4016,泠
4019,泫
4025,怙
4029,怏
4030,怍
4032,怩
4033,怫
4044,戽
4045,郓
4049,祉
4053,诟
4058,诨
4060,戕
4062,亟
4064,妲
4070,驽
4074,绀
4079,绉
4084,珏
4085,珐
4086,珂
4092,珈
4093,拮
4095,挝
4100,贲
4104,垧
4105,垓
4112,荜
4113,莒
4114,茼
4116,茱
4120,荏
4122,荃
4124,荀
4128,茨
4129,垩
4130,荥
4131,荦
4132,荨
4140,栉
4142,柘
4145,枰
4146,栌
4148,枵
4150,枳
4151,柞
4153,栀
4155,栎
4158,柁
4164,甭
4167,砒
4169,砭
4176,殄
4187,哐
4189,眍
4195,禺
4196,哂
4198,曷
4203,哓
4207,呲
4208,胄
4212,虻
4214,咣
4217,郧
4218,咻
4219,囿
