seq,word
3504,弋
3505,孑
3515,仃
3533,叵
3550,刍
3555,讧
3557,讫
3589,尥
3593,岌
3605,佤
3610,伫
3612,汆
3614,夙
3616,刎
3625,汐
3629,忖
3647,纨
3654,坍
3664,苣
3667,苋
3671,芩
3672,芪
3700,呓
3703,呃
3708,呗
3712,帏
3713,岐
3728,佞
3730,攸
3731,佚
3732,佝
3735,伽
3739,孚
3743,邸
3759,疖
3760,肓
3769,沤
3778,汴
3780,沆
3784,怄
3787,忾
3790,忪
3794,诂
3797,诋
3798,诌
3803,陀
3819,甬
3849,坨
3853,耶
3879,杵
3908,咔
3919,呶
3924,岿
3936,沓
3937,囹
3938,罔
3944,钗
3948,竺
3949,迤
3955,臾
3956,岱
3957,侗
3959,侏
3960,侩
3961,佻
3968,阜
3983,迩
3985,狙
3988,狒
3991,枭
3993,饴
3995,冼
3998,疝
4002,劾
4007,炝
4009,泔
4013,泱
4014,泅
4015,泗
4021,沱
4022,泯
4024,泾
4035,宕
4038,诓
4041,诘
4042,戾
4054,诠
4059,诩
4061,孢
4065,妯
4068,弩
4072,迦
4077,驷
4078,驸
4080,绌
4088,玳
4096,垣
4097,挞
4125,茗
4127,茭
4144,柩
4156,枸
4162,酊
4175,殇
4179,轲
4194,眈
4202,咦
4204,哔
4206,毗
4216,剐
4220,咿
4224,咯
4227,哝
4233,帧
4237,峥
4240,钛
4241,钡
4244,钨
4253,竽
4257,俨
4260,叟
4264,俚
4265,皈
4268,逅
4269,徇
4270,徉
4271,舢
4289,鸨
4305,弈
4319,阂
4329,炷
4334,洌
4335,浃
4349,恸
4352,恫
4354,恻
4356,恪
4363,袂
4364,祛
4388,姹
4390,羿
4393,绔
4394,骁
4398,骈
4411,敖
4430,莴
4432,莠
4435,莅
4436,荼
4441,莘
4443,莞
4450,桓
4452,桎
4459,桧
4463,栩
4468,豇
4473,砝
4475,砺
4480,砥
4481,砣
4498,哧
4499,哽
4514,唢
4515,圄
4517,唏
4520,崂
4524,峪
4525,觊
4526,赅
4529,钴
4552,舐
4561,俸
4564,偌
4568,倏
4570,倭
4575,隽
4576,倌
4583,颀
4585,舫
4587,奚
4591,胴
4616,疸
4619,疱
4620,痂
4625,恣
4639,烩
4643,烬
4659,悚
4675,谀
4677,谄
4686,陲
4689,娌
4696,婀
4703,绥
4707,邕
4715,麸
4716,揶
4720,掳
4727,逵
4731,掬
4739,掮
4743,掇
4751,萋
4762,菏
4767,萦
4772,梏
4776,梓
4782,匮
4783,敕
4784,豉
4786,酞
4787,酚
4788,戛
4800,厩
4811,啧
4819,喵
4831,蚶
4833,蛎
4836,蛊
4844,唿
4854,啜
4873,铣
4874,铤
4880,铬
4892,逶
4893,笺
4903,笞
4905,偃
4910,偻
4914,徜
4919,龛
4920,翎
4940,疵
4944,袤
4955,敝
4963,渍
4967,淞
4968,渎
4971,挲
4973,涸
4979,淙
4982,淄
4983,惬
4984,悻
4985,悱
4987,惘
4990,惚
4992,惮
5008,谛
5021,婵
5023,袈
5027,绫
5029,绮
5030,绯
5035,绶
5061,搽
5065,趄
5071,揄
5073,蛰
5075,摒
5087,葆
5088,葩
5091,萱
5092,戟
5111,鹂
5112,厥
5121,辎
5122,斐
5128,喋
5130,喃
5139,跎
5154,啾
5155,嗖
5158,喽
5161,喔
5163,嵘
5165,崴
5169,崽
5175,幄
5176,嵋
5182,锂
5211,牍
5220,弑
5221,颌
5223,釉
5234,腱
5235,鱿
5241,猥
5249,馊
5250,亵
5254,痨
5255,痦
5257,痤
5258,痫
5271,孳
5282,渭
5299,愎
5311,幂
5330,缄
5333,缈
5340,瑚
5341,瑁
5352,趔
5359,搐
5410,剽
5415,酩
5416,蜃
5430,虞
5434,嗷
5443,嗬
5444,嗔
5445,嗝
5449,暄
5470,嗳
5476,嗵
5483,锛
5488,锢
5497,稞
5498,稗
5505,牒
5511,觎
5515,貉
5516,颔
5520,腭
5527,鲇
5528,鲈
5529,稣
5532,肄
5542,痼
5543,痿
5557,粳
5561,煨
5563,煊
5564,煸
5574,裟
5582,滦
5584,滂
5593,窦
5598,裨
5602,谩
5606,媲
5611,缜
5617,缢
5634,摞
5640,墒
5655,蔻
5657,斡
5668,槟
5673,酶
5687,蜚
5688,裴
5690,龇
5694,睽
5700,暧
5702,踌
5711,蜷
5712,蜿
5718,嘣
5726,嶂
5727,幛
5729,罂
5733,锲
5739,镁
5740,镂
5741,犒
5750,箔
5763,睾
5766,膈
5773,獐
5777,馑
5782,瘊
5783,瘘
5798,熘
5800,潢
5807,漪
5813,慵
5821,褓
5822,褛
5827,暨
5830,嫣
5842,缥
5853,璀
5861,撷
5863,赭
5867,撺
5875,蕨
5880,蕃
5896,磙
5900,龊
5901,觑
5905,嘭
5912,踝
5919,踞
5931,颚
5934,噙
5940,幡
5955,箴
5974,鲩
5975,獗
5976,獠
5979,馔
5980,麾
5985,瘠
5990,遴
5992,糍
6004,潼
6011,褴
6019,戮
6022,缮
6031,靛
6039,擀
6040,熹
6042,擞
6046,蕻
6058,橇
6059,樵
6061,橹
6071,醚
6073,赝
6074,飙
6081,臻
6083,氅
6093,踵
6095,蹉
6097,螨
6108,噼
6109,罹
6112,镖
6124,篝
6126,篦
6129,盥
6139,鲮
6141,鲲
6142,鲳
6148,獭
6150,邂
6158,瘴
6161,斓
6179,澥
6183,寰
6185,褶
6195,璨
6197,璐
6200,擤
6203,罄
6221,龌
6229,蹊
6236,嚓
6241,黜
6242,黝
6252,镫
6256,篾
6274,臆
6280,鳅
6286,襄
6289,膺
6291,麋
6292,懑
6301,襁
6304,孺
6311,鳌
6313,鬃
6322,藩
6332,躇
6337,蟠
6340,黠
6346,镯
6354,鳏
6357,癔
6358,癜
6359,癖
6371,藿
6374,麓
6379,霭
6384,蹶
6386,蹼
6387,蹴
6392,蟾
6399,籁
6404,鳔
6405,鳕
6406,鳗
6408,麒
6409,鏖
6413,瀣
6428,曦
6435,镳
6438,纂
6442,鳜
6444,鳟
6446,孀
6450,醺
6451,礴
6467,鹳
6479,攫
6480,攥
6481,颧
6485,麟
6496,囔
