seq,word
0126,夭
1044,矾
1172,采
1333,叁
1666,柒
1698,宫
1784,埂
2922,蜈
2945,锰
2985,馏
2997,誊
3122,箩
3239,嘹
3369,瘸
3492,躏
3507,幺
3509,韦
3510,廿
3512,卅
3514,厄
3523,讣
3524,尹
3527,毋
3532,札
3539,叱
3541,仨
3542,仕
3543,仟
3553,汀
3556,讪
3559,阡
3562,驭
3563,匡
3567,邢
3573,圳
3575,扪
3579,芍
3585,亘
3588,戍
3591,旯
3592,曳
3602,伎
3615,旮
3617,犷
3620,凫
3623,汕
3626,汲
3630,忏
3631,讴
3633,祁
3634,讷
3638,阱
3639,阮
3640,阪
3641,丞
3643,牟
3655,坞
3657,抉
3660,邯
3661,芸
3680,杞
3681,杈
3682,忑
3694,忐
3717,岚
3719,囵
3720,囫
3721,钊
3729,邱
3736,彷
3746,狄
3748,鸠
3749,邹
3750,饨
3752,饪
3755,亨
3764,羌
3771,沏
3775,沂
3776,汾
3785,忡
3788,怅
3796,诅
3799,诏
3801,孜
3802,陇
3807,妩
3810,妊
3813,妞
3816,邵
3821,纭
3824,纶
3833,盂
3837,抨
3840,拈
3842,抻
3851,抿
3852,坳
3855,苯
3858,苫
3865,苓
3875,枇
3877,杳
3884,杷
3889,奄
3898,昙
3901,咂
3902,呸
3911,咀
3914,呱
3916,咚
3917,咆
3918,咛
3931,迥
3932,岷
3947,牦
3951,佬
3952,佰
3958,侃
3964,佼
3965,佯
3967,帛
3971,刽
3973,怂
3975,瓮
3982,剁
3989,咎
3990,炙
3992,饯
3994,冽
3999,疡
4001,妾
4005,炖
4023,泓
4026,怵
4027,怦
4036,穹
4043,诙
4046,衩
4051,诛
4055,诣
4056,诤
4057,诧
4066,姗
4071,虱
4081,驿
4087,珑
4089,珀
4099,赳
4103,郝
4107,垠
4108,茜
4109,荚
4115,茴
4118,荞
4119,茯
4123,荟
4126,荠
4136,茹
4141,柯
4149,柚
4159,枷
4171,奎
4172,耷
4177,殆
4178,轱
4180,轳
4181,轶
4184,毖
4201,昵
4213,盅
4225,咩
4226,咤
4230,峙
4248,氟
4251,秕
4255,笃
4266,俑
4272,俞
4290,匍
4294,狩
4299,饷
4303,孪
4306,奕
4314,彦
4315,飒
4321,迸
4323,酋
4324,炳
4326,炽
4327,炯
4339,涎
4345,浒
4375,郡
4376,咫
4380,陛
4386,姣
4387,姘
4392,矜
4397,绛
4413,埔
4422,捋
4427,荸
4433,莓
4442,莎
4460,桅
4484,轼
4491,虔
4492,逍
4496,眩
4502,晏
4508,蚜
4518,盎
4530,钵
4536,铀
4537,铂
4539,铆
4550,氦
4554,秫
4560,笆
4562,倩
4571,倪
4586,釜
4589,胯
4590,胱
4592,胭
4593,脍
4595,朕
4599,玺
4608,袅
4612,挛
4621,痉
4623,凋
4633,恙
4635,朔
4636,郸
4647,涟
