seq,pinyin,char
U+3007,líng;yuán;xīng,〇
U+3400,qiū,㐀
U+3401,tiàn,㐁
U+3404,kuà,㐄
U+3405,wǔ,㐅
U+3406,yǐn,㐆
U+340C,yí,㐌
U+3416,xié,㐖
U+341C,chóu,㐜
U+3421,nuò,㐡
U+3424,dān;qiú,㐤
U+3428,xù,㐨
U+3429,xíng,㐩
U+342B,xiōng,㐫
U+342C,liú,㐬
U+342D,lǐn,㐭
U+342E,xiāng,㐮
U+342F,yōng,㐯
U+3430,xìn,㐰
U+3431,zhěn,㐱
U+3432,dài,㐲
U+3433,wù,㐳
U+3434,pān,㐴
U+3435,rú,㐵
U+3437,mǎ,㐷
U+3438,qiàn;cì,㐸
U+3439,yì,㐹
U+343A,yín;zhòng,㐺
U+343B,nèi,㐻
U+343C,chèng,㐼
U+343D,fēng,㐽
U+3441,zhuō,㑁
U+3442,fǎng,㑂
U+3443,ǎo,㑃
U+3444,wǔ,㑄
U+3445,zuò,㑅
U+3447,zhòu,㑇
U+3448,dòng,㑈
U+3449,sù,㑉
U+344A,yì,㑊
U+344B,qióng,㑋
U+344C,kuāng;wāng,㑌
U+344D,lèi,㑍
U+344E,nǎo,㑎
U+344F,zhù,㑏
U+3450,shū,㑐
U+3454,xǔ,㑔
U+3457,shēn,㑗
U+3458,jiè,㑘
U+3459,dié,㑙
U+345A,nuó,㑚
U+345B,sù,㑛
U+345C,yì;chì,㑜
U+345D,lòng,㑝
U+345E,yìng,㑞
U+345F,běng,㑟
U+3463,lán,㑣
U+3464,miáo,㑤
U+3465,yì,㑥
U+3466,lì,㑦
U+3467,jì,㑧
U+3468,yǔ,㑨
U+3469,luó,㑩
U+346A,chái,㑪
U+346E,hún,㑮
U+346F,xǔ,㑯
U+3470,huì,㑰
U+3471,rǎo,㑱
U+3473,zhòu;zhū,㑳
U+3475,hàn,㑵
U+3476,xì,㑶
U+3477,tài,㑷
U+3478,yáo,㑸
U+3479,huì,㑹
U+347A,jùn,㑺
U+347B,mà,㑻
U+347C,lüè,㑼
U+347D,táng,㑽
U+347E,yáo,㑾
U+347F,zhào,㑿
U+3480,zhāi;zhǎ,㒀
U+3481,yǔ,㒁
U+3482,zhuó,㒂
U+3483,èr,㒃
