20昂 39摆 59包
1阿 21凹 40败 60胞
2啊 22熬 41拜 61宝
3哎 23傲 42班 62饱
4哀 24奥 43般 63保
5唉 25澳 44颁 64堡
6埃 45斑 65报
7挨 26八 46搬 66抱
8癌 27巴 47板 67豹
9矮 28叭 48版 68暴
10艾 29吧 49办 69爆
11爱 30拔 50半 70卑
12碍 31把 51伴 71杯
13安 32坝 52扮 72悲
14氨 33爸 53瓣 73碑
15俺 34罢 54邦 74北
16岸 35霸 55帮 75贝
17按 36白 56膀 76备
18案 37百 57傍 77背
19暗 38柏 58棒 78倍


79被 107辨 135卜 162藏
80辈 108辩 136补 163操
81奔 109标 137捕 164曹
82本 110表 138不 165槽
83崩 111别 139布 166草
84逼 112宾 140步 167册
85鼻 113滨 141部 168侧
86比 114冰 169测
87彼 115兵 142擦 170策
88笔 116丙 143猜 171层
89币 117柄 144才 172叉
90必 118饼 145材 173插
91毕 119并 146财 174查
92闭 120病 147裁 175茶
93辟 121拨 148釆 176察
94碧 122波 149彩 177差
95蔽 123玻 150踩 178拆
96壁 124剥 151菜 179柴
97避 125播 152蔡 180缠
98臂 126脖 153参 181产
99边 127伯 154餐 182阐
100编 128驳 155残 183颤
101蝙 129泊 156蚕 184昌
102鞭 130勃 157惨 185长
103扁 131博 158灿 186肠
104便 132搏 159仓 187尝
105变 133膊 160苍 188偿
106遍 134薄 161舱 189常

190厂 218诚 246瞅 274词
191场 219城 247臭 275瓷
192畅 220乘 248出 276慈
193倡 221惩 249初 277辞
194唱 222程 250除 278磁
195抄 223橙 251厨 279雌
196超 224吃 252础 280此
197巢 225池 253储 281次
198朝 226驰 254楚 282刺
199潮 227迟 255处 283匆
200吵 228持 256触 284葱
201炒 229匙 257川 285聪
202车 230尺 258穿 286从
203扯 231齿 259传 287丛
204彻 232斥 260船 288凑
205撤 233赤 261喘 289粗
206尘 234翅 262串 290促
207臣 235充 263窗 291催
208沉 236冲 264床 292脆
209陈 237虫 265闯 293翠
210晨 238崇 266创 294村
211衬 239抽 267吹 295存
212称 240仇 268垂 296寸
213趁 241绸 269锤 297措
214撑 242愁 270春 298错
215成 243筹 271纯 
216呈 244酬 272唇 299搭
217承 245丑 273醇 300达


301答 329倒 357颠 385动
302打 330蹈 358典 386冻
303大 331到 359点 387洞
304呆 332盗 360电 388都
305代 333道 361店 389斗
306带 334稻 362垫 390抖
307待 335得 363淀 391陡
308袋 336德 364殿 392豆
309逮 337的 365雕 393督
310戴 338灯 366吊 394毒
311丹 339登 367钓 395读
312单 340等 368调 396独
313担 341邓 369掉 397堵
314胆 342凳 370爹 398赌
315旦 343瞪 371跌 399杜
316但 344低 372叠 400肚
317诞 345堤 373蝶 401度
318弹 346滴 374丁 402渡
319淡 347迪 375叮 403端
320蛋 348敌 376盯 404短
321氮 349笛 377钉 405段
322当 350底 378顶 406断
323挡 351抵 379订 407锻
324党 352地 380定 408堆
325荡 353弟 381丢 409队
326刀 354帝 382东 410对
327导 355递 383冬 411吨
328岛 356第 384懂 412敦

413蹲 439番 467废 495夫
414盾 440翻 468沸 496肤
415顿 441凡 469肺 497孵
416多 442烦 470费 498弗
417夺 443繁 471分 499伏
418朵 444反 472纷 500扶
419躲 445返 473芬 501服
446犯 474坟 502浮
420俄 447泛 475粉 503符
421鹅 448饭 476份 504幅
422额 449范 477奋 505福
423恶 450贩 478愤 506辐
424饿 451方 479粪 507蝠
425鳄 452坊 480丰 508抚
426恩 453芳 481风 509府
427儿 454防 482枫 510辅
428而 455妨 483封 511腐
429尔 456房 484疯 512父
430耳 457肪 485峰 513付
431二 458仿 486锋 514妇
459访 487蜂 515负
432发 460纺 488冯 516附
433乏 461放 489逢 517复
434伐 462飞 490缝 518赴
435罚 463非 491凤 519副
436阀 464啡 492奉 520傅
437法 465菲 493佛 521富
438帆 466肥 494否 522赋


523腹 550胳 578勾 606冠
524覆 551鸽 579沟 607馆
552割 580钩 608管
525该 553歌 581狗 609贯
526改 554阁 582构 610惯
527钙 555革 583购 611灌
528盖 556格 584够 612罐
529溉 557隔 585估 613光
530概 558葛 586咕 614广
531干 559个 587姑 615归
532甘 560各 588孤 616龟
533杆 561给 589菇 617规
534肝 562根 590古 618硅
535赶 563跟 591谷 619轨
536敢 564更 592股 620鬼
537感 565耕 593骨 621柜
538刚 566工 594鼓 622贵
539纲 567弓 595固 623桂
540缸 568公 596故 624滚
541钢 569功 597顾 625棍
542岗 570攻 598瓜 626郭
543港 571供 599刮 627锅
544高 572官 600挂 628国
545搞 573恭 601拐 629果
546稿 574巩 602怪 630裹
547告 575拱 603关 631过
548戈 576共 604观 
549哥 577贡 605官 632哈


633孩 661盒 689候 717还
634海 662贺 690乎 718环
635害 663褐 691呼 719缓
636含 664赫 692忽 720幻
637函 665鹤 693狐 721唤
638寒 666黑 694胡 722换
639韩 667嘿 695壶 723患
640罕 668痕 696湖 724荒
641喊 669很 697葫 725慌
642汉 670狠 698糊 726皇
643汗 671恨 699蝴 727黄
644旱 672哼 700虎 728煌
645杭 673恒 701互 729晃
646航 674横 702户 730灰
647毫 675衡 703护 731恢
648豪 676轰 704花 732挥
649好 677哄 705华 733辉
650号 678红 706哗 734徽
651浩 679宏 707滑 735回
652耗 680洪 708化 736毁
653呵 681虹 709划 737悔
654喝 682鸿 710画 738汇
655合 683侯 711话 739会
656何 684喉 712桦 740绘
657和 685猴 713怀 741惠
658河 686吼 714淮 742慧
659核 687后 715坏 743昏
660荷 688厚 716欢 744婚


745浑 772急 800甲 828践
746魂 773疾 801贾 829鉴
747混 774集 802钾 830键
748活 775辑 803价 831箭
749火 776籍 804驾 832江
750伙 777几 805架 833姜
751或 778己 806假 834将
752货 779挤 807嫁 835浆
753获 780脊 808稼 836僵
754祸 781计 809尖 837疆
755惑 782记 810坚 838讲
756霍 783纪 811间 839奖
784迹 812肩 840蒋
757击 785技 813艰 841匠
758饥 786际 814兼 842降
759圾 787剂 815监 843交
760机 788季 816减 844郊
761肌 789既 817剪 845娇
762鸡 790济 818检 846浇
763积 791继 819简 847骄
764基 792寂 820碱 848胶
765绩 793寄 821见 849焦
766激 794忌 822件 850礁
767及 795加 823建 851角
768吉 796夹 824剑 852脚
769级 797佳 825健 853搅
770即 798家 826舰 854叫
771极 799嘉 827渐 855轿

856较 884仅 912静 940倦
857教 885紧 913镜 941决
858阶 886锦 914纠 942绝
859皆 887尽 915究 943觉
860接 888劲 916九 944掘
861揭 889近 917久 945嚼
862街 890进 918酒 946军
863节 891晋 919旧 947君
864劫 892浸 920救 948均
865杰 893禁 921就 949菌
866洁 894京 922舅 950俊
867结 895经 923居 951峻
868捷 896茎 924局 
869截 897惊 925菊 952卡
870竭 898晶 926橘 953开
871姐 899睛 927举 954凯
872解 900精 928矩 955慨
873介 901鲸 929句 956刊
874戒 902井 930巨 957堪
875届 903颈 931拒 958砍
876界 904景 932具 959看
877借 905警 933俱 960康
878巾 906净 934剧 961抗
879今 907径 935惧 962炕
880斤 908竞 936据 963考
881金 909竟 937距 964烤
882津 910敬 938聚 965靠
883筋 911境 939卷 966科


967棵 995宽 1022蓝 1050璃
968颗 996款 1023篮 1051黎
969壳 997狂 1024览 1052礼
970咳 998况 1025懒 1053李
971可 999矿 1026烂 1054里
972渴 1000亏 1027滥 1055哩
973克 1001葵 1028郎 1056理
974刻 1002愧 1029狼 1057鲤
975客 1003溃 1030廊 1058力
976课 1004昆 1031朗 1059历
977肯 1005困 1032浪 1060厉
978坑 1006扩 1033捞 1061立
979空 1007括 1034劳 1062丽
980孔 1008阔 1035牢 1063利
981恐 1036老 1064励
982控 1009垃 1037乐 1065例
983口 1010拉 1038勒 1066隶
984扣 1011啦 1039雷 1067粒
985枯 1012喇 1040蕾 1068莉
986哭 1013腊 1041泪 1069俩
987苦 1014蜡 1042类 1070连
988库 1015辣 1043累 1071帘
989裤 1016来 1044冷 1072怜
990酷 1017莱 1045愣 1073莲
991夸 1018赖 1046厘 1074联
992跨 1019兰 1047梨 1075廉
993块 1020拦 1048离 1076脸
994快 1021栏 1049犁 1077练


1078炼 1106玲 1134芦 1162螺
1079恋 1107凌 1135炉 1163裸
1080链 1108铃 1136鲁 1164洛
1081良 1109陵 1137陆 1165络
1082凉 1110羚 1138录 1166骆
1083梁 1111零 1139鹿 1167落
1084粮 1112龄 1140碌 
1085两 1113领 1141路 1168妈
1086亮 1114岭 1142驴 1169麻
1087辆 1115令 1143旅 1170马
1088量 1116另 1144铝 1171玛
1089辽 1117溜 1145履 1172码
1090疗 1118刘 1146律 1173蚂
1091聊 1119流 1147虑 1174骂
1092僚 1120留 1148率 1175吗
1093了 1121硫 1149绿 1176嘛
1094料 1122瘤 1150氯 1177埋
1095列 1123柳 1151滤 1178买
1096劣 1124六 1152卵 1179迈
1097烈 1125龙 1153乱 1180麦
1098猎 1126笼 1154掠 1181卖
1099裂 1127隆 1155略 1182脉
1100邻 1128垄 1156伦 1183蛮
1101林 1129拢 1157轮 1184满
1102临 1130楼 1158论 1185曼
1103淋 1131漏 1159罗 1186慢
1104磷 1132露 1160萝 1187漫
1105灵 1133卢 1161逻 1188忙


1189芒 1217盟 1245明 1273墓
1190盲 1218猛 1246鸣 1274幕
1191茫 1219蒙 1247命 1275慕
1192猫 1220孟 1248摸 1276穆
1193毛 1221梦 1249模 
1194矛 1222弥 1250膜 1277拿
1195茅 1223迷 1251摩 1278哪
1196茂 1224谜 1252磨 1279那
1197冒 1225米 1253蘑 1280纳
1198贸 1226泌 1254魔 1281娜
1199帽 1227秘 1255抹 1282钠
1200貌 1228密 1256末 1283乃
1201么 1229蜜 1257沫 1284奶
1202没 1230眠 1258陌 1285奈
1203枚 1231绵 1259莫 1286耐
1204玫 1232棉 1260漠 1287男
1205眉 1233免 1261墨 1288南
1206梅 1234勉 1262默 1289难
1207媒 1235面 1263谋 1290囊
1208煤 1236苗 1264某 1291恼
1209霉 1237描 1265母 1292脑
1210每 1238秒 1266亩 1293闹
1211美 1239妙 1267牡 1294呢
1212妹 1240庙 1268姆 1295内
1213门 1241灭 1269拇 1296嫩
1214们 1242民 1270木 1297能
1215闷 1243敏 1271目 1298尼
1216萌 1244名 1272牧 1299泥

1300你 1327欧 1354喷 1382品
1301拟 1328偶 1355盆 1383平
1302逆 1356朋 1384评
1303年 1329爬 1357棚 1385凭
1304念 1330帕 1358蓬 1386苹
1305娘 1331怕 1359鹏 1387屏
1306酿 1332拍 1360膨 1388瓶
1307鸟 1333排 1361捧 1389萍
1308尿 1334牌 1362碰 1390坡
1309捏 1335派 1363批 1391泼
1310您 1336攀 1364披 1392颇
1311宁 1337盘 1365皮 1393婆
1312凝 1338判 1366疲 1394迫
1313牛 1339叛 1367脾 1395破
1314扭 1340盼 1368匹 1396剖
1315纽 1341庞 1369屁 1397扑
1316农 1342旁 1370譬 1398铺
1317浓 1343胖 1371偏 1399葡
1318弄 1344抛 1372篇 1400蒲
1319奴 1345炮 1373片 1401朴
1320努 1346跑 1374骗 1402浦
1321怒 1347泡 1375漂 1403普
1322女 1348胚 1376飘 1404谱
1323暖 1349陪 1377瓢 
1324挪 1350培 1378票 1405七
1325诺 1351赔 1379拼 1406妻
1352佩 1380贫 1407栖
1326哦 1353配 1381频 1408戚


1409期 1437钱 1465轻 1493拳
1410欺 1438潜 1466倾 1494犬
1411漆 1439浅 1467清 1495劝
1412齐 1440遣 1468情 1496券
1413其 1441欠 1469晴 1497缺
1414奇 1442枪 1470顷 1498却
1415歧 1443腔 1471请 1499雀
1416骑 1444强 1472庆 1500确
1417棋 1445墙 1473穷 1501鹊
1418旗 1446抢 1474丘 1502裙
1419企 1447悄 1475秋 1503群
1420岂 1448敲 1476蚯 
1421启 1449乔 1477求 1504然
1422起 1450桥 1478球 1505燃
1423气 1451瞧 1479区 1506染
1424弃 1452巧 1480曲 1507嚷
1425汽 1453切 1481驱 1508壤
1426契 1454茄 1482屈 1509让
1427砌 1455且 1483躯 1510饶
1428器 1456窃 1484趋 1511扰
1429恰 1457亲 1485取 1512绕
1430千 1458侵 1486娶 1513惹
1431迁 1459秦 1487去 1514热
1432牵 1460琴 1488趣 1515人
1433铅 1461禽 1489圈 1516仁
1434谦 1462勤 1490全 1517忍
1435签 1463青 1491权 1518认
1436前 1464氢 1492泉 1519任


1520扔 1547三 1575商 1603慎
1521仍 1548伞 1576赏 1604升
1522日 1549散 1577± 1605生
1523绒 1550桑 1578尚 1606声
1524荣 1551嗓 1579梢 1607牲
1525容 1552丧 1580烧 1608绳
1526溶 1553扫 1581稍 1609省
1527熔 1554嫂 1582少 1610胜
1528融 1555色 1583绍 1611圣
1529柔 1556森 1584哨 1612盛
1530肉 1557僧 1585舌 1613剩
1531如 1558杀 1586蛇 1614尸
1532儒 1559沙 1587舍 1615失
1533乳 1560纱 1588设 1616师
1534辱 1561刹 1589社 1617诗
1535入 1562砂 1590射 1618施
1536软 1563啥 1591涉 1619狮
1537锐 1564傻 1592摄 1620湿
1538瑞 1565晒 1593申 1621十
1539润 1566山 1594伸 1622什
1540若 1567杉 1595身 1623石
1541弱 1568衫 1596深 1624时
1569珊 1597神 1625识
1542撒 1570闪 1598审 1626实
1543洒 1571陕 1599婶 1627拾
1544萨 1572扇 1600肾 1628蚀
1545塞 1573善 1601甚 1629食
1546赛 1574伤 1602渗 1630史


1631使 1659授 1687帅 1715艘
1632始 1660瘦 1688双 1716苏
1633驶 1661书 1689霜 1717俗
1634士 1662抒 1690爽 1718诉
1635氏 1663叔 1691谁 1719肃
1636世 1664枢 1692水 1720素
1637市 1665殊 1693税 1721速
1638示 1666疏 1694睡 1722宿
1639式 1667舒 1695顺 1723塑
1640事 1668输 1696瞬 1724酸
1641侍 1669蔬 1697说 1725蒜
1642势 1670熟 1698丝 1726算
1643视 1671暑 1699司 1727虽
1644试 1672署 1700私 1728随
1645饰 1673属 1701思 1729髓
1646室 1674鼠 1702斯 1730岁
1647是 1675薯 1703撕 1731遂
1648适 1676术 1704死 1732碎
1649逝 1677束 1705四 1733穗
1650释 1678述 1706寺 1734孙
1651收 1679树 1707似 1735损
1652手 1680竖 1708饲 1736笋
