25磅 51瘪 76豺
1蔼 26镑 52彬 77掺
2隘 27苞 53斌 78搀
3庵 28褒 54缤 79禅
4鞍 29雹 55濒 80馋
5黯 30鲍 56鬓 81蝉
6肮 31狈 57秉 82铲
7拗 32悖 58禀 83猖
8袄 33惫 59菠 84敞
9懊 34笨 60舶 85钞
35绷 61渤 86嘲
10扒 36泵 62跛 87澈
11芭 37蹦 63簸 88忱
12疤 38匕 64哺 89辰
13捌 39鄙 65怖 90澄
14跋 40庇 66埠 91逞
15靶 41毙 67簿 92秤
16掰 42痹 93痴
17扳 43弊 68睬 94弛
18拌 44璧 69惭 95侈
19绊 45贬 70沧 96耻
20梆 46匾 71糙 97宠
21绑 47辫 72厕 98畴
22榜 48彪 73蹭 99稠
23蚌 49憋 74茬 100锄
24谤 50鳖 75岔 101雏


102橱 129怠 157鼎 184蛾
103矗 130贷 158董 185扼
104揣 131耽 159栋 186鄂
105疮 132铛 160兜 187愕
106炊 133档 161蚪 188遏
107捶 134叨 162逗 189噩
108椿 135捣 163痘 190饵
109淳 136祷 164睹 191贰
110蠢 137悼 165妒 
111戳 138蹬 166镀 192筏
112绰 139嘀 167缎 193矶
113祠 140涤 168兑 194妃
114赐 141缔 169墩 195匪
115囱 142蒂 170盹 196诽
116醋 143掂 171囤 197吠
117簇 144滇 172钝 198吩
118窜 145巅 173咄 199氛
119篡 146碘 174哆 200焚
120崔 147佃 175踱 201忿
121摧 148甸 176垛 202讽
122悴 149玷 177堕 203敷
123粹 150惦 178舵 204芙
124搓 151奠 179惰 205拂
125撮 152刁 180跺 206俘
126挫 153叼 207袱
154迭 181讹 208甫
127瘩 155谍 182娥 209斧
128歹 156碟 183峨 210俯


211脯 238躬 265撼 293贿
212咐 239汞 266翰 294晦
213缚 240苟 267夯 295秽
241垢 268嚎 296荤
214尬 242沽 269皓 297豁
215丐 243辜 270禾 
216柑 244雇 271烘 298讥
217竿 245寡 272弘 299叽
218尴 246卦 273弧 300唧
219秆 247褂 274唬 301缉
220橄 248乖 275沪 302畸
221赣 249棺 276猾 303箕
222冈 250逛 277徊 304稽
223肛 251闺 278槐 305棘
224杠 252瑰 279宦 306嫉
225羔 253诡 280涣 307妓
226膏 254癸 281焕 308祭
227糕 255跪 282痪 309鲫
228镐 283凰 310冀
229疙 256亥 284惶 311颊
230搁 257骇 285蝗 312奸
231蛤 258酣 286簧 313歼
232庚 259憨 287恍 314煎
233羹 260涵 288谎 315拣
234埋 261悍 289幌 316俭
235耿 262捍 290卉 317柬
236梗 263焊 291讳 318茧
237蚣 264憾 292诲 319捡


320荐 348荆 403旷
321贱 349兢 376咖 404框
322涧 350靖 377揩 405眶
323溅 351窘 378楷 406盔
324槛 352揪 379勘 407窥
325缰 353灸 380坎 408魁
326桨 354玖 381慷 409馈
327酱 355韭 382糠 410坤
328椒 356臼 383扛 411捆
329跤 357疚 384亢 412廓
330蕉 358拘 385拷 
331侥 359驹 386铐 413睐
332狡 360鞠 387坷 414婪
333绞 361沮 388苛 415澜
334饺 362炬 389磕 416揽
335矫 363锯 390蝌 417缆
336剿 364娟 391垦 418榄
337缴 365捐 392恳 419琅
338窖 366鹃 393啃 420榔
339酵 367绢 394吭 421唠
340秸 368眷 395抠 422姥
341桔 369诀 396叩 423涝
342睫 370倔 397寇 424烙
343芥 371崛 398窟 425酪
344诫 372爵 399垮 426垒
345藉 373钧 400挎 427磊
346襟 374骏 401筷 428肋
347谨 375竣 402筐 429擂


430棱 458赁 486抡 513渺
431狸 459蹒 487仑 514藐
432漓 460伶 488沦 515蔑
433篱 461聆 489啰 516皿
434吏 462菱 490锣 517闽
435沥 463浏 491夢 518悯
436俐 464琉 492骡 519冥
437荔 465馅 520铭
438栗 466榴 493蟆 521谬
439砾 467咙 494馒 522馍
440痢 468胧 495瞒 523摹
441雳 469聋 496蔓 524茉
442镰 470窿 497莽 525寞
443敛 471娄 498锚 526沐
444粱 472搂 499卯 527募
445谅 473篓 500昧 528睦
446晾 474陋 501媚 529暮
447寥 475庐 502魅 
448嚎 476颅 503氓 530呐
449撩 477卤 504朦 531捺
450缭 478虏 505檬 532挠
451瞭 479赂 506镒 533瑙
452咧 480禄 507咪 534馁
453拎 481吕 508靡 535妮
454琳 482侣 509眯 536匿
455鳞 483屡 510觅 537溺
456凛 484缕 511缅 538腻
457吝 485峦 512瞄 539捻

540撵 566螃 593祈 621擒
541碾 567刨 594脐 622寝
