seq,word
1001,葵
1002,愧
1003,溃
1004,昆
1005,困
1006,扩
1007,括
1008,阔
1009,垃
1010,拉
1011,啦
1012,喇
1013,腊
1014,蜡
1015,辣
1016,来
1017,莱
1018,赖
1019,兰
1020,拦
1021,栏
1022,蓝
1023,篮
1024,览
1025,懒
1026,烂
1027,滥
1028,郎
1029,狼
1030,廊
1031,朗
1032,浪
1033,捞
1034,劳
1035,牢
1036,老
1037,乐
1038,勒
1039,雷
1040,蕾
1041,泪
1042,类
1043,累
1044,冷
1045,愣
1046,厘
1047,梨
1048,离
1049,犁
1050,璃
1051,黎
1052,礼
1053,李
1054,里
1055,哩
1056,理
1057,鲤
1058,力
1059,历
1060,厉
1061,立
1062,丽
1063,利
1064,励
1065,例
1066,隶
1067,粒
1068,莉
1069,俩
1070,连
1071,帘
1072,怜
1073,莲
1074,联
1075,廉
1076,脸
1077,练
1078,炼
1079,恋
1080,链
1081,良
1082,凉
1083,梁
1084,粮
1085,两
1086,亮
1087,辆
1088,量
1089,辽
1090,疗
1091,聊
1092,僚
1093,了
1094,料
1095,列
1096,劣
1097,烈
1098,猎
1099,裂
1100,邻
1101,林
1102,临
1103,淋
1104,磷
1105,灵
1106,玲
1107,凌
1108,铃
1109,陵
1110,羚
1111,零
1112,龄
1113,领
1114,岭
1115,令
1116,另
1117,溜
1118,刘
1119,流
1120,留
1121,硫
1122,瘤
1123,柳
1124,六
1125,龙
1126,笼
1127,隆
1128,垄
1129,拢
1130,楼
1131,漏
1132,露
1133,卢
1134,芦
1135,炉
1136,鲁
1137,陆
1138,录
1139,鹿
1140,碌
1141,路
1142,驴
1143,旅
1144,铝
1145,履
1146,律
1147,虑
1148,率
1149,绿
1150,氯
1151,滤
1152,卵
1153,乱
1154,掠
1155,略
1156,伦
1157,轮
1158,论
1159,罗
1160,萝
1161,逻
1162,螺
1163,裸
1164,洛
1165,络
1166,骆
1167,落
1168,妈
1169,麻
1170,马
1171,玛
1172,码
1173,蚂
1174,骂
1175,吗
1176,嘛
1177,埋
1178,买
