seq,word
1,蔼
2,隘
3,庵
4,鞍
5,黯
6,肮
7,拗
8,袄
9,懊
10,扒
11,芭
12,疤
13,捌
14,跋
15,靶
16,掰
17,扳
18,拌
19,绊
20,梆
21,绑
22,榜
23,蚌
24,谤
25,磅
26,镑
27,苞
28,褒
29,雹
30,鲍
31,狈
32,悖
33,惫
34,笨
35,绷
36,泵
37,蹦
38,匕
39,鄙
40,庇
41,毙
42,痹
43,弊
44,璧
45,贬
46,匾
47,辫
48,彪
49,憋
50,鳖
51,瘪
52,彬
53,斌
54,缤
55,濒
56,鬓
57,秉
58,禀
59,菠
60,舶
61,渤
62,跛
63,簸
64,哺
65,怖
66,埠
67,簿
68,睬
69,惭
70,沧
71,糙
72,厕
73,蹭
74,茬
75,岔
76,豺
77,掺
78,搀
79,禅
80,馋
81,蝉
82,铲
83,猖
84,敞
85,钞
86,嘲
87,澈
88,忱
89,辰
90,澄
91,逞
92,秤
93,痴
94,弛
95,侈
96,耻
97,宠
98,畴
99,稠
100,锄
101,雏
102,橱
103,矗
104,揣
105,疮
106,炊
107,捶
108,椿
109,淳
110,蠢
111,戳
112,绰
113,祠
114,赐
115,囱
116,醋
117,簇
118,窜
119,篡
120,崔
121,摧
122,悴
123,粹
124,搓
125,撮
126,挫
127,瘩
128,歹
129,怠
130,贷
131,耽
132,铛
133,档
134,叨
135,捣
136,祷
137,悼
138,蹬
139,嘀
140,涤
141,缔
142,蒂
143,掂
144,滇
145,巅
146,碘
147,佃
148,甸
149,玷
150,惦
151,奠
152,刁
153,叼
154,迭
155,谍
156,碟
157,鼎
158,董
159,栋
160,兜
161,蚪
162,逗
163,痘
164,睹
165,妒
166,镀
167,缎
168,兑
169,墩
170,盹
171,囤
172,钝
173,咄
174,哆
175,踱
176,垛
177,堕
178,舵
179,惰
180,跺
181,讹
182,娥
183,峨
184,蛾
185,扼
186,鄂
187,愕
188,遏
189,噩
190,饵
191,贰
192,筏
193,矶
194,妃
195,匪
196,诽
197,吠
198,吩
199,氛
200,焚
201,忿
202,讽
203,敷
204,芙
205,拂
206,俘
207,袱
208,甫
209,斧
210,俯
211,脯
212,咐
213,缚
214,尬
215,丐
216,柑
217,竿
218,尴
219,秆
220,橄
221,赣
222,冈
223,肛
224,杠
225,羔
226,膏
227,糕
228,镐
229,疙
230,搁
231,蛤
232,庚
233,羹
234,埋
235,耿
236,梗
237,蚣
238,躬
239,汞
240,苟
241,垢
242,沽
243,辜
244,雇
245,寡
246,卦
247,褂
248,乖
249,棺
250,逛
251,闺
252,瑰
253,诡
254,癸
255,跪
256,亥
257,骇
258,酣
259,憨
260,涵
261,悍
262,捍
263,焊
264,憾
265,撼
266,翰
267,夯
268,嚎
269,皓
270,禾
271,烘
