seq,word
3501,乂
3508,亓
3511,丏
3516,仉
3517,仂
3525,夬
3526,爿
3530,艽
3536,匜
3537,劢
3538,卟
3540,叻
3547,卮
3549,犰
3558,尻
3560,尕
3565,玎
3569,圬
3572,圪
3574,圹
3576,圮
3577,圯
3580,芄
3582,芑
3586,厍
3587,夼
3594,屺
3595,凼
3596,囡
3597,钇
3599,氘
3604,伢
3606,仵
3613,刖
3618,犸
3624,汔
3627,汜
3632,讵
3637,厾
3644,纡
3648,玕
3649,玙
3652,圻
3656,抃
3658,㧐
3663,苈
3668,芼
3669,苌
3670,苁
3675,苄
3678,杌
3679,杓
3683,孛
3684,邴
3690,欤
3693,邶
3695,卣
3697,旰
3698,呋
3699,呒
3701,呔
3702,呖
3704,旸
3705,吡
3706,町
3709,吽
3711,吲
3714,岈
3715,岘
3718,兕
3723,钌
3724,迕
3727,牤
3741,坌
3742,肟
3745,劬
3747,狁
3751,饩
3753,饫
3756,庑
3757,庋
3766,沣
3768,沔
3772,沚
3777,沨
3781,沩
3782,泐
3792,忭
3800,诒
3811,妗
3812,妫
3815,妤
3818,刭
3820,邰
3823,纴
3825,纾
3827,玡
3828,玭
3829,玠
3830,玢
3831,玥
3832,玦
3835,匦
3838,拤
3839,坫
3841,垆
3843,劼
3848,㧟
3850,坭
3854,苷
3860,苴
3864,苻
3866,茚
3867,茆
3868,茑
3869,茓
3872,茀
3876,杪
3878,枧
3880,枨
3882,枋
3883,杻
3886,矸
3888,刳
3894,郅
3900,昃
3904,昀
3905,旻
3906,昉
3907,炅
3910,虮
3913,黾
3915,呤
3920,呣
3928,岣
3930,刿
3933,剀
3934,帔
3939,钍
3941,钏
3943,钕
3945,邾
3946,迮
3953,侑
3954,侉
3962,佾
3969,侔
3970,徂
3972,郄
3977,肼
3978,䏝
3979,肽
3984,郇
3997,疠
4004,𬉼
4006,炘
4011,泷
4017,泺
4018,泖
4020,泮
4028,怛
4031,㤘
4034,怿
4037,宓
4039,诔
4040,诖
4047,祆
4048,祎
4050,祇
4052,诜
4063,陔
4067,帑
4069,孥
4073,迨
4075,绁
4076,绂
4082,骀
4083,甾
4090,顸
4091,珉
4094,垭
4098,垤
4101,垱
4102,垌
4106,挦
4110,荑
4111,贳
4117,莛
4121,荇
4133,荩
4134,剋
4135,荪
4137,荬
4138,荮
4139,柰
4143,栊
4147,柙
4152,柝
4154,柢
4157,柈
4160,柽
4161,剌
4163,郦
4165,砗
4166,砘
4168,斫
4170,砜
4173,虺
4174,殂
4182,轸
4183,虿
4185,觇
4186,尜
4188,眄
4190,𠳐
4191,郢
4192,眇
4193,眊
4197,咴
4199,昴
4200,昱
4205,畎
4209,畋
4210,畈
4211,虼
4215,哕
4221,哌
4222,哙
4223,哚
4231,峣
4234,峒
4235,峤
4238,贶
4243,钤
4246,钯
4250,郜
4258,俅
4261,垡
4262,牮
4263,俣
4275,郤
4276,爰
4277,郛
4279,胨
4280,胪
4282,胂
4283,胙
4284,胍
4291,狨
4293,飑
4297,逄
4298,昝
4304,娈
4307,庥
4308,疬
4311,疭
4312,庠
4313,竑
4316,闼
4318,闿
4320,羑
4325,炻
4328,烀
4330,烃
4332,洹
4333,洧
4338,洙
4340,洎
4341,洫
4342,浍
4344,洵
4347,浕
4348,洳
4350,恓
4355,恂
4357,恽
4359,扃
4362,衿
4366,祓
4369,祗
4370,祢
4374,昶
4378,牁
4383,姮
4391,炱
4399,耖
4401,珥
4404,珰
4405,珩
4406,珧
4407,珣
4409,琤
4412,恚
4414,埕
4415,埘
4418,挹
4421,埒
4424,垸
4425,捃
4431,莪
4437,莩
4439,莸
4444,莨
4451,桡
4454,桤
4455,梃
4456,栝
4457,桕
4458,桁
4461,栟
4465,逋
4466,彧
4469,酐
4472,孬
4474,砹
4478,砟
4479,砼
4482,剞
4483,砻
4486,辂
4487,鸫
4489,龀
4494,唛
4504,趵
4506,畛
4507,蚨
4510,蚋
4516,唣
4523,罟
