#,	汉字,	Unicode,	普通话读音
6501,	亍,	U+4E8D	,chù
6502,	尢,	U+5C22	,wāng
6503,	彳,	U+5F73	,chì
6504,	卬,	U+536C	,áng
6505,	殳,	U+6BB3	,shū
6506,	𠙶,	U+20676,	ǒu
6507,	毌,	U+6BCC	,guàn
6508,	邘,	U+9098	,yú
6509,	戋,	U+620B	,jiān
6510,	圢,	U+5722	,tǐng
6511,	氕,	U+6C15	,piē
6512,	伋,	U+4F0B	,jí
6513,	仝,	U+4EDD	,tóng
6514,	冮,	U+51AE	,gāng
6515,	氿,	U+6C3F	,jiǔ
6516,	汈,	U+6C48	,diāo
6517,	氾,	U+6C3E	,fán
6518,	忉,	U+5FC9	,dāo
6519,	宄,	U+5B84	,guǐ
6520,	𬣙,	U+2C8D9,	xū
6521,	讱,	U+8BB1	,rèn
6522,	扞,	U+625E	,hàn
6523,	圲,	U+5732	,qiān
6524,	圫,	U+572B	,tuō
6525,	芏,	U+828F	,dù
6526,	芃,	U+8283	,péng
6527,	朳,	U+6733	,bā
6528,	朸,	U+6738	,lì
6529,	𨙸,	U+28678,	qí
6530,	邨,	U+90A8	,cūn
6531,	吒,	U+5412	,zhā
6532,	吖,	U+5416	,ā
6533,	屼,	U+5C7C	,wù
6534,	屾,	U+5C7E	,shēn
6535,	辿,	U+8FBF	,chān
6536,	钆,	U+9486	,gá
6537,	仳,	U+4EF3	,pǐ
6538,	伣,	U+4F23	,qiàn
6539,	伈,	U+4F08	,xǐn
6540,	癿,	U+767F	,bié
6541,	甪,	U+752A	,lù
6542,	邠,	U+90A0	,bīn
6543,	犴,	U+72B4	,àn，hān
6544,	冱,	U+51B1	,hù
6545,	邡,	U+90A1	,fāng
6546,	闫,	U+95EB	,yán
6547,	𬇕,	U+2C1D5,	wàn
6548,	汋,	U+6C4B	,zhuó
6549,	䜣,	U+4723	,xīn
6550,	讻,	U+8BBB	,xiōng
6551,	𬣞,	U+2C8DE,	zhǔ
6552,	孖,	U+5B56	,zī
6553,	𬘓,	U+2C613,	xún
6554,	纩,	U+7EA9	,kuàng
6555,	玒,	U+7392	,hóng
6556,	玓,	U+7393	,dì
6557,	玘,	U+7398	,qǐ
6558,	玚,	U+739A	,yáng
6559,	刬,	U+522C	,chàn
6560,	𫭟,	U+2BB5F,	ōu，qū
6561,	坜,	U+575C	,lì
6562,	坉,	U+5749	,tún
6563,	扽,	U+627D	,dèn
6564,	𫭢,	U+2BB62,	lǔn
6565,	坋,	U+574B	,fèn
6566,	扺,	U+627A	,zhǐ
6567,	㧑,	U+39D1	,huī
6568,	毐,	U+6BD0	,ǎi
6569,	芰,	U+82B0	,jì
6570,	芣,	U+82A3	,fú
6571,	苊,	U+82CA	,è
6572,	苉,	U+82C9	,pǐ
6573,	芘,	U+8298	,bǐ
6574,	芴,	U+82B4	,wù
6575,	芠,	U+82A0	,wén
6576,	𫇭,	U+2B1ED,	wěi
6577,	芤,	U+82A4	,kōu
6578,	杕,	U+6755	,dì
6579,	杙,	U+6759	,yì
6580,	杄,	U+6744	,qiān
6581,	杧,	U+6767	,máng
6582,	杩,	U+6769	,mà
6583,	尪,	U+5C2A	,wāng
6584,	尨,	U+5C28	,máng
6585,	轪,	U+8F6A	,dài
6586,	𫐄,	U+2B404,	yuè
6587,	坒,	U+5752	,bì
6588,	芈,	U+8288	,mǐ
6589,	旴,	U+65F4	,xū
6590,	旵,	U+65F5	,chǎn
6591,	呙,	U+5459	,guō
6592,	㕮,	U+356E	,fǔ
6593,	岍,	U+5C8D	,qiān
6594,	𫵷,	U+2BD77,	lì
6595,	岠,	U+5CA0	,jù
6596,	岜,	U+5C9C	,bā
6597,	呇,	U+5447	,mèn
6598,	冏,	U+518F	,jiǒng
6599,	觃,	U+89C3	,yàn
6600,	岙,	U+5C99	,ào
6601,	伾,	U+4F3E	,pī
6602,	㑇,	U+3447	,zhòu
6603,	伭,	U+4F2D	,xián
6604,	佖,	U+4F56	,bì
6605,	伲,	U+4F32	,ní
6606,	佁,	U+4F41	,yǐ
6607,	飏,	U+98CF	,yáng
6608,	狃,	U+72C3	,niǔ
6609,	闶,	U+95F6	,kàng
6610,	汧,	U+6C67	,qiān
6611,	汫,	U+6C6B	,jǐng
6612,	𣲘,	U+23C98,	wǔ
6613,	𣲗,	U+23C97,	wéi
6614,	沄,	U+6C84	,yún
6615,	沘,	U+6C98	,bǐ
6616,	𬇙,	U+2C1D9,	bèi
6617,	汭,	U+6C6D	,ruì
6618,	㳇,	U+3CC7	,fù
6619,	沇,	U+6C87	,yǎn
6620,	忮,	U+5FEE	,zhì
6621,	忳,	U+5FF3	,tún
6622,	忺,	U+5FFA	,xiān
6623,	𬣡,	U+2C8E1,	jiàn
6624,	祃,	U+7943	,mà
6625,	诇,	U+8BC7	,xiòng
6626,	邲,	U+90B2	,bì
6627,	诎,	U+8BCE	,qū
6628,	诐,	U+8BD0	,bì
6629,	屃,	U+5C43	,xì
6630,	𫸩,	U+2BE29,	kōu
6631,	岊,	U+5C8A	,jié
6632,	阽,	U+963D	,diàn
6633,	䢺,	U+48BA	,chū
6634,	阼,	U+963C	,zuò
