seq,	word,	Unicode,pinyin
0001,	一,	U+4E00,	yī
0002,	乙,	U+4E59,	yǐ
0003,	二,	U+4E8C,	èr
0004,	十,	U+5341,	shí
0005,	丁,	U+4E01,	dīng
0006,	厂,	U+5382,	chǎng
0007,	七,	U+4E03,	qī
0008,	卜,	U+535C,	bo，bǔ
0009,	八,	U+516B,	bā
0010,	人,	U+4EBA,	rén
0011,	入,	U+5165,	rù
0012,	儿,	U+513F,	ér
0013,	匕,	U+5315,	bǐ
0014,	几,	U+51E0,	jī，jǐ
0015,	九,	U+4E5D,	jiǔ
0016,	刁,	U+5201,	diāo
0017,	了,	U+4E86,	le，liǎo
0018,	刀,	U+5200,	dāo
0019,	力,	U+529B,	lì
0020,	乃,	U+4E43,	nǎi
0021,	又,	U+53C8,	yòu
0022,	三,	U+4E09,	sān
0023,	干,	U+5E72,	gān，gàn
0024,	于,	U+4E8E,	yú
0025,	亏,	U+4E8F,	kuī
0026,	工,	U+5DE5,	gōng
0027,	土,	U+571F,	tǔ
0028,	士,	U+58EB,	shì
0029,	才,	U+624D,	cái
0030,	下,	U+4E0B,	xià
0031,	寸,	U+5BF8,	cùn
0032,	大,	U+5927,	dà，dài
0033,	丈,	U+4E08,	zhàng
0034,	与,	U+4E0E,	yǔ，yù
0035,	万,	U+4E07,	mò，wàn
0036,	上,	U+4E0A,	shǎng，shàng
0037,	小,	U+5C0F,	xiǎo
0038,	口,	U+53E3,	kǒu
0039,	山,	U+5C71,	shān
0040,	巾,	U+5DFE,	jīn
0041,	千,	U+5343,	qiān
0042,	乞,	U+4E5E,	qǐ
0043,	川,	U+5DDD,	chuān
0044,	亿,	U+4EBF,	yì
0045,	个,	U+4E2A,	gě，gè
0046,	夕,	U+5915,	xī
0047,	久,	U+4E45,	jiǔ
0048,	么,	U+4E48,	me
0049,	勺,	U+52FA,	sháo
0050,	凡,	U+51E1,	fán
0051,	丸,	U+4E38,	wán
0052,	及,	U+53CA,	jí
0053,	广,	U+5E7F,	guǎng
0054,	亡,	U+4EA1,	wáng
0055,	门,	U+95E8,	mén
0056,	丫,	U+4E2B,	yā
0057,	义,	U+4E49,	yì
0058,	之,	U+4E4B,	zhī
0059,	尸,	U+5C38,	shī
0060,	己,	U+5DF1,	jǐ
