id,seq,level,title,desc,items
"cnwq0","0","level1","通用规范汉字表一级字表（3500字）0","通用规范汉字表一级字表（3500字）0,汉字拼音测试0","cnwqi0001,cnwqi0002,cnwqi0003,cnwqi0004,cnwqi0005,cnwqi0006,cnwqi0007,cnwqi0008,cnwqi0009,cnwqi0010,cnwqi0011,cnwqi0012,cnwqi0013,cnwqi0014,cnwqi0015,cnwqi0016,cnwqi0017,cnwqi0018,cnwqi0019,cnwqi0020,cnwqi0021,cnwqi0022,cnwqi0023,cnwqi0024,cnwqi0025,cnwqi0026,cnwqi0027,cnwqi0028,cnwqi0029,cnwqi0030,cnwqi0031,cnwqi0032,cnwqi0033,cnwqi0034,cnwqi0035,cnwqi0036,cnwqi0037,cnwqi0038,cnwqi0039,cnwqi0040,cnwqi0041,cnwqi0042,cnwqi0043,cnwqi0044,cnwqi0045,cnwqi0046,cnwqi0047,cnwqi0048,cnwqi0049,cnwqi0050,cnwqi0051,cnwqi0052,cnwqi0053,cnwqi0054,cnwqi0055,cnwqi0056,cnwqi0057,cnwqi0058,cnwqi0059,cnwqi0060,cnwqi0061,cnwqi0062,cnwqi0063,cnwqi0064,cnwqi0065,cnwqi0066,cnwqi0067,cnwqi0068,cnwqi0069,cnwqi0070,cnwqi0071,cnwqi0072,cnwqi0073,cnwqi0074,cnwqi0075,cnwqi0076,cnwqi0077,cnwqi0078,cnwqi0079,cnwqi0080,cnwqi0081,cnwqi0082,cnwqi0083,cnwqi0084,cnwqi0085,cnwqi0086,cnwqi0087,cnwqi0088,cnwqi0089,cnwqi0090,cnwqi0091,cnwqi0092,cnwqi0093,cnwqi0094,cnwqi0095,cnwqi0096,cnwqi0097,cnwqi0098,cnwqi0099,cnwqi0100"
"cnwq1","1","level1","通用规范汉字表一级字表（3500字）1","通用规范汉字表一级字表（3500字）1,汉字拼音测试1","cnwqi0101,cnwqi0102,cnwqi0103,cnwqi0104,cnwqi0105,cnwqi0106,cnwqi0107,cnwqi0108,cnwqi0109,cnwqi0110,cnwqi0111,cnwqi0112,cnwqi0113,cnwqi0114,cnwqi0115,cnwqi0116,cnwqi0117,cnwqi0118,cnwqi0119,cnwqi0120,cnwqi0121,cnwqi0122,cnwqi0123,cnwqi0124,cnwqi0125,cnwqi0126,cnwqi0127,cnwqi0128,cnwqi0129,cnwqi0130,cnwqi0131,cnwqi0132,cnwqi0133,cnwqi0134,cnwqi0135,cnwqi0136,cnwqi0137,cnwqi0138,cnwqi0139,cnwqi0140,cnwqi0141,cnwqi0142,cnwqi0143,cnwqi0144,cnwqi0145,cnwqi0146,cnwqi0147,cnwqi0148,cnwqi0149,cnwqi0150,cnwqi0151,cnwqi0152,cnwqi0153,cnwqi0154,cnwqi0155,cnwqi0156,cnwqi0157,cnwqi0158,cnwqi0159,cnwqi0160,cnwqi0161,cnwqi0162,cnwqi0163,cnwqi0164,cnwqi0165,cnwqi0166,cnwqi0167,cnwqi0168,cnwqi0169,cnwqi0170,cnwqi0171,cnwqi0172,cnwqi0173,cnwqi0174,cnwqi0175,cnwqi0176,cnwqi0177,cnwqi0178,cnwqi0179,cnwqi0180,cnwqi0181,cnwqi0182,cnwqi0183,cnwqi0184,cnwqi0185,cnwqi0186,cnwqi0187,cnwqi0188,cnwqi0189,cnwqi0190,cnwqi0191,cnwqi0192,cnwqi0193,cnwqi0194,cnwqi0195,cnwqi0196,cnwqi0197,cnwqi0198,cnwqi0199,cnwqi0200"
"cnwq2","2","level1","通用规范汉字表一级字表（3500字）2","通用规范汉字表一级字表（3500字）2,汉字拼音测试2","cnwqi0201,cnwqi0202,cnwqi0203,cnwqi0204,cnwqi0205,cnwqi0206,cnwqi0207,cnwqi0208,cnwqi0209,cnwqi0210,cnwqi0211,cnwqi0212,cnwqi0213,cnwqi0214,cnwqi0215,cnwqi0216,cnwqi0217,cnwqi0218,cnwqi0219,cnwqi0220,cnwqi0221,cnwqi0222,cnwqi0223,cnwqi0224,cnwqi0225,cnwqi0226,cnwqi0227,cnwqi0228,cnwqi0229,cnwqi0230,cnwqi0231,cnwqi0232,cnwqi0233,cnwqi0234,cnwqi0235,cnwqi0236,cnwqi0237,cnwqi0238,cnwqi0239,cnwqi0240,cnwqi0241,cnwqi0242,cnwqi0243,cnwqi0244,cnwqi0245,cnwqi0246,cnwqi0247,cnwqi0248,cnwqi0249,cnwqi0250,cnwqi0251,cnwqi0252,cnwqi0253,cnwqi0254,cnwqi0255,cnwqi0256,cnwqi0257,cnwqi0258,cnwqi0259,cnwqi0260,cnwqi0261,cnwqi0262,cnwqi0263,cnwqi0264,cnwqi0265,cnwqi0266,cnwqi0267,cnwqi0268,cnwqi0269,cnwqi0270,cnwqi0271,cnwqi0272,cnwqi0273,cnwqi0274,cnwqi0275,cnwqi0276,cnwqi0277,cnwqi0278,cnwqi0279,cnwqi0280,cnwqi0281,cnwqi0282,cnwqi0283,cnwqi0284,cnwqi0285,cnwqi0286,cnwqi0287,cnwqi0288,cnwqi0289,cnwqi0290,cnwqi0291,cnwqi0292,cnwqi0293,cnwqi0294,cnwqi0295,cnwqi0296,cnwqi0297,cnwqi0298,cnwqi0299,cnwqi0300"
"cnwq3","3","level1","通用规范汉字表一级字表（3500字）3","通用规范汉字表一级字表（3500字）3,汉字拼音测试3","cnwqi0301,cnwqi0302,cnwqi0303,cnwqi0304,cnwqi0305,cnwqi0306,cnwqi0307,cnwqi0308,cnwqi0309,cnwqi0310,cnwqi0311,cnwqi0312,cnwqi0313,cnwqi0314,cnwqi0315,cnwqi0316,cnwqi0317,cnwqi0318,cnwqi0319,cnwqi0320,cnwqi0321,cnwqi0322,cnwqi0323,cnwqi0324,cnwqi0325,cnwqi0326,cnwqi0327,cnwqi0328,cnwqi0329,cnwqi0330,cnwqi0331,cnwqi0332,cnwqi0333,cnwqi0334,cnwqi0335,cnwqi0336,cnwqi0337,cnwqi0338,cnwqi0339,cnwqi0340,cnwqi0341,cnwqi0342,cnwqi0343,cnwqi0344,cnwqi0345,cnwqi0346,cnwqi0347,cnwqi0348,cnwqi0349,cnwqi0350,cnwqi0351,cnwqi0352,cnwqi0353,cnwqi0354,cnwqi0355,cnwqi0356,cnwqi0357,cnwqi0358,cnwqi0359,cnwqi0360,cnwqi0361,cnwqi0362,cnwqi0363,cnwqi0364,cnwqi0365,cnwqi0366,cnwqi0367,cnwqi0368,cnwqi0369,cnwqi0370,cnwqi0371,cnwqi0372,cnwqi0373,cnwqi0374,cnwqi0375,cnwqi0376,cnwqi0377,cnwqi0378,cnwqi0379,cnwqi0380,cnwqi0381,cnwqi0382,cnwqi0383,cnwqi0384,cnwqi0385,cnwqi0386,cnwqi0387,cnwqi0388,cnwqi0389,cnwqi0390,cnwqi0391,cnwqi0392,cnwqi0393,cnwqi0394,cnwqi0395,cnwqi0396,cnwqi0397,cnwqi0398,cnwqi0399,cnwqi0400"
"cnwq4","4","level1","通用规范汉字表一级字表（3500字）4","通用规范汉字表一级字表（3500字）4,汉字拼音测试4","cnwqi0401,cnwqi0402,cnwqi0403,cnwqi0404,cnwqi0405,cnwqi0406,cnwqi0407,cnwqi0408,cnwqi0409,cnwqi0410,cnwqi0411,cnwqi0412,cnwqi0413,cnwqi0414,cnwqi0415,cnwqi0416,cnwqi0417,cnwqi0418,cnwqi0419,cnwqi0420,cnwqi0421,cnwqi0422,cnwqi0423,cnwqi0424,cnwqi0425,cnwqi0426,cnwqi0427,cnwqi0428,cnwqi0429,cnwqi0430,cnwqi0431,cnwqi0432,cnwqi0433,cnwqi0434,cnwqi0435,cnwqi0436,cnwqi0437,cnwqi0438,cnwqi0439,cnwqi0440,cnwqi0441,cnwqi0442,cnwqi0443,cnwqi0444,cnwqi0445,cnwqi0446,cnwqi0447,cnwqi0448,cnwqi0449,cnwqi0450,cnwqi0451,cnwqi0452,cnwqi0453,cnwqi0454,cnwqi0455,cnwqi0456,cnwqi0457,cnwqi0458,cnwqi0459,cnwqi0460,cnwqi0461,cnwqi0462,cnwqi0463,cnwqi0464,cnwqi0465,cnwqi0466,cnwqi0467,cnwqi0468,cnwqi0469,cnwqi0470,cnwqi0471,cnwqi0472,cnwqi0473,cnwqi0474,cnwqi0475,cnwqi0476,cnwqi0477,cnwqi0478,cnwqi0479,cnwqi0480,cnwqi0481,cnwqi0482,cnwqi0483,cnwqi0484,cnwqi0485,cnwqi0486,cnwqi0487,cnwqi0488,cnwqi0489,cnwqi0490,cnwqi0491,cnwqi0492,cnwqi0493,cnwqi0494,cnwqi0495,cnwqi0496,cnwqi0497,cnwqi0498,cnwqi0499,cnwqi0500"
"cnwq5","5","level1","通用规范汉字表一级字表（3500字）5","通用规范汉字表一级字表（3500字）5,汉字拼音测试5","cnwqi0501,cnwqi0502,cnwqi0503,cnwqi0504,cnwqi0505,cnwqi0506,cnwqi0507,cnwqi0508,cnwqi0509,cnwqi0510,cnwqi0511,cnwqi0512,cnwqi0513,cnwqi0514,cnwqi0515,cnwqi0516,cnwqi0517,cnwqi0518,cnwqi0519,cnwqi0520,cnwqi0521,cnwqi0522,cnwqi0523,cnwqi0524,cnwqi0525,cnwqi0526,cnwqi0527,cnwqi0528,cnwqi0529,cnwqi0530,cnwqi0531,cnwqi0532,cnwqi0533,cnwqi0534,cnwqi0535,cnwqi0536,cnwqi0537,cnwqi0538,cnwqi0539,cnwqi0540,cnwqi0541,cnwqi0542,cnwqi0543,cnwqi0544,cnwqi0545,cnwqi0546,cnwqi0547,cnwqi0548,cnwqi0549,cnwqi0550,cnwqi0551,cnwqi0552,cnwqi0553,cnwqi0554,cnwqi0555,cnwqi0556,cnwqi0557,cnwqi0558,cnwqi0559,cnwqi0560,cnwqi0561,cnwqi0562,cnwqi0563,cnwqi0564,cnwqi0565,cnwqi0566,cnwqi0567,cnwqi0568,cnwqi0569,cnwqi0570,cnwqi0571,cnwqi0572,cnwqi0573,cnwqi0574,cnwqi0575,cnwqi0576,cnwqi0577,cnwqi0578,cnwqi0579,cnwqi0580,cnwqi0581,cnwqi0582,cnwqi0583,cnwqi0584,cnwqi0585,cnwqi0586,cnwqi0587,cnwqi0588,cnwqi0589,cnwqi0590,cnwqi0591,cnwqi0592,cnwqi0593,cnwqi0594,cnwqi0595,cnwqi0596,cnwqi0597,cnwqi0598,cnwqi0599,cnwqi0600"
"cnwq6","6","level1","通用规范汉字表一级字表（3500字）6","通用规范汉字表一级字表（3500字）6,汉字拼音测试6","cnwqi0601,cnwqi0602,cnwqi0603,cnwqi0604,cnwqi0605,cnwqi0606,cnwqi0607,cnwqi0608,cnwqi0609,cnwqi0610,cnwqi0611,cnwqi0612,cnwqi0613,cnwqi0614,cnwqi0615,cnwqi0616,cnwqi0617,cnwqi0618,cnwqi0619,cnwqi0620,cnwqi0621,cnwqi0622,cnwqi0623,cnwqi0624,cnwqi0625,cnwqi0626,cnwqi0627,cnwqi0628,cnwqi0629,cnwqi0630,cnwqi0631,cnwqi0632,cnwqi0633,cnwqi0634,cnwqi0635,cnwqi0636,cnwqi0637,cnwqi0638,cnwqi0639,cnwqi0640,cnwqi0641,cnwqi0642,cnwqi0643,cnwqi0644,cnwqi0645,cnwqi0646,cnwqi0647,cnwqi0648,cnwqi0649,cnwqi0650,cnwqi0651,cnwqi0652,cnwqi0653,cnwqi0654,cnwqi0655,cnwqi0656,cnwqi0657,cnwqi0658,cnwqi0659,cnwqi0660,cnwqi0661,cnwqi0662,cnwqi0663,cnwqi0664,cnwqi0665,cnwqi0666,cnwqi0667,cnwqi0668,cnwqi0669,cnwqi0670,cnwqi0671,cnwqi0672,cnwqi0673,cnwqi0674,cnwqi0675,cnwqi0676,cnwqi0677,cnwqi0678,cnwqi0679,cnwqi0680,cnwqi0681,cnwqi0682,cnwqi0683,cnwqi0684,cnwqi0685,cnwqi0686,cnwqi0687,cnwqi0688,cnwqi0689,cnwqi0690,cnwqi0691,cnwqi0692,cnwqi0693,cnwqi0694,cnwqi0695,cnwqi0696,cnwqi0697,cnwqi0698,cnwqi0699,cnwqi0700"
"cnwq7","7","level1","通用规范汉字表一级字表（3500字）7","通用规范汉字表一级字表（3500字）7,汉字拼音测试7","cnwqi0701,cnwqi0702,cnwqi0703,cnwqi0704,cnwqi0705,cnwqi0706,cnwqi0707,cnwqi0708,cnwqi0709,cnwqi0710,cnwqi0711,cnwqi0712,cnwqi0713,cnwqi0714,cnwqi0715,cnwqi0716,cnwqi0717,cnwqi0718,cnwqi0719,cnwqi0720,cnwqi0721,cnwqi0722,cnwqi0723,cnwqi0724,cnwqi0725,cnwqi0726,cnwqi0727,cnwqi0728,cnwqi0729,cnwqi0730,cnwqi0731,cnwqi0732,cnwqi0733,cnwqi0734,cnwqi0735,cnwqi0736,cnwqi0737,cnwqi0738,cnwqi0739,cnwqi0740,cnwqi0741,cnwqi0742,cnwqi0743,cnwqi0744,cnwqi0745,cnwqi0746,cnwqi0747,cnwqi0748,cnwqi0749,cnwqi0750,cnwqi0751,cnwqi0752,cnwqi0753,cnwqi0754,cnwqi0755,cnwqi0756,cnwqi0757,cnwqi0758,cnwqi0759,cnwqi0760,cnwqi0761,cnwqi0762,cnwqi0763,cnwqi0764,cnwqi0765,cnwqi0766,cnwqi0767,cnwqi0768,cnwqi0769,cnwqi0770,cnwqi0771,cnwqi0772,cnwqi0773,cnwqi0774,cnwqi0775,cnwqi0776,cnwqi0777,cnwqi0778,cnwqi0779,cnwqi0780,cnwqi0781,cnwqi0782,cnwqi0783,cnwqi0784,cnwqi0785,cnwqi0786,cnwqi0787,cnwqi0788,cnwqi0789,cnwqi0790,cnwqi0791,cnwqi0792,cnwqi0793,cnwqi0794,cnwqi0795,cnwqi0796,cnwqi0797,cnwqi0798,cnwqi0799,cnwqi0800"
"cnwq8","8","level1","通用规范汉字表一级字表（3500字）8","通用规范汉字表一级字表（3500字）8,汉字拼音测试8","cnwqi0801,cnwqi0802,cnwqi0803,cnwqi0804,cnwqi0805,cnwqi0806,cnwqi0807,cnwqi0808,cnwqi0809,cnwqi0810,cnwqi0811,cnwqi0812,cnwqi0813,cnwqi0814,cnwqi0815,cnwqi0816,cnwqi0817,cnwqi0818,cnwqi0819,cnwqi0820,cnwqi0821,cnwqi0822,cnwqi0823,cnwqi0824,cnwqi0825,cnwqi0826,cnwqi0827,cnwqi0828,cnwqi0829,cnwqi0830,cnwqi0831,cnwqi0832,cnwqi0833,cnwqi0834,cnwqi0835,cnwqi0836,cnwqi0837,cnwqi0838,cnwqi0839,cnwqi0840,cnwqi0841,cnwqi0842,cnwqi0843,cnwqi0844,cnwqi0845,cnwqi0846,cnwqi0847,cnwqi0848,cnwqi0849,cnwqi0850,cnwqi0851,cnwqi0852,cnwqi0853,cnwqi0854,cnwqi0855,cnwqi0856,cnwqi0857,cnwqi0858,cnwqi0859,cnwqi0860,cnwqi0861,cnwqi0862,cnwqi0863,cnwqi0864,cnwqi0865,cnwqi0866,cnwqi0867,cnwqi0868,cnwqi0869,cnwqi0870,cnwqi0871,cnwqi0872,cnwqi0873,cnwqi0874,cnwqi0875,cnwqi0876,cnwqi0877,cnwqi0878,cnwqi0879,cnwqi0880,cnwqi0881,cnwqi0882,cnwqi0883,cnwqi0884,cnwqi0885,cnwqi0886,cnwqi0887,cnwqi0888,cnwqi0889,cnwqi0890,cnwqi0891,cnwqi0892,cnwqi0893,cnwqi0894,cnwqi0895,cnwqi0896,cnwqi0897,cnwqi0898,cnwqi0899,cnwqi0900"
"cnwq9","9","level1","通用规范汉字表一级字表（3500字）9","通用规范汉字表一级字表（3500字）9,汉字拼音测试9","cnwqi0901,cnwqi0902,cnwqi0903,cnwqi0904,cnwqi0905,cnwqi0906,cnwqi0907,cnwqi0908,cnwqi0909,cnwqi0910,cnwqi0911,cnwqi0912,cnwqi0913,cnwqi0914,cnwqi0915,cnwqi0916,cnwqi0917,cnwqi0918,cnwqi0919,cnwqi0920,cnwqi0921,cnwqi0922,cnwqi0923,cnwqi0924,cnwqi0925,cnwqi0926,cnwqi0927,cnwqi0928,cnwqi0929,cnwqi0930,cnwqi0931,cnwqi0932,cnwqi0933,cnwqi0934,cnwqi0935,cnwqi0936,cnwqi0937,cnwqi0938,cnwqi0939,cnwqi0940,cnwqi0941,cnwqi0942,cnwqi0943,cnwqi0944,cnwqi0945,cnwqi0946,cnwqi0947,cnwqi0948,cnwqi0949,cnwqi0950,cnwqi0951,cnwqi0952,cnwqi0953,cnwqi0954,cnwqi0955,cnwqi0956,cnwqi0957,cnwqi0958,cnwqi0959,cnwqi0960,cnwqi0961,cnwqi0962,cnwqi0963,cnwqi0964,cnwqi0965,cnwqi0966,cnwqi0967,cnwqi0968,cnwqi0969,cnwqi0970,cnwqi0971,cnwqi0972,cnwqi0973,cnwqi0974,cnwqi0975,cnwqi0976,cnwqi0977,cnwqi0978,cnwqi0979,cnwqi0980,cnwqi0981,cnwqi0982,cnwqi0983,cnwqi0984,cnwqi0985,cnwqi0986,cnwqi0987,cnwqi0988,cnwqi0989,cnwqi0990,cnwqi0991,cnwqi0992,cnwqi0993,cnwqi0994,cnwqi0995,cnwqi0996,cnwqi0997,cnwqi0998,cnwqi0999,cnwqi1000"
