id,seq,level,title,desc,items
"cnwstq0","0","level1","笔画测试一级字表（3500字）0","笔画测试通用规范汉字表一级字表（3500字）0,汉字笔画测试0","cnwstqi0001,cnwstqi0002,cnwstqi0003,cnwstqi0004,cnwstqi0005,cnwstqi0006,cnwstqi0007,cnwstqi0008,cnwstqi0009,cnwstqi0010,cnwstqi0011,cnwstqi0012,cnwstqi0013,cnwstqi0014,cnwstqi0015,cnwstqi0016,cnwstqi0017,cnwstqi0018,cnwstqi0019,cnwstqi0020,cnwstqi0021,cnwstqi0022,cnwstqi0023,cnwstqi0024,cnwstqi0025,cnwstqi0026,cnwstqi0027,cnwstqi0028,cnwstqi0029,cnwstqi0030,cnwstqi0031,cnwstqi0032,cnwstqi0033,cnwstqi0034,cnwstqi0035,cnwstqi0036,cnwstqi0037,cnwstqi0038,cnwstqi0039,cnwstqi0040,cnwstqi0041,cnwstqi0042,cnwstqi0043,cnwstqi0044,cnwstqi0045,cnwstqi0046,cnwstqi0047,cnwstqi0048,cnwstqi0049,cnwstqi0050,cnwstqi0051,cnwstqi0052,cnwstqi0053,cnwstqi0054,cnwstqi0055,cnwstqi0056,cnwstqi0057,cnwstqi0058,cnwstqi0059,cnwstqi0060,cnwstqi0061,cnwstqi0062,cnwstqi0063,cnwstqi0064,cnwstqi0065,cnwstqi0066,cnwstqi0067,cnwstqi0068,cnwstqi0069,cnwstqi0070,cnwstqi0071,cnwstqi0072,cnwstqi0073,cnwstqi0074,cnwstqi0075,cnwstqi0076,cnwstqi0077,cnwstqi0078,cnwstqi0079,cnwstqi0080,cnwstqi0081,cnwstqi0082,cnwstqi0083,cnwstqi0084,cnwstqi0085,cnwstqi0086,cnwstqi0087,cnwstqi0088,cnwstqi0089,cnwstqi0090,cnwstqi0091,cnwstqi0092,cnwstqi0093,cnwstqi0094,cnwstqi0095,cnwstqi0096,cnwstqi0097,cnwstqi0098,cnwstqi0099,cnwstqi0100"
"cnwstq1","1","level1","笔画测试一级字表（3500字）1","笔画测试通用规范汉字表一级字表（3500字）1,汉字笔画测试1","cnwstqi0101,cnwstqi0102,cnwstqi0103,cnwstqi0104,cnwstqi0105,cnwstqi0106,cnwstqi0107,cnwstqi0108,cnwstqi0109,cnwstqi0110,cnwstqi0111,cnwstqi0112,cnwstqi0113,cnwstqi0114,cnwstqi0115,cnwstqi0116,cnwstqi0117,cnwstqi0118,cnwstqi0119,cnwstqi0120,cnwstqi0121,cnwstqi0122,cnwstqi0123,cnwstqi0124,cnwstqi0125,cnwstqi0126,cnwstqi0127,cnwstqi0128,cnwstqi0129,cnwstqi0130,cnwstqi0131,cnwstqi0132,cnwstqi0133,cnwstqi0134,cnwstqi0135,cnwstqi0136,cnwstqi0137,cnwstqi0138,cnwstqi0139,cnwstqi0140,cnwstqi0141,cnwstqi0142,cnwstqi0143,cnwstqi0144,cnwstqi0145,cnwstqi0146,cnwstqi0147,cnwstqi0148,cnwstqi0149,cnwstqi0150,cnwstqi0151,cnwstqi0152,cnwstqi0153,cnwstqi0154,cnwstqi0155,cnwstqi0156,cnwstqi0157,cnwstqi0158,cnwstqi0159,cnwstqi0160,cnwstqi0161,cnwstqi0162,cnwstqi0163,cnwstqi0164,cnwstqi0165,cnwstqi0166,cnwstqi0167,cnwstqi0168,cnwstqi0169,cnwstqi0170,cnwstqi0171,cnwstqi0172,cnwstqi0173,cnwstqi0174,cnwstqi0175,cnwstqi0176,cnwstqi0177,cnwstqi0178,cnwstqi0179,cnwstqi0180,cnwstqi0181,cnwstqi0182,cnwstqi0183,cnwstqi0184,cnwstqi0185,cnwstqi0186,cnwstqi0187,cnwstqi0188,cnwstqi0189,cnwstqi0190,cnwstqi0191,cnwstqi0192,cnwstqi0193,cnwstqi0194,cnwstqi0195,cnwstqi0196,cnwstqi0197,cnwstqi0198,cnwstqi0199,cnwstqi0200"
"cnwstq2","2","level1","笔画测试一级字表（3500字）2","笔画测试通用规范汉字表一级字表（3500字）2,汉字笔画测试2","cnwstqi0201,cnwstqi0202,cnwstqi0203,cnwstqi0204,cnwstqi0205,cnwstqi0206,cnwstqi0207,cnwstqi0208,cnwstqi0209,cnwstqi0210,cnwstqi0211,cnwstqi0212,cnwstqi0213,cnwstqi0214,cnwstqi0215,cnwstqi0216,cnwstqi0217,cnwstqi0218,cnwstqi0219,cnwstqi0220,cnwstqi0221,cnwstqi0222,cnwstqi0223,cnwstqi0224,cnwstqi0225,cnwstqi0226,cnwstqi0227,cnwstqi0228,cnwstqi0229,cnwstqi0230,cnwstqi0231,cnwstqi0232,cnwstqi0233,cnwstqi0234,cnwstqi0235,cnwstqi0236,cnwstqi0237,cnwstqi0238,cnwstqi0239,cnwstqi0240,cnwstqi0241,cnwstqi0242,cnwstqi0243,cnwstqi0244,cnwstqi0245,cnwstqi0246,cnwstqi0247,cnwstqi0248,cnwstqi0249,cnwstqi0250,cnwstqi0251,cnwstqi0252,cnwstqi0253,cnwstqi0254,cnwstqi0255,cnwstqi0256,cnwstqi0257,cnwstqi0258,cnwstqi0259,cnwstqi0260,cnwstqi0261,cnwstqi0262,cnwstqi0263,cnwstqi0264,cnwstqi0265,cnwstqi0266,cnwstqi0267,cnwstqi0268,cnwstqi0269,cnwstqi0270,cnwstqi0271,cnwstqi0272,cnwstqi0273,cnwstqi0274,cnwstqi0275,cnwstqi0276,cnwstqi0277,cnwstqi0278,cnwstqi0279,cnwstqi0280,cnwstqi0281,cnwstqi0282,cnwstqi0283,cnwstqi0284,cnwstqi0285,cnwstqi0286,cnwstqi0287,cnwstqi0288,cnwstqi0289,cnwstqi0290,cnwstqi0291,cnwstqi0292,cnwstqi0293,cnwstqi0294,cnwstqi0295,cnwstqi0296,cnwstqi0297,cnwstqi0298,cnwstqi0299,cnwstqi0300"
"cnwstq3","3","level1","笔画测试一级字表（3500字）3","笔画测试通用规范汉字表一级字表（3500字）3,汉字笔画测试3","cnwstqi0301,cnwstqi0302,cnwstqi0303,cnwstqi0304,cnwstqi0305,cnwstqi0306,cnwstqi0307,cnwstqi0308,cnwstqi0309,cnwstqi0310,cnwstqi0311,cnwstqi0312,cnwstqi0313,cnwstqi0314,cnwstqi0315,cnwstqi0316,cnwstqi0317,cnwstqi0318,cnwstqi0319,cnwstqi0320,cnwstqi0321,cnwstqi0322,cnwstqi0323,cnwstqi0324,cnwstqi0325,cnwstqi0326,cnwstqi0327,cnwstqi0328,cnwstqi0329,cnwstqi0330,cnwstqi0331,cnwstqi0332,cnwstqi0333,cnwstqi0334,cnwstqi0335,cnwstqi0336,cnwstqi0337,cnwstqi0338,cnwstqi0339,cnwstqi0340,cnwstqi0341,cnwstqi0342,cnwstqi0343,cnwstqi0344,cnwstqi0345,cnwstqi0346,cnwstqi0347,cnwstqi0348,cnwstqi0349,cnwstqi0350,cnwstqi0351,cnwstqi0352,cnwstqi0353,cnwstqi0354,cnwstqi0355,cnwstqi0356,cnwstqi0357,cnwstqi0358,cnwstqi0359,cnwstqi0360,cnwstqi0361,cnwstqi0362,cnwstqi0363,cnwstqi0364,cnwstqi0365,cnwstqi0366,cnwstqi0367,cnwstqi0368,cnwstqi0369,cnwstqi0370,cnwstqi0371,cnwstqi0372,cnwstqi0373,cnwstqi0374,cnwstqi0375,cnwstqi0376,cnwstqi0377,cnwstqi0378,cnwstqi0379,cnwstqi0380,cnwstqi0381,cnwstqi0382,cnwstqi0383,cnwstqi0384,cnwstqi0385,cnwstqi0386,cnwstqi0387,cnwstqi0388,cnwstqi0389,cnwstqi0390,cnwstqi0391,cnwstqi0392,cnwstqi0393,cnwstqi0394,cnwstqi0395,cnwstqi0396,cnwstqi0397,cnwstqi0398,cnwstqi0399,cnwstqi0400"
"cnwstq4","4","level1","笔画测试一级字表（3500字）4","笔画测试通用规范汉字表一级字表（3500字）4,汉字笔画测试4","cnwstqi0401,cnwstqi0402,cnwstqi0403,cnwstqi0404,cnwstqi0405,cnwstqi0406,cnwstqi0407,cnwstqi0408,cnwstqi0409,cnwstqi0410,cnwstqi0411,cnwstqi0412,cnwstqi0413,cnwstqi0414,cnwstqi0415,cnwstqi0416,cnwstqi0417,cnwstqi0418,cnwstqi0419,cnwstqi0420,cnwstqi0421,cnwstqi0422,cnwstqi0423,cnwstqi0424,cnwstqi0425,cnwstqi0426,cnwstqi0427,cnwstqi0428,cnwstqi0429,cnwstqi0430,cnwstqi0431,cnwstqi0432,cnwstqi0433,cnwstqi0434,cnwstqi0435,cnwstqi0436,cnwstqi0437,cnwstqi0438,cnwstqi0439,cnwstqi0440,cnwstqi0441,cnwstqi0442,cnwstqi0443,cnwstqi0444,cnwstqi0445,cnwstqi0446,cnwstqi0447,cnwstqi0448,cnwstqi0449,cnwstqi0450,cnwstqi0451,cnwstqi0452,cnwstqi0453,cnwstqi0454,cnwstqi0455,cnwstqi0456,cnwstqi0457,cnwstqi0458,cnwstqi0459,cnwstqi0460,cnwstqi0461,cnwstqi0462,cnwstqi0463,cnwstqi0464,cnwstqi0465,cnwstqi0466,cnwstqi0467,cnwstqi0468,cnwstqi0469,cnwstqi0470,cnwstqi0471,cnwstqi0472,cnwstqi0473,cnwstqi0474,cnwstqi0475,cnwstqi0476,cnwstqi0477,cnwstqi0478,cnwstqi0479,cnwstqi0480,cnwstqi0481,cnwstqi0482,cnwstqi0483,cnwstqi0484,cnwstqi0485,cnwstqi0486,cnwstqi0487,cnwstqi0488,cnwstqi0489,cnwstqi0490,cnwstqi0491,cnwstqi0492,cnwstqi0493,cnwstqi0494,cnwstqi0495,cnwstqi0496,cnwstqi0497,cnwstqi0498,cnwstqi0499,cnwstqi0500"
"cnwstq5","5","level1","笔画测试一级字表（3500字）5","笔画测试通用规范汉字表一级字表（3500字）5,汉字笔画测试5","cnwstqi0501,cnwstqi0502,cnwstqi0503,cnwstqi0504,cnwstqi0505,cnwstqi0506,cnwstqi0507,cnwstqi0508,cnwstqi0509,cnwstqi0510,cnwstqi0511,cnwstqi0512,cnwstqi0513,cnwstqi0514,cnwstqi0515,cnwstqi0516,cnwstqi0517,cnwstqi0518,cnwstqi0519,cnwstqi0520,cnwstqi0521,cnwstqi0522,cnwstqi0523,cnwstqi0524,cnwstqi0525,cnwstqi0526,cnwstqi0527,cnwstqi0528,cnwstqi0529,cnwstqi0530,cnwstqi0531,cnwstqi0532,cnwstqi0533,cnwstqi0534,cnwstqi0535,cnwstqi0536,cnwstqi0537,cnwstqi0538,cnwstqi0539,cnwstqi0540,cnwstqi0541,cnwstqi0542,cnwstqi0543,cnwstqi0544,cnwstqi0545,cnwstqi0546,cnwstqi0547,cnwstqi0548,cnwstqi0549,cnwstqi0550,cnwstqi0551,cnwstqi0552,cnwstqi0553,cnwstqi0554,cnwstqi0555,cnwstqi0556,cnwstqi0557,cnwstqi0558,cnwstqi0559,cnwstqi0560,cnwstqi0561,cnwstqi0562,cnwstqi0563,cnwstqi0564,cnwstqi0565,cnwstqi0566,cnwstqi0567,cnwstqi0568,cnwstqi0569,cnwstqi0570,cnwstqi0571,cnwstqi0572,cnwstqi0573,cnwstqi0574,cnwstqi0575,cnwstqi0576,cnwstqi0577,cnwstqi0578,cnwstqi0579,cnwstqi0580,cnwstqi0581,cnwstqi0582,cnwstqi0583,cnwstqi0584,cnwstqi0585,cnwstqi0586,cnwstqi0587,cnwstqi0588,cnwstqi0589,cnwstqi0590,cnwstqi0591,cnwstqi0592,cnwstqi0593,cnwstqi0594,cnwstqi0595,cnwstqi0596,cnwstqi0597,cnwstqi0598,cnwstqi0599,cnwstqi0600"
"cnwstq6","6","level1","笔画测试一级字表（3500字）6","笔画测试通用规范汉字表一级字表（3500字）6,汉字笔画测试6","cnwstqi0601,cnwstqi0602,cnwstqi0603,cnwstqi0604,cnwstqi0605,cnwstqi0606,cnwstqi0607,cnwstqi0608,cnwstqi0609,cnwstqi0610,cnwstqi0611,cnwstqi0612,cnwstqi0613,cnwstqi0614,cnwstqi0615,cnwstqi0616,cnwstqi0617,cnwstqi0618,cnwstqi0619,cnwstqi0620,cnwstqi0621,cnwstqi0622,cnwstqi0623,cnwstqi0624,cnwstqi0625,cnwstqi0626,cnwstqi0627,cnwstqi0628,cnwstqi0629,cnwstqi0630,cnwstqi0631,cnwstqi0632,cnwstqi0633,cnwstqi0634,cnwstqi0635,cnwstqi0636,cnwstqi0637,cnwstqi0638,cnwstqi0639,cnwstqi0640,cnwstqi0641,cnwstqi0642,cnwstqi0643,cnwstqi0644,cnwstqi0645,cnwstqi0646,cnwstqi0647,cnwstqi0648,cnwstqi0649,cnwstqi0650,cnwstqi0651,cnwstqi0652,cnwstqi0653,cnwstqi0654,cnwstqi0655,cnwstqi0656,cnwstqi0657,cnwstqi0658,cnwstqi0659,cnwstqi0660,cnwstqi0661,cnwstqi0662,cnwstqi0663,cnwstqi0664,cnwstqi0665,cnwstqi0666,cnwstqi0667,cnwstqi0668,cnwstqi0669,cnwstqi0670,cnwstqi0671,cnwstqi0672,cnwstqi0673,cnwstqi0674,cnwstqi0675,cnwstqi0676,cnwstqi0677,cnwstqi0678,cnwstqi0679,cnwstqi0680,cnwstqi0681,cnwstqi0682,cnwstqi0683,cnwstqi0684,cnwstqi0685,cnwstqi0686,cnwstqi0687,cnwstqi0688,cnwstqi0689,cnwstqi0690,cnwstqi0691,cnwstqi0692,cnwstqi0693,cnwstqi0694,cnwstqi0695,cnwstqi0696,cnwstqi0697,cnwstqi0698,cnwstqi0699,cnwstqi0700"
"cnwstq7","7","level1","笔画测试一级字表（3500字）7","笔画测试通用规范汉字表一级字表（3500字）7,汉字笔画测试7","cnwstqi0701,cnwstqi0702,cnwstqi0703,cnwstqi0704,cnwstqi0705,cnwstqi0706,cnwstqi0707,cnwstqi0708,cnwstqi0709,cnwstqi0710,cnwstqi0711,cnwstqi0712,cnwstqi0713,cnwstqi0714,cnwstqi0715,cnwstqi0716,cnwstqi0717,cnwstqi0718,cnwstqi0719,cnwstqi0720,cnwstqi0721,cnwstqi0722,cnwstqi0723,cnwstqi0724,cnwstqi0725,cnwstqi0726,cnwstqi0727,cnwstqi0728,cnwstqi0729,cnwstqi0730,cnwstqi0731,cnwstqi0732,cnwstqi0733,cnwstqi0734,cnwstqi0735,cnwstqi0736,cnwstqi0737,cnwstqi0738,cnwstqi0739,cnwstqi0740,cnwstqi0741,cnwstqi0742,cnwstqi0743,cnwstqi0744,cnwstqi0745,cnwstqi0746,cnwstqi0747,cnwstqi0748,cnwstqi0749,cnwstqi0750,cnwstqi0751,cnwstqi0752,cnwstqi0753,cnwstqi0754,cnwstqi0755,cnwstqi0756,cnwstqi0757,cnwstqi0758,cnwstqi0759,cnwstqi0760,cnwstqi0761,cnwstqi0762,cnwstqi0763,cnwstqi0764,cnwstqi0765,cnwstqi0766,cnwstqi0767,cnwstqi0768,cnwstqi0769,cnwstqi0770,cnwstqi0771,cnwstqi0772,cnwstqi0773,cnwstqi0774,cnwstqi0775,cnwstqi0776,cnwstqi0777,cnwstqi0778,cnwstqi0779,cnwstqi0780,cnwstqi0781,cnwstqi0782,cnwstqi0783,cnwstqi0784,cnwstqi0785,cnwstqi0786,cnwstqi0787,cnwstqi0788,cnwstqi0789,cnwstqi0790,cnwstqi0791,cnwstqi0792,cnwstqi0793,cnwstqi0794,cnwstqi0795,cnwstqi0796,cnwstqi0797,cnwstqi0798,cnwstqi0799,cnwstqi0800"
"cnwstq8","8","level1","笔画测试一级字表（3500字）8","笔画测试通用规范汉字表一级字表（3500字）8,汉字笔画测试8","cnwstqi0801,cnwstqi0802,cnwstqi0803,cnwstqi0804,cnwstqi0805,cnwstqi0806,cnwstqi0807,cnwstqi0808,cnwstqi0809,cnwstqi0810,cnwstqi0811,cnwstqi0812,cnwstqi0813,cnwstqi0814,cnwstqi0815,cnwstqi0816,cnwstqi0817,cnwstqi0818,cnwstqi0819,cnwstqi0820,cnwstqi0821,cnwstqi0822,cnwstqi0823,cnwstqi0824,cnwstqi0825,cnwstqi0826,cnwstqi0827,cnwstqi0828,cnwstqi0829,cnwstqi0830,cnwstqi0831,cnwstqi0832,cnwstqi0833,cnwstqi0834,cnwstqi0835,cnwstqi0836,cnwstqi0837,cnwstqi0838,cnwstqi0839,cnwstqi0840,cnwstqi0841,cnwstqi0842,cnwstqi0843,cnwstqi0844,cnwstqi0845,cnwstqi0846,cnwstqi0847,cnwstqi0848,cnwstqi0849,cnwstqi0850,cnwstqi0851,cnwstqi0852,cnwstqi0853,cnwstqi0854,cnwstqi0855,cnwstqi0856,cnwstqi0857,cnwstqi0858,cnwstqi0859,cnwstqi0860,cnwstqi0861,cnwstqi0862,cnwstqi0863,cnwstqi0864,cnwstqi0865,cnwstqi0866,cnwstqi0867,cnwstqi0868,cnwstqi0869,cnwstqi0870,cnwstqi0871,cnwstqi0872,cnwstqi0873,cnwstqi0874,cnwstqi0875,cnwstqi0876,cnwstqi0877,cnwstqi0878,cnwstqi0879,cnwstqi0880,cnwstqi0881,cnwstqi0882,cnwstqi0883,cnwstqi0884,cnwstqi0885,cnwstqi0886,cnwstqi0887,cnwstqi0888,cnwstqi0889,cnwstqi0890,cnwstqi0891,cnwstqi0892,cnwstqi0893,cnwstqi0894,cnwstqi0895,cnwstqi0896,cnwstqi0897,cnwstqi0898,cnwstqi0899,cnwstqi0900"
"cnwstq9","9","level1","笔画测试一级字表（3500字）9","笔画测试通用规范汉字表一级字表（3500字）9,汉字笔画测试9","cnwstqi0901,cnwstqi0902,cnwstqi0903,cnwstqi0904,cnwstqi0905,cnwstqi0906,cnwstqi0907,cnwstqi0908,cnwstqi0909,cnwstqi0910,cnwstqi0911,cnwstqi0912,cnwstqi0913,cnwstqi0914,cnwstqi0915,cnwstqi0916,cnwstqi0917,cnwstqi0918,cnwstqi0919,cnwstqi0920,cnwstqi0921,cnwstqi0922,cnwstqi0923,cnwstqi0924,cnwstqi0925,cnwstqi0926,cnwstqi0927,cnwstqi0928,cnwstqi0929,cnwstqi0930,cnwstqi0931,cnwstqi0932,cnwstqi0933,cnwstqi0934,cnwstqi0935,cnwstqi0936,cnwstqi0937,cnwstqi0938,cnwstqi0939,cnwstqi0940,cnwstqi0941,cnwstqi0942,cnwstqi0943,cnwstqi0944,cnwstqi0945,cnwstqi0946,cnwstqi0947,cnwstqi0948,cnwstqi0949,cnwstqi0950,cnwstqi0951,cnwstqi0952,cnwstqi0953,cnwstqi0954,cnwstqi0955,cnwstqi0956,cnwstqi0957,cnwstqi0958,cnwstqi0959,cnwstqi0960,cnwstqi0961,cnwstqi0962,cnwstqi0963,cnwstqi0964,cnwstqi0965,cnwstqi0966,cnwstqi0967,cnwstqi0968,cnwstqi0969,cnwstqi0970,cnwstqi0971,cnwstqi0972,cnwstqi0973,cnwstqi0974,cnwstqi0975,cnwstqi0976,cnwstqi0977,cnwstqi0978,cnwstqi0979,cnwstqi0980,cnwstqi0981,cnwstqi0982,cnwstqi0983,cnwstqi0984,cnwstqi0985,cnwstqi0986,cnwstqi0987,cnwstqi0988,cnwstqi0989,cnwstqi0990,cnwstqi0991,cnwstqi0992,cnwstqi0993,cnwstqi0994,cnwstqi0995,cnwstqi0996,cnwstqi0997,cnwstqi0998,cnwstqi0999,cnwstqi1000"
