国 家, COUNTRY, n. PERSON, n. RELATED ADJECTIVES
阿富汗, Afghanistan, Afghan, Afghan
阿尔及利亚, Algeria, Algerian, Algerian
阿根廷, Argentina, Argentinian, Argentinian
澳大利亚, Australia, Australian, Australian
奥地利, Austria, Austrian, Austrian
比利时, Belgium, Belgian, Belgian
巴西, Brazil, Brazilian, Brazilian
加拿大, Canada, Canadian, Canadian
中国, China, Chinese, Chinese
哥伦比亚, Colombia, Colombian, Colombian
古巴, Cuba, Cuban, Cuban
丹麦, Denmark, Dane, Danish
朝鲜, DPRK=Democratic People’s Republic of Korea, Korean, Korean
埃及, Egypt, Egyptian, Egyptian
芬兰, Finland, Finn, Finnish
法国, France, Frenchman/Frenchwoman, French
德国, Germany, German, German
希腊, Greece, Greek, Greek
匈牙利, Hungary, Hungarian, Hungarian
印度, India, Indian, Indian
印度尼西亚, Indonesia, Indonesian, Indonesian
伊朗, Iran, Iranian, Iranian
伊拉克, Iraq, Iraqi, Iraqi
爱尔兰, Ireland, Irish, Irish
以色列, Israel, Israeli, Israeli
意大利, Italy, Italian, Italian
日本, Japan, Japanese, Japanese
约旦, Jordan, Jordanian, Jordanian
肯尼亚, Kenya, Kenyan, Kenyan
科威特, Kuwait, Kuwaiti, Kuwaiti
黎巴嫩, Lebanon, Lebanese, Lebanese
卢森堡, Luxembourg, Luxembourger, Luxembourg
马来西亚, Malaysia, Malaysian, Malaysian
墨西哥, Mexico, Mexican, Mexican
缅甸, Myanmar, Burmese, Burmese
荷兰, Netherlands / Holland, Dutch, Dutch
新西兰, New Zealand, New Zealander, New Zealand
挪威, Norway, Norwegian, Norwegian
巴基斯坦, Pakistan, Pakistani, Pakistani
巴拿马, Panama, Panamanian, Panamanian
菲律宾, Philippines, Filipino, Philippine
波兰, Poland, Pole, Polish
葡萄牙, Portugal, Portuguese, Portuguese
韩国, ROK=Republic of Korea, Korean, Korean
俄罗斯, Russia, Russian, Russian
新加坡, Singapore, Singaporean, Singaporean
南非, South Africa, South African, South African
西班牙, Spain, Spaniard, Spanish
瑞典, Sweden, Swedish, Swedish
瑞士, Switzerland, Swiss, Swiss
泰国, Thailand, Thai, Thai
土耳其, Turkey, Turk, Turkish
英国, U.K.=the United Kingdom, Briton, British
美国, U.S.A.=the United States of America, American, American
越南, Viet Nam, Vietnamese, Vietnamese
