序号,单词,exchange,音标,中文意思,
1,a,(an),/ə，eɪ(ən)/,art.一（个、件……）,
2,abandon,,/əˈbændən/,v.抛弃，舍弃，放弃,
3,ability,,/əˈbɪlɪtɪ/,n.能力；才能,
4,able,,/ˈeɪb(ə)l/,a.能够；有能力的,
5,abnormal,,/æbˈnɔːm(ə)l/,a.反常的，变态的,
6,aboard,,/əˈbɔːd/,prep.上（船，飞机，火车，汽车等）,
7,abolish,,/əˈbɔlɪʃ/,v.废除，废止,
8,abortion,,/əˈbɔːʃ(ə)n/,v.人工流产，堕胎,
9,about,,/əˈbaʊt/,ad.大约；到处；四处prep.关于；在各处；四处,
10,above,,/əˈbʌv/,prep.在……上面a.上面的ad.在……之上,
11,abroad,,/əˈbrɔːd/,ad.到（在）国外,
12,abrupt,,/əˈbrʌpt/,a.突然的，意外的，粗鲁,
13,absence,,/ˈæbsəns/,n.不在，缺席,
14,absent,,/ˈæbsənt/,a.缺席，不在,
15,absolute,,/ˈæbsəluːt/,a.完全，全部，绝对的,
16,absorb,,/əbˈsɔːb/,v.吸收，使全神贯注,
17,abstract,,/ˈæbstrækt/,a./n.抽象的（作品）,
18,absurd,,/əbˈsɜːd/,a.荒谬的，怪诞不经的,
19,abundant,,/əˈbʌndənt/,a.大量，丰盛的，充裕的,
20,abuse,,/əˈbjuːz/,v.（酗酒）滥用，虐待，恶语,
21,academic,,/ækəˈdemɪk/,a./n.学术的，教学的,
22,academy,,/əˈkædəmɪ/,n.专科学院，（美）私立学校,
23,accelerate,,/əkˈseləreɪt/,v.（使）加速，加快,
24,accent,,/ˈæksənt/,n.口音，音调,
25,accept,,/əkˈsept/,vt.接受,
26,access,,/ˈækses/,n./v.通道，入径，存取(计算机文件),
27,accessible,,/əkˈsesɪb(ə)l/,a.可到达的，可接受的，易相处的）,
28,accident,,/ˈæksɪdənt/,n.事故，意外的事,
29,accommodation,,/əkɔməˈdeɪʃ(ə)n/,n.住宿，膳宿,
30,accompany,,/əˈkʌmpənɪ/,v.陪同，陪伴，与…同时发生,
31,accomplish,,/əˈkʌmplɪʃ/,v.完成,
32,accordingto,,/əˈkɔːdɪŋtʊ/,ad.按照，根据,
33,account,,/əˈkaʊnt/,n.账目;描述,
34,accountant,,/əˈkaʊnt(ə)nt/,n.会计，会计师,
35,accumulate,,/əˈkjuːmjʊleɪt/,v.积累，积聚,
36,accuracy,,/ˈækjʊrəsɪ/,n.准确，精确,
37,accuse,,/əˈkjuːz/,v.正确无误的，精确的,
38,accustomed,,/əˈkʌstəmd/,a.习惯于，惯常的,
39,ache,,/eɪk/,vi.&n.痛，疼痛,
40,achieve,,/əˈtʃiːv/,vt.达到，取得,
41,achievement,,/əˈtʃiːvmənt/,n.成就，成绩，功绩,
42,acid,,/ˈæsɪd/,a.酸的,
43,acknowledge,,/əkˈnɔlɪdʒ/,v.承认,
44,acquaintance,,/əˈkweɪntəns/,n.熟人，(与某人)认识,
45,acquire,,/əˈkwaɪə(r)/,v.获得，得到,
46,acquisition,,/ækwɪˈzɪʃ(ə)n/,n.获得，得到,
47,acre,,/ˈeɪkə(r)/,n.英亩,
48,across,,/əˈkrɔs/,prep.横过，穿过,
49,act,,/ækt/,n.法令，条例v.（戏）表演，扮演（角色），演出（戏）；行动，做事,
50,action,,/ˈækʃ(ə)n/,n.行动,
51,active,,/ˈæktɪv/,a.积极的，主动的,
52,activity,,/ækˈtɪvɪtɪ/,n.活动,
53,actor,,/ˈæktə(r)/,n.男演员,
54,actress,,/ˈæktrɪs/,n.女演员,
55,actual,,/ˈæktʃʊəl/,a.实际的；现实的,
56,acute,,/ə'kjuːt/,a.十分严重的，（病）急性的,
57,ad,(缩)advertisement,/æd/,n.广告,
58,adapt,,/əˈdæpt/,v.使适应，适合，改编,
59,adaptation,,/ədæpˈteɪʃ(ə)n/,n.适应，改编本,
60,add,,/æd/,vt.添加，增加,
61,addicted,,/əˈdɪktɪd/,a.上瘾，成瘾，入迷,
62,addition,,/əˈdɪʃ(ə)n/,n.增加;（算数用语）加,
63,address,,/əˈdres/,n.地址,
64,adequate,,/ˈædɪkwət/,a.合适的，合乎需要的,
65,adjust,,/əˈdʒʌst/,v.调整，调节，适应，习惯,
66,adjustment,,/əˈdʒʌstmənt/,n.调整，适应,
67,administration,,/ədmɪnɪˈstreɪʃ(ə)n/,n.管理，行政部门,
68,admirable,,/ˈædmərəb(ə)l/,a.值得赞赏的，可钦佩的,
69,admire,,/ədˈmaɪə(r)/,v.钦佩；羡慕,
70,admission,,/ədˈmɪʃ(ə)n/,n.准入，接纳,
71,admit,,/ədˈmɪt/,vt.承认，准许（入场，入学，入会）,
72,adolescence,,/ædəʊ'lesns/,n.青春，青春期,
73,adolescent,,/ædəˈlesənt/,n.青少年,
74,adopt,,/əˈdɔpt/,v.收养，领养,
75,adore,,/əˈdɔː(r)/,v.（不用于进行时）热爱，爱慕某人,
76,adult,,/ˈædʌlt/,n.成年人,
77,advance,,/ədˈvɑːns;(US)ədˈvæns/,v.推进，促进；前进,
78,advantage,,/ədˈvɑːntɪdʒ/,n.优点；好处,
79,adventure,,/ədˈventʃə(r)/,n.冒险；奇遇,
80,advertise,,/ˈædvətaɪz/,vt.为……做广告,
81,advertisement,,/ədˈvɜːtɪsmənt/,n.广告,
82,advice,,/ədˈvaɪs/,n.忠告，劝告，建议,
83,advise,,/ədˈvaɪz/,vt.忠告，劝告，建议,
84,advocate,,/ˈædvəkət/,v.拥护，支持，提倡,
85,aeroplane,,/`erə，pleɪn/,n.(英)飞机,
86,affair,,/əˈfeə(r)/,n.事，事情,
87,affect,,/əˈfekt/,vt.影响,
88,affection,,/əˈfekʃ(ə)n/,n.喜爱，钟爱,
89,afford,,/əˈfɔːd/,vt.负担得起（…的费用）；抽得出（时间）；提供,
90,afraid,,/əˈfreɪd/,a.害怕的；担心,
91,Africa,,/ˈæfrɪkə/,*n.非洲,
92,African,,/ˈæfrɪkən/,a.非洲的，非洲人的n.非洲人,
93,after,,/'ɑːftə/,ad.在后；后来prep.在…之后；在后面conj.在…以后,
94,afternoon,,/ɑːftəˈnuːn/,n.下午，午后,
95,afterward,(afterwards),/ˈɑːftəwəd(z)/,ad.后来,
96,again,,/əˈɡeɪn/,ad.再一次；再，又,
97,against,,/əˈɡeɪnst/,prep.对着，反对,
98,age,,/eɪdʒ/,n.年龄；时代,
99,agency,,/ˈeɪdʒənsɪ/,n.代理机构,
100,agenda,,/əˈdʒendə/,n.（会议）议程表，议事日程,
101,agent,,/ˈeɪdʒənt/,n.代理人，经济人,
102,aggression,,/ˈəɡreʃ(ə)n/,n.侵略,
103,aggressive,,/ˈəɡresɪv/,a.侵略的；咄咄逼人,
104,ago,,/əˈɡəʊ/,ad.以前,
105,agree,,/əˈɡriː/,v.同意；应允,
106,agreement,,/əˈɡriːmənt/,n.同意，一致；协定，协议,
107,agricultural,,/æɡrɪˈkʌltʃər(ə)l/,a.农业的,
108,agriculture,,/ˈæɡrɪkʌltʃə(r)/,n.农业，农学,
109,ahead,,/əˈhed/,ad.在前，向前,
110,aid,,/eɪd/,n.援助；救护；辅助器具,
111,AIDS,,/eɪdz/,n.艾滋病,
112,aim,,/eɪm/,n.目的；目标v.计划，打算；瞄准；针对,
113,air,,/eə(r)/,n.空气；大气,
114,aircraft,,/ˈeəkrɑːft/,n.飞机(单复数同),
115,airmail,,/ˈeəmeɪl/,n.航空邮件,
116,airplane,,/ˈeəpleɪn/,n.（美）飞机,
117,airport,,/ˈeəpɔːt/,n.航空站，飞机场,
118,airspace,,/ˈeəspeɪs/,n.领空，（某国的）空域,
119,alarm,,/əˈlɑːm/,n.警报,
120,album,,/ˈælbəm/,n.相册，影集，集邮簿,
121,alcohol,,/ˈælkəhɔl/,n.含酒精饮料，酒,
122,alcoholic,,/ælkəˈhɔlɪk/,a./n.含酒精的，酒鬼,
123,algebra,,/ˈældʒɪbrə/,n.代数,
124,alike,,/əˈlaɪk/,ad.很相似地，同样地,
125,alive,,/əˈlaɪv/,a.活着的，存在的,
126,all,,/ɔːl/,ad.全部地a.全（部）;所有的;总;整pron.全部;全体人员,
127,allergic,,/əˈlɜːdʒɪk/,a.过敏的，厌恶,
128,alley,,/ˈælɪ/,n.小巷，胡同,
129,allocate,,/ˈæləkeɪt/,v.拨给，划归，分配…给,
130,allow,,/əˈlaʊ/,vt.允许，准许,
131,allowance,,/əˈlaʊəns/,n.津贴，补助,
132,almost,,/ˈɔːlməʊst/,ad.几乎，差不多,
133,alone,,/əˈləʊn/,a.单独的，孤独的,
134,along,,/əˈlɔŋ;(US)əˈlɔŋ/,ad.向前；和…一起；一同prep.沿着；顺着,
135,alongside,,/əlɔŋˈsaɪd/,ad.在…旁边，与…同时,
136,aloud,,/əˈlaʊd/,ad.大声地,
137,alphabet,,/ˈælfəbet/,n.字母表，字母,
138,already,,/ɔːlˈredɪ/,ad.已经,
139,also,,/ˈɔːlsəʊ/,ad.也,
140,alternative,,/ɔːlˈtɜːnətɪv/,a.可供替代，非传统的,
141,although,,/ɔːlˈðəʊ/,conj.虽然，尽管,
142,altitude,,/ˈæltɪtjuːd;(US)ælˈtɪtuːd/,n.海拔高度,
143,altogether,,/ɔːltəˈɡeðə(r)/,ad.总共,
144,aluminium,,/æljʊˈmɪnɪəm/,n.（化）铝,
145,always,,/ˈɔːlweɪz/,ad.总是；一直；永远,
146,am,,/æm/,v.be的人称形式之一,
147,ａ.m.,,//,n.午前，上午,
148,A.M.,,//,n.午前，上午,
149,ａ.m./A.M.,,//,n.午前，上午,
150,amateur,,/ˈæmətə(r)/,a.业余爱好的,
151,amaze,,/əˈmeɪz/,v.惊奇，惊叹；震惊,
152,amazing,,/əˈmeɪzɪŋ/,a.惊奇，惊叹的;震惊的,
153,ambassador,,/æmˈbæsədə(r)/,n.大使,
154,ambassadress,,/æmˈbæsədə(r)/,n.大使,
155,ambiguous,,/æmˈbɪɡjʊəs/,a.模棱两可的,
156,ambition,,/æmˈbɪʃ(ə)n/,n.目标，野心，雄心，抱负,
157,ambulance,,/ˈæmbjʊləns/,n.救护车,
158,America,,/əˈmerɪkə/,*n.美国；美洲,
159,American,,/əˈmerɪkən/,a.美国的；美国人的n.美国人,
160,among,,/əˈmʌŋ/,prep.在…中间；在（三个以上）之间,
161,amount,,/əˈmaʊnt/,n./v.金额，数量，总计,
162,ample,,/ˈæmp(ə)l/,a.足够的，丰裕的,
163,amuse,,/əˈmjuːz/,vt.（使人）快乐，逗乐,
164,amusement,,/əˈmjuːzmənt/,n.娱乐,
165,analyze,,/'ænəlaɪz/,v.分析,
166,analysis,,/əˈnæləsɪs/,n.分析，分析结果,
167,ancestor,,/ˈænsəstə(r)/,n.祖宗；祖先,
168,Anchor,,/'æŋkə/,n.锚，抛锚,
169,ancient,,/ˈeɪnʃənt/,a.古代的，古老的,
170,and,,/ənd，ænd/,conj.和；又；而,
171,anecdote,,/ˈænɪkdəʊt/,n.逸事，趣闻,
172,anger,,/ˈæŋɡə(r)/,n.怒，愤怒,
173,angle,,/ˈæŋɡ(ə)l/,n.角度,
174,angry,,/ˈænɡrɪ/,a.生气的，愤怒的,
175,animal,,/ˈænɪm(ə)l/,n.动物,
176,ankle,,/ˈæŋk(ə)l/,n.踝，踝关节,
177,anniversary,,/ænɪˈvɜːsərɪ/,n.周年纪念日,
178,announce,,/əˈnaʊns/,vt.宣布，宣告,
179,announcement,,/əˈnaʊnsmənt/,n.通告，通知,
180,annoy,,/əˈnɔɪ/,vt.（使）烦恼,
181,annual,,/ˈænjʊəl/,a.每年的，年度的，一年一次的,
182,another,,/əˈnʌðə(r)/,a.再一；另一；别的；不同的pron.另一个,
183,answer,,/ˈɑːnsə(r);(US)ˈænsər/,n.回答，答复;回信;答案v.回答，答复;回信;（作出）答案,
184,ant,,/ænt/,n.蚂蚁,
185,Antarctic,,/ænˈtɑːktɪk/,a.南极的,
186,theAntarctic,,/ænˈtɑːktɪk/,南极,
187,Antarctica,,/æn'tɑːktɪkə/,*n.南极洲,
188,antique,,/ænˈtiːk/,n.古董,
189,anxiety,,/æŋˈzaɪətɪ/,n.担忧，焦虑,
190,anxious,,/ˈæŋkʃəs/,a.忧虑的，焦急的,
191,any,,/ˈenɪ/,pron.（无论）哪一个；哪些任何的；（用于疑问句、否定句）一些；什么,
192,anybody,,/ˈenɪbɔdɪ/,pron.任何人，无论谁,
193,anyhow,,/ˈenɪhaʊ/,ad.不管怎样,
194,anyone,,/ˈenɪwʌn/,pron.任何人，无论谁,
195,anything,,/ˈenɪθɪŋ/,pron.什么事（物）；任何事（物）,
196,anywa,,/ˈenɪweɪ/,yad.不管怎样,
197,anywhere,,/ˈenɪweə(r)/,ad.任何地方,
198,apart,,/əˈpɑːt/,ad，/a.相隔，相距，除外,
199,apartment,,/əˈpɑːtmənt/,n.（美）楼中单元房，一套房间；房间,
200,apologize,,/əˈpɔlədʒaɪz/,vi.道歉，谢罪,
201,apology,,/əˈpɔlədʒɪ/,n.道歉；歉意,
202,apparent,,/əˈpærənt/,a.显而易见,
203,appeal,,/əˈpiːl/,v.上诉，申诉，吸引力,
204,appear,,/əˈpɪə(r)/,vi.出现,
205,appearance,,/əˈpɪərəns/,n.出现，露面；容貌,
206,appendix,,/əˈpendɪks/,n.附录，阑尾,
207,appetite,,/ˈæpɪtaɪt/,n.食欲，胃口,
208,applaud,,/əˈplɔːd/,v./n.鼓掌，赞许，赞赏,
209,apple,,/ˈæp(ə)l/,n.苹果,
