
附录四 雅思听力单词英、美发音比较
单词 英音 美音
aboard [əˈbɔːd] [əˈbɔːrd]
accost [əˈkɒst] [əˈkɔːst]
adieu [əˈdjuː] [əˈduː]
after [ˈɑːftə(r)] [ˈæftə(r)]
assume [əˈsjuːm] [əˈsuːm]
border [ˈbɔːdə(r)] [ˈbɔːrdə(r)]
brochure [ˈbrəʊʃə(r)] [broʊˈʃʊr]
calf [kɑːf] [kæf]
career [kəˈrɪə(r)] [kəˈrɪr]
ceremony [ˈserəməni] [ˈserəmoʊni]
comet [ˈkɒmɪt] [ˈkɑːmət]
costume [ˈkɒstjuːm] [ˈkɑːstuːm]
craft [krɑːft] [kræft]
curious [ˈkjʊəriəs] [ˈkjʊriəs]
discard [dɪsˈkɑːd] [dɪsˈkɑːrd]
electron [ɪ ˈlektrɒn] [ɪ ˈlektrɑːn]
enchant [ɪnˈtʃɑːnt] [ɪnˈtʃænt]
exotic [ɪgˈzɒtɪk] [ɪgˈzɑːtɪk]
explosive [ɪkˈspləʊsɪv] [ɪkˈsplosɪv]
eyeglass [ˈɑɪglɑːs] [ˈɑɪglæs]
focus [ˈfəʊkəs] [ˈfoʊkəs]
garage [ˈgærɑːʒ] [gəˈrɑːʒ]
graft [grɑːft] [græft]
grassy [ˈgrɑːsi] [ˈgræsi]
host [həust] [hoʊst]
laboratory [ləˈbɒːrətri] [ˈlæbrətɔːri]
missile [ˈmɪsaɪl] [ˈmɪsl]
nerve [nɜːv] [nɜːrv]
positive [ˈpɒzətɪv] [ˈpɑːzətɪv]
rural [ˈrʊərəl] [ˈrurəl]
schedule [ˈʃedjuːl] [ˈskedʒuːl]
stationary [ˈsteɪʃənri] [ˈsteɪʃəneri]
absolve [əbˈzɒlv] [əbˈzɑːlv]
across [əˈkrɒs] [əˈkrɔːs]
aeration [eəˈreɪʃn] [eˈreɪʃn]
arm [ɑːm] [ɑːrm]
banana [bəˈnɑːnə] [bəˈnænə]
borrow [ˈbɒrəʊ] [ˈbɑːroʊ]
cadre [ˈkɑːdə(r)] [ˈkædri]
carbon [ˈkɑːbən] [ˈkɑːrbən]
cast [kɑːst] [kæst]
coarse [kɔːs] [kɔrs]
cord [kɔːd] [kɔrd]
courage [ˈkʌrɪdʒ] [ˈkɜːrɪdʒ]
curative [ˈkjʊərətɪv] [ˈkjʊrətɪv]
data [ˈdeɪtə] [ˈdætə]
draft [drɑːft] [dræft]
elongate [ˈiːlɒŋgeɪt] [ɪ ˈlɔːŋgeɪt]
endure [ɪnˈdjʊə(r)] [ɪnˈdʊr]
expert [ˈekspɜːt] [ˈekspɜːrt]
extraordinary [ɪkˈstrɔːdnri] [ɪkˈstrɔːrdəneri]
finale [fɪ ˈnɑːli] [fɪ ˈnæli]
gasp [gɑːsp] [gæsp]
geometry [dʒi ˈɒmətri] [dʒi ˈɑːmətri]
grant [grɑːnt] [grænt]
hectare [ˈhektɑː(r)] [ˈhekter]
intuit [ɪnˈtjuːɪt] [ɪnˈtuːɪt]
laughing [ˈlɑːfɪŋ] [ˈlæfɪŋ]
mysterious [mɪ ˈstɪəriəs] [mɪ ˈstɪriəs]
necessary [ˈnesəsəri] [ˈnesəseri]
renewal [rɪ ˈnjuːəl] [rɪ ˈnuːəl]
sample [ˈsɑːmpl] [ˈsæmpl]
secretary [ˈsekrətri] [ˈsekrəteri]
turbine [ˈtɜːbaɪn] [ˈtɜːrbɑɪn]
