word1,phone1,word2,phone2
all together,[ɔːl,ˈtəːgeðə],altogether,[ɔːlˈtəːgeðə]
band,[bænd],banned,[bænd]
bread,[bred],bred,[bred]
check,[tʃek],cheque,[tʃek]
already,[ɔːlˈredi],all ready,[ɔːl,ˈredi]
flew,[fluː],flu,[fluː]
flower,[ˈflauə],flour,[ˈflauə]
fourth,[fɔːθ],forth,[fɔːθ]
wait,[weit],weight,[weit]
heal,[hiːl],heel,[hiːl]
heroin,[ˈherəuin],heroine,[ˈherəuin]
ours,[ˈauəz],hours,[ˈauəz]
peace,[piːs],piece,[piːs]
son,[sʌn],sun,[sʌn]
story,[ˈstɔːri],storey,[ˈstɔːri]
vain,[vein],vein,[vein]
alright,[ɔːlˈrait],all,right,[ɔːl,ˈrait]
altar,[ˈɔːltə],alter,[ˈɔːltə]
anyone,[ˈeniwʌn],any,one,[ˈeniwʌn]
ascent,[əˈsent],assent,[əˈsent]
berth,[bəːθ],birth,[bəːθ]
boy,[bɔi],buoy,[bɔi]
bear,[bɛə],bare,[bɛə]
aloud,[əˈlaud],allowed,[əˈlaud]
break,[breik],brake,[breik]
compliment,[ˈkɔmpliment],complement,[ˈkɔmpliment]
find,[faind],fined,[faind]
floor,[flɔː],flaw,[flɔː]
for,[fɔː],four,[fɔː]
hair,[heə],hare,[heə]
waste,[weist],waist,[weist]
here,[hiə],hear,[hiə]
meet,[miːt],meat,[miːt]
red,[red],read,[red]
whether,[ˈ(h)weðə],weather,[ˈ(h)weðə]
rose,[rouz],rows,[rouz]
source,[sɔːs],sauce,[sɔːs]
theirs,[ðeəz],there's,[ðeəz]
whose,[huːz],who's,[huːz]
always,[ˈɔːlweiz],all ways,[ˈɔːlweiz]
ware,[weə],where,[weə]
vain,[vein],vein,[vein]
tail,[teil],tale,[teil]
steel,[stiːl],steal,[stiːl]
buy…by,bye,[bai]
cell,[sel],sell,[sel]
cite,site,[sait],…sight
climb,[klaim],clime,[klaim]
coarse,[kɔːs],course,[kɔːs]
council,[ˈkaunsl],counsel,[ˈkaunsl]
crewed,[kruːd],crude,[kruːd]
cycle,[ˈsaikl],psychal,[ˈsaikl]
fair,[feə],fare,[feə]
formally,[ˈfɔːməli],formerly,[ˈfɔːməli]
higher,[ˈhaiə],hire,[ˈhaiə]
in,[in],inn,[in]
dear,[diə],deer,[diə]
aunt,[ɑːnt],aren't,[ɑːnt]
stare,[steə],stair,[steə]
sort,[sɔːt],sought,[sɔːt]
some,[sʌm],sum,[sʌm]
sail,[seil],sale,[seil]
root,[ruːt],route,[ruːt]
right…rite,write,[rait]
principal,[ˈprinsəpl],principle,[ˈprinsəpl]
plain,[plein],plane,[plein]
paw…pore,pour,[pɔː]
miner,[ˈmainə],minor,[ˈmainə]
mail,[meil],male,[meil]
loan,[ləun],lone,[ləun]
lessen,[ˈlesn],lesson,[ˈlesn]
way,[wei],weigh,[wei]
