seq,word,phonetic,exchange,trans,
01/51,mix,英[miks],,v.混淆；混合
02/51,litter,英['litә],,v.乱丢；乱扔废弃物n.垃圾
03/51,kick,英[kik],,v.&n.踢
04/51,increase,英[in'kri:s],,v.&n.增加，增长、；
05/51,shut,英[ʃʌt],(shut，shut),v.&n.关闭；停业
06/51,hide,英[haid],(hid，hidden),v.把...藏起来；隐藏
07/51,keep,英[ki:p],(kept，kept),v.保持；保存
08/51,must,英[mʌst],,v.必须；必定是
09/51,punish,英['pʌniʃ],,v.惩罚
10/51,telephone,英['telifәun],,v.打电话n.电话
11/51,phone,英[fәun],(=telephone),v.打电话n.电出
12/51,fight,英[fait],(fought，fbught),v.&n.打架；争斗
13/51,reach,英[ri:tʃ],,v.到达；伸手够到
14/51,understand,英[.ʌndә'stænd],(understood，understood),v.懂得，理解；明白
15/51,shake,英[ʃeik],(shook，shaken),v.动摇；震动
16/51,spend,英[spend],(spent，spent),v.度过；花费
17/51,wonder,英['wʌndә],,v.对...疑惑，惊奇；想知道
18/51,shine,英[ʃain],(shone，shone),v.发光；照耀
19/51,relax,英[ri'læks],,v.放松；使轻松
20/51,pay,英[pei],(paid，paid),v.支付；偿还n.薪水
21/51,show,英[ʃәu],(showed，shown),v.&n.显示；说明；演出
22/51,support,英[sә'pɒ:t],,v.支持；供养
23/51,care,英[kєә],,v.关心；照顾
24/51,manage,英['mænidʒ],,v.管理；设法做到
25/51,return,英[ri'tә:n],,v.归还；返回
26/51,act,英[ækt],,v.行动，扮演n.行为
27/51,wound,英[wu:nd],,v.受伤n.伤口
28/51,remember,英[ri'membә],,v.记得；想起
29/51,drive,英[draiv],,v.驾驶；开车
30/51,build,英[bild],(built，built),v.建筑；建造
31/51,teach,英[ti:tʃ],(taught，taught),v.教；教授
32/51,marry,英['mæri],,v.嫁；结婚
33/51,finish,英['finiʃ],,v.完成；结束
34/51,solve,英[sɒlv],,v.解决
35/51,borrow,英['bɒrәu],,v.借用；借
36/51,lift,英[lift],,v.举起；提升
37/51,decide,英[di'said],,v.决定；下决心
38/51,start,英[stɑ:t],,v.开始；出发
39/51,pull,英[pul],,v.拉，拖n.拉力
40/51,leave,英[li:v],(left，le仕),v.离开；留下
41/51,lead,英[li:d. led],(led，led),v.领导；带领
42/51,sell,英[sel],(sold，sold),v.卖
43/51,climb,英[klaim],,v.爬，攀登
44/51,send,英[send],(sent，sent),v.发送；派遣；寄信
45/51,ride,英[raid],(rode，ridden),v.骑；乘车n.乘坐
46/51,cut,英[kʌt],(cut，cut),v.切，剪
47/51,celebrate,英['selibreit],,v.庆祝；过节
48/51,burn,英[bә:n],(-ed，-ed或burnt，burnt),v.燃烧n.烧伤
49/51,kill,英[kil],,v.杀死；使终止
50/51,fail,英[feil],,v.失败；不及格
51/51,realise,英['riәlaiz],,v.实现
