seq,word,phonetic,exchange,trans,
01/51,pick,英[pik],,v.拾起；挑选
02/51,dry,英[drai],,v.使....变干a.干的；干燥的
03/51,separate,英['sepәreit],,v.使分开a.分开的
04/51,seem,英[si:m],,v.似乎；好像
05/51,receive,英[ri'si:v],,v.收到；得到
06/51,count,英[kaunt],,v.计数，认为n.计算
07/51,brush,英[brʌʃ],,v.刷；擦n.刷子
08/51,die,英[dai],,v.死亡；消失
09/51,lie,英[lai],(lay，lain),v.躺；平放；彳立于
00/51,survey,英[sә'vei],,v.&n.调查；测量
11/51,throw,英[θrәu],(threw，thrown),v.投；掷；扔
12/51,dig,英[dig],(dug，dug),v.挖洞；挖掘
13/51,forget,英[fә'get],(forgot，forgotten),v.忘记；忽略
14/51,smell,英[smel],(smelt，smelt),v.闻至I」；发出气味n.气味
15/51,pollute,英[pә'lu:t],,v.污染，玷污
16/51,wish,英[wiʃ],,v.希望n.愿望
17/51,believe,英[bi'li:v],,v.相信，认为
18/51,ring,英[riŋ],(rang，rung),v.铃响；按铃n.戒指
19/51,wake,英[weik],(woke，woken),醒来；叫醒
20/51,hang,英[hæŋ],(hung，hung),v.悬挂；把吊起
21/51,spread,英[spred],(spread，spread),v.传播；伸展；展开
22/51,move,英[mu:v],,v.移动；搬家；感动
23/51,cover,英['kʌvә],,v.包括；覆盖n.封
24/51,point,英[pɒint],,v.指向n.要点；得分
25/51,treat,英[tri:t],,v.对待；治疗n.请客
26/51,nod,英[nɒd],,v.点头
27/51,hurry,英['hʌri],,v.赶快；匆忙
28/51,freeze,英[fri:z],(froze，frozen),v.结冰；冻结；凝茴
29/51,become,英[bi'kʌm],(became，become),v.变为，成为
30/51,succeed,英[sәk'si:d],,v.成功
31/51,accept,英[әk'sept],,v.承认v.接受
32/51,rush,英[rʌʃ],,v.冲；奔跑
33/51,appear,英[ә'piә],,v.出现，显现
34/51,arrive,英[ә'raiv],,v.到达，抵达
35/51,happen,英['hæpәn],,v.发生；碰巧
36/51,refuse,英[ri'fju:z],,v.拒绝，抵制
37/51,skate,英[skeit],,v.溜冰；滑冰
38/51,fall,英[fɒ:l],(fell，fhllen),v.落下n.瀑布；秋天
39/51,reason,英['ri:zn],,v.推论n.原因，理性
40/51,rise,英[raiz],(rose，risen),v.上升；起立
41/51,sound,英[saund],,v.听起来；发出声音n.声音
42/51,beat,英[bi:t],,v.敲打；打败
43/51,depend,英[di'pend],,v.依靠；取决于
44/51,stick,英[stik],(stuck，stuck),v.粘住；坚持n.木棒
45/51,match,英[mætʃ],,v.&n.使相配；比赛
46/51,invent,英[in'vent],,v.发明；创造
47/51,lay,英[lei],(laid，laid),v.躺下；产卵；放；
48/51,introduce,英[.intrә'dju:s],,v.介绍，引进
49/51,lend,英[lend],(lent，lent),v.借出；把……借给
50/51,hurt,英[hә:t],(hurt，hurt),v.伤害；疼痛
51/51,lose,英[lu:z],(lost，lost),v.失去，使迷路
