seq,word,phonetic,exchange,trans,
01/51,better,英['betә],,a.较好的ad.更好地
02/51,same,英[seim],,n.同样a.同样的；相同的
03/51,festival,英['festәvәl],,n.节日a.节日的
04/51,nervous,英['nә:vәs],,a.神经的；紧张不安的
05/51,used,英['ju:st],,a.旧的；二手的
06/51,huge,英[hju:dʒ],,a.巨大的；极大的
07/51,possible,英['pɒsәbl],,a.可能的；合理的
08/51,terrible,英['terәbl],,a.可怕的；糟糕的
09/51,thirsty,英['θә:sti],,a.口渴的；渴求的
10/51,empty,英['empti],,a没人的，空着的；空的
11/51,spare,英[spєә],,a.空闲的；多余的v.宽恕；腾出
12/51,quick,英[kwik],,a.快的；快速的；敏捷的
13/51,rapid,英['ræpid],,a.迅速的；飞速的
14/51,wide,英[waid],,宽阔的；广泛的
15/51,hard,英[hɑ:d],,a.困难的；硬的ad.努力地
16/51,neither,英['naiðә],,两者都不；也不
17/51,smart,英[smɑ:t],,a.聪敏的；灵巧的
18/51,exciting,英[ik'saitiŋ],,a.令人兴奋的；令人激动的
19/51,popular,英['pɒpjulә],(pop),a，流行的；受欢迎的；大众的
20/51,deaf,英[def],,聋的；不愿听的(t。)
21/51,full,英[ful],,a.满的；充满的ad.完全地
22/51,daily,英['deili],,a.每日的；日常的n.日报
23/51,lovely,英['lʌvli],,a.美好的；可爱的
24/51,delicious,英[di'liʃәs],,a.美味的；可口的
25/51,bright,英[brait],,明亮的；闪光的；聪明的
26/51,southern,英['sʌðәn],,南部的；南方的
27/51,south,英[sauθ],,n.南方a.南方的ad.在南方
28/51,able,英['eibl],(be able to do),a.能够的
29/51,European,英[.juәrә'pi:әn],,a.欧洲的，欧洲人的n.欧洲人
30/51,fat,英[fæt],,胖的n.脂肪
31/51,pretty,英['priti],,a.漂亮的；可爱的ad.相当地
32/51,cute,英[kju:t],,漂亮的；娇小可爱的
33/51,poor,英[puә. pɒ:],,a.贫穷的；可怜的；差的
34/51,common,英['kɒmәn],,a.普遍的；普通的；公共的
35/51,strange,英[streindʒ],,奇怪的；陌生的
36/51,proper,英['prɒpә],,a.正确的；恰当的；像样的
37/51,front,英[frʌnt],,n.前面a.前面的；正面的
38/51,clear,英[kliә],,清晰的；清楚的；明确的
39/51,absent,英['æbsәnt],,缺席的；缺少的v.缺席
40/51,sure,英[ʃuә],,确信ad.的确
41/51,everyday,英['evri'dei],,日常的；普通的
42/51,soft,英[sɒft],,a.软的；柔和的
43/51,weak,英[wi:k],,a.虚弱的；不牢固的；软弱的
44/51,silly,英['sili],,a.傻的；愚蠢的；可笑的
45/51,social,英['sәuʃәl],,a.社会的；社交的
46/51,deep,英[di:p],,a.深的；严重的n.深处
47/51,blind,英[blaind],,a.瞎的；盲目的
48/51,comfortable,英['kʌmfәtәbl],,舒服的；安逸的
49/51,double,英['dʌb(ə)l],,a.双的；两倍的
50/51,asleep,英[ә'sli:p],,a.睡着的；ad.熟睡地
51/51,private,英['praivit],,私人的；私有的
