seq,word,phonetic,exchange,trans,
01/51,dead,英[ded],,a.死亡的n.死者
02/51,special,英['speʃәl],,a.特殊的；专门的
03/51,usual,英['ju:ʒuәl],,a.通常的；平常的
04/51,sudden,英['sʌdn],,a.突然的；意外的
05/51,foreign,英['fɒ:rin],,a.外国的；外交的
06/51,perfect,英['pә:fikt],,a.完美的；理想的
07/51,complete,英[kәm'pli:t],,a.完整的；L!完成的v.完成
08/51,dangerous,英['deindʒәrәs],,a.危险的；有危害的
09/51,only,英['әunli],,a.惟一的ad.仅仅
10/51,boring,英['bɒ:riŋ],,a.无聊的；单调的
11/51,bored,英［bo:d],,a.无聊的；烦人的
12/51,silent,英['sailәnt],,a.安静的，寂静的；沉默的
13/51,west,英[west],,n.西部a.西的
14/51,western,英['westәn],,ad.在西方a.西方的；西部的
15/51,rainy,英['reini],,a.下雨的；多雨的
16/51,similar,英['similә],,a.相似的，近似的
17/51,OK,英['әu'kei],,a.&ad.对；不错
18/51,sleepy,英['sli:pi],,a.想睡觉的；困倦的
19/51,fresh,英[freʃ],,a.新鲜的；没有经验的
20/51,awake,英[ә'weik],(awoke，awoken),a.醒着的v.唤醒
21/51,excited,英[ik'saitid],,a.兴奋的；活跃的
22/51,snowy,英['snәui],,a.下雪的；雪白的
23/51,strict,英[strikt],,a.严格的；严厉的
24/51,serious,英['siәriәs],,a.严肃的；认真的
25/51,international,英[.intә'næʃәnәl],,n.国际a.国际的；国际关系的
26/51,wild,英[waild],,a.野性的；荒凉的；野蛮的
27/51,medical,英['medikl],,a.医学的；医疗的
28/51,Indian,英['indiәn],,a.印度的；印第安人的n.印度人
29/51,British,英['britiʃ],,a.英国的n.英国人；英国；英语
30/51,handsome,英['hænsәm],,a.英俊的；帅气的；漂亮的
31/51,dark,英[dɑ:k],,n.黑暗a.黑暗的
32/51,brave,英[breiv],,a.勇敢的；大胆的
33/51,humorous,英['hju:mәrәs],,a.幽默的；滑稽的
34/51,friendly,英['frendli],,a.友好的；亲密的
35/51,worth,英[wә:θ],,值得的a.有……的价值；
36/51,sick,英[sik],,a.生病的；恶心的；厌恶的
37/51,valuable,英['væljuәbl],,a.有价值的；贵重的
38/51,polite,英[pә'lait],,a.有礼貌的；客气的
39/51,funny,英['fʌni],,a.有趣的；搞笑的
40/51,useful,英['ju:sful],,a.有用的；有益的
41/51,another,英[ә'nʌðә],,a.另一个的pron.另一个
42/51,stupid,英['stju:pid],,a.愚蠢的；笨的
43/51,careful,英['kєәful],,a.仔细的；小心的
44/51,online,英［Dn'lain],,a.在线的，联网的ad.在线地
45/51,awful,英［'ɒ:ful],,a.糟糕的；可怕的
46/51,true,英[tru:],,a.真的；真正的；确切的
47/51,real,英['riәl],,a.真实的；实际的
48/51,whole,英[hәul],,a.整个的；完全的n.整个事物
49/51,tidy,英['taidi],,a.整齐的；整洁的v.使整洁
50/51,correct,英[kә'rekt],,a.正确的，恰当的
51/51,straight,英[streit],,v.改正a.直的；正直的ad.坦率地
