seq,word,phonetic,exchange,trans,
01/55,certainly,英['sә:tәnli],,ad.肯定地；当然；一定
02/55,together,英[tә'geðә],,ad.一起；共同
03/55,along,英[ә'lɒŋ],,ad.向前prep.沿着
04/55,already,英[ɒ:l'redi],,ad.已经；早已
05/55,ago,英[ә'gәu],,ad.以前；之前
06/55,ever,英['evә],,ad.曾经；从来；总是
07/55,especially,英[i'speʃәli],,ad.尤其是，特别；专门地
08/55,somewhere,英['sʌmhwєә],,ad.某处，在某处
09/55,below,英[bi'lәu],,ad.在下面prep.在.............之下；低于
10/55,really,英['riәli],,ad.真正地；确实
11/55,round,英[raund],,ade&prep.围综a.圆的n.轮次
12/55,enough,英[i'nʌf],,ad.足够地a.充足的
13/55,recently,英['ri:sntli],,ad.最近；近来
14/55,if,英[if],,conj.如果；是否
15/55,though,英[ðәu],,conj.尽管，虽然
16/55,although,英[ɒ:l'ðou],,conj.尽管；虽然
17/55,whatever,英[hwɒt'evә],,conj.&pron，无论什么；不管什么
18/55,than,英[ðæn],,conj.比prep.比……；超过
19/55,unless,英[.ʌn'les],,conj.如果不；除非
20/55,whether,英['hweðә],,conj.是否；不论；任何一个
21/55,whenever,英[hwen'evә],,conj.每当；无论何时adv.无论何时
22/55,nor,英[nɒ:］,,conj.也不，也不是
23/55,because,英[bi'kɒ:z],,conj.因为，由于
24/55,while,英[hwail],,conj.在.....时候；而n.一会儿
25/55,into,英['intu:],,prep.到...里；变成
26/55,inside,英['in'said],,prep.在......里面ad.在里面
27/55,until,英[әn'til],,prep.&conj.直到...为止，到....时
28/55,untill,英［әn'til］,,prep.&conj.直到...为止，到....时
29/55,above,英[ә'bʌv],,prep.超过；在......之上ad.在上面
30/55,except,英[ik'sept],,prep.除...以外，除去
31/55,among,英[ә'mʌŋ],,prep.在...中；在……之内
32/55,through,英[θru:],,prep.穿过；从始至终ad.穿过
33/55,across,英[ә'krɒs],,rep.穿过；与...交叉ad.越过
34/55,against,英[ә'geinst],,prep.反对；依着，靠着
35/55,off,英[ɒf],,prep.离开ad.中断
36/55,without,英[wi'ðaut],,prep.在.....之外；没有
37/55,opposite,英['ɒpәzit],,prep.在对面a.对立的；相反的
38/55,toward,英[tә'wɒ:d],,prep.面向；朝着
39/55,towards,英[tә'wɔ:dz],,prep.面向；朝着
40/55,during,英['djuәriŋ],,prep.在.....期间；在……过程中
41/55,over,英['әjvә(r)],,prep.在.....上方；越过ad.越过
42/55,upon,英[ә'pɒn],,prep.根据，在.....之上；—，就
43/55,whom,英[hu:m],(who的宾格),pron.谁
44/55,other,英['ʌðә],,pron.别人a.另外的
45/55,several,英['sevәrәl],,pron.几个a.若干
46/55,either,英['i:ðә],,pron.两者中任何一个两者中任一的
47/55,everything,英['evriθiŋ],,pron.每件事；一切
48/55,everybody,英['evribɒdi],,pron.每人，人人
49/55,everyone,英['evriwʌn],,pron.每人，人人
50/55,somebody,英['sʌmbɒdi],,pron.某人；有人
51/55,something,英['sʌmθiŋ],,pron.某事；某物
52/55,someone,英['sʌmwʌn],,pron.某一个人；有人
53/55,which,英[hwitʃ],,pron.哪一个a.这个
54/55,yourself,英[juә'self],(pl.yourselves),pron.你自己，你们自己
55/55,anything,英['eniθiŋ],,pron.任何事情，无论何事
