id,level,seq,uri,title
introdu1,introduction,1,/listens/magic-ear-8-times/introduction/1/master.m3u8,introduction 1
introdu2,introduction,2,/listens/magic-ear-8-times/introduction/2/master.m3u8,introduction 2
introdu3,introduction,3,/listens/magic-ear-8-times/introduction/3/master.m3u8,introduction 3

primary1,primary,11,/listens/magic-ear-8-times/primary/1/master.m3u8,primary 1
primary2,primary,12,/listens/magic-ear-8-times/primary/2/master.m3u8,primary 2
primary3,primary,13,/listens/magic-ear-8-times/primary/3/master.m3u8,primary 3
primary4,primary,14,/listens/magic-ear-8-times/primary/4/master.m3u8,primary 4
primary5,primary,15,/listens/magic-ear-8-times/primary/5/master.m3u8,primary 5
primary6,primary,16,/listens/magic-ear-8-times/primary/6/master.m3u8,primary 6
primary7,primary,17,/listens/magic-ear-8-times/primary/7/master.m3u8,primary 7
primary8,primary,18,/listens/magic-ear-8-times/primary/8/master.m3u8,primary 8

junior01,junior,101,/listens/magic-ear-8-times/junior/01/master.m3u8,junior 01
junior02,junior,102,/listens/magic-ear-8-times/junior/02/master.m3u8,junior 02
junior03,junior,103,/listens/magic-ear-8-times/junior/03/master.m3u8,junior 03
junior04,junior,104,/listens/magic-ear-8-times/junior/04/master.m3u8,junior 04
junior05,junior,105,/listens/magic-ear-8-times/junior/05/master.m3u8,junior 05
junior06,junior,106,/listens/magic-ear-8-times/junior/06/master.m3u8,junior 06
junior07,junior,107,/listens/magic-ear-8-times/junior/07/master.m3u8,junior 07
junior08,junior,108,/listens/magic-ear-8-times/junior/08/master.m3u8,junior 08
junior09,junior,109,/listens/magic-ear-8-times/junior/09/master.m3u8,junior 09
junior10,junior,110,/listens/magic-ear-8-times/junior/10/master.m3u8,junior 10
junior11,junior,111,/listens/magic-ear-8-times/junior/11/master.m3u8,junior 11
junior12,junior,112,/listens/magic-ear-8-times/junior/12/master.m3u8,junior 12
junior13,junior,113,/listens/magic-ear-8-times/junior/13/master.m3u8,junior 13
junior14,junior,114,/listens/magic-ear-8-times/junior/14/master.m3u8,junior 14
junior15,junior,115,/listens/magic-ear-8-times/junior/15/master.m3u8,junior 15
junior16,junior,116,/listens/magic-ear-8-times/junior/16/master.m3u8,junior 16
junior17,junior,117,/listens/magic-ear-8-times/junior/17/master.m3u8,junior 17
junior18,junior,118,/listens/magic-ear-8-times/junior/18/master.m3u8,junior 18
junior19,junior,119,/listens/magic-ear-8-times/junior/19/master.m3u8,junior 19
junior20,junior,120,/listens/magic-ear-8-times/junior/20/master.m3u8,junior 20
junior21,junior,121,/listens/magic-ear-8-times/junior/21/master.m3u8,junior 21

senior01,senior,201,/listens/magic-ear-8-times/senior/01/master.m3u8,senior 01
senior02,senior,202,/listens/magic-ear-8-times/senior/02/master.m3u8,senior 02
senior03,senior,203,/listens/magic-ear-8-times/senior/03/master.m3u8,senior 03
senior04,senior,204,/listens/magic-ear-8-times/senior/04/master.m3u8,senior 04
senior05,senior,205,/listens/magic-ear-8-times/senior/05/master.m3u8,senior 05
senior06,senior,206,/listens/magic-ear-8-times/senior/06/master.m3u8,senior 06
senior07,senior,207,/listens/magic-ear-8-times/senior/07/master.m3u8,senior 07
senior08,senior,208,/listens/magic-ear-8-times/senior/08/master.m3u8,senior 08
senior09,senior,209,/listens/magic-ear-8-times/senior/09/master.m3u8,senior 09
senior10,senior,210,/listens/magic-ear-8-times/senior/10/master.m3u8,senior 10
senior11,senior,211,/listens/magic-ear-8-times/senior/11/master.m3u8,senior 11
senior12,senior,212,/listens/magic-ear-8-times/senior/12/master.m3u8,senior 12
senior13,senior,213,/listens/magic-ear-8-times/senior/13/master.m3u8,senior 13
senior14,senior,214,/listens/magic-ear-8-times/senior/14/master.m3u8,senior 14
senior15,senior,215,/listens/magic-ear-8-times/senior/15/master.m3u8,senior 15
senior16,senior,216,/listens/magic-ear-8-times/senior/16/master.m3u8,senior 16
senior17,senior,217,/listens/magic-ear-8-times/senior/17/master.m3u8,senior 17
senior18,senior,218,/listens/magic-ear-8-times/senior/18/master.m3u8,senior 18
senior19,senior,219,/listens/magic-ear-8-times/senior/19/master.m3u8,senior 19
senior20,senior,220,/listens/magic-ear-8-times/senior/20/master.m3u8,senior 20
senior21,senior,221,/listens/magic-ear-8-times/senior/21/master.m3u8,senior 21
senior22,senior,222,/listens/magic-ear-8-times/senior/22/master.m3u8,senior 22
senior23,senior,223,/listens/magic-ear-8-times/senior/23/master.m3u8,senior 23
senior24,senior,224,/listens/magic-ear-8-times/senior/24/master.m3u8,senior 24
senior25,senior,225,/listens/magic-ear-8-times/senior/25/master.m3u8,senior 25
senior26,senior,226,/listens/magic-ear-8-times/senior/26/master.m3u8,senior 26
senior27,senior,227,/listens/magic-ear-8-times/senior/27/master.m3u8,senior 27
senior28,senior,228,/listens/magic-ear-8-times/senior/28/master.m3u8,senior 28
senior29,senior,229,/listens/magic-ear-8-times/senior/29/master.m3u8,senior 29
senior30,senior,230,/listens/magic-ear-8-times/senior/30/master.m3u8,senior 30
