seq,word,phonetic,exchange,trans,
01/51,read,英[ri:d]美[rid],(read，read),v.阅读，朗读
02/51,wear,英[weə(r)]美[wer],(wore，worn),v.穿，戴
03/51,drink,英[driŋk]美[driŋk],(drank，drunk),v.喝n.饮料
04/51,draw,英[drɔ:]美[drɔ],(drew，drawn),v.绘画
05/51,begin,英[bi'gin]美[bi'gin],(began，begun),v.开始，着手
06/51,do,英[du]美[du],(did，done),v.&aux.做
07/51,buy,英[bai]美[bai],(bought，bought),v.买n.交易
08/51,bring,英[briŋ]美[briŋ],(brought，brought),v.拿来
09/51,please,英[pli:z]美[pliz],,v.请，使人高兴
10/51,try,英[trai]美[trai],,v.试图，努力
11/51,speak,英[spi:k]美[spik],(spoke，spoken),v.说，谈话
12/51,hear,英[hiə(r)]美[hir],(heard，heard),v.听见，听说
13/51,play,英[plei]美[plei],,v.玩，播放n.玩耍
14/51,ask,英[a:sk]美[æsk],,v.问，请求
15/51,eat,英[i:t]美[i:t],(ate，eaten),v.吃，喝，进食
16/51,think,英[θiŋk]美[θiŋk],(thought，thought),v.想，认为
17/51,write,英[rait]美[rait],(wrote，written),v.写，写作
18/51,sing,英[siŋ]美[siŋ],(sang，sung),v.唱，唱歌
19/51,turn,英[tə:n]美[tən],,v.旋转，转变n.轮流
20/51,study,英[stʌdi]美[stʌdi],,v.学习n.书房
21/51,stand,英[stænd)美[stænd],(stood，stood),v.站立，经受
22/51,know,英[nəu]美[nou],(knew，known),v.知道，认识，懂得
23/51,run,英[rʌn]美[rʌn],(ran，run),vi.奔跑
24/51,answer,英['ɑ:nsə(r)]美['ænsə(r)],,v.解答，回答n.答案
25/51,wait,英[weit]美[wet],,vi.等，等候
26/51,come,英[kʌm]美[kʌm],(came，come),vi.来，来到
27/51,shop,英[ʃɔp]美[ʃɔp],,vi.购物n.商店
28/51,go,英[gəu]美[gou],(went，gone),vi.去，走，到达
29/51,live,英[liv]美[liv],,vi.生活，活着
30/51,sleep,英[sli:p]美[slip],(slept，slept),vi.&n，睡觉
31/51,listen,英['lisn]美['lisən],,vi.听
32/51,swim,英[swim]美[swim],(swam，swum),vi.游泳
33/51,sit,英[sit]美[sit],(sat，sat),vi.坐
34/51,get,英[get]美[get],(got，got),vt.成为，得到
35/51,clean,英[kli:n]美[klin],,vt.打扫a.干净的
36/51,feel,英[fi:l]美[fil],(felt，felt),v.&link感觉，摸
37/51,put,英[put]美[put],(put，put),vt.放，摆
38/51,thank,英[θæiŋk]美[θæiŋk],,vt.&n.感谢
39/51,tell,英[tel]美[tel],(told，told),vt.告诉，讲述
40/51,give,英[giv]美[giv],(gave，given),vt.给，付出
41/51,watch,英[wɔtʃ]美[wɔtʃ],,vt.观看，注意
42/51,see,英[si:]美[si],(saw，seen),vt.看见，领会
43/51,take,英[teik]美[tek],(took，taken),vt.拿走，乘坐
44/51,let,英[let]美出t],(let，let),vt.让
45/51,say,英[sei]美[se],(said，said),vt.说，讲
46/51,want,英[wDnt]美[want],,vt.想，需要
47/51,have,英[həv]美[hæv],(has，had，had),vt.有，吃
48/51,meet,英[mi:t]美[mit],(met，met),vt.遇见n.会面
49/51,find,英[faind]美[faind],(found，found),vt.找到，发现
50/51,make,英[meik]美[mek],(made，made),vt.制造，使得
51/51,plant,英[pla:nt]美[plænt],,vt.种植n.植物
