seq,word,phonetic,exchange,trans,
01/51,nice,英[nais]美[nais],,a.愉快的；美好的
02/51,green,英[gri:n]美[grin],,a.绿色的n.绿色
03/51,busy,英['bizi]美['bizi],,a.忙碌的
04/51,every,英['evri]美['evri],,a.每个的
05/51,fine,英[fain]美[fain],,a.美好的；健康的
06/51,beautiful,英[bju:tifl]美[bjutfbl],,a.美丽的；极好的
07/51,difficult,英['difikәlt],,.难的；不易相处的
08/51,young,英[jʌŋ],,a.年轻的
09/51,tired,英[taiәd],,a.疲劳的；厌烦的
10/51,strong,英[strɒŋ],,a.强壮的；强烈的
11/51,dear,英['diә],,a.亲爱的；贵的
12/51,close,英[klәuz],,a.亲密的ad.靠近vt.关闭
13/51,sunny,英['sʌni],,a.晴朗的；阳光充足的
14/51,hot,英[hɒt],,a.热的
15/51,any,英['eni],,a.任何的pron.任何ad.稍微
16/51,easy,英['i:zi],,a.容易的
17/51,angry,英['æŋgri],,a.生气的；愤怒的
18/51,late,英[leit],,a.晚的ad.迟地
19/51,great,英[greit],,a.伟大的ad.好极了
20/51,warm,英[wɒ:m],,a.温暖的；热情的
21/51,favourite,英['feivәrit],(美ihvorite),a.喜爱的n.特别喜爱的人或物
22/51,small,英[smɒ:l],,a.小的；少的
23/51,little,英['litl],(less，least),a.小的；少的ad.很少地n.一点
24/51,new,英[nju:],,a.新的
25/51,happy,英['hæpi],,a.幸福的；快乐的
26/51,some,英[sʌm],,a.一些；有些
27/51,English,英['iŋgliʃ],,a.英国的，英语的n.英语
28/51,ill,英[il],,a.有病的；不健康的
29/51,windy,英['windi],,a.有风的，多风的
30/51,interesting,英['intristiŋ],,a.有趣的
31/51,dirty,英['dә:ti],,a.脏的
32/51,early,英['ә:li],,a.早的ad.早地
33/51,long,英[lɒŋ],,a.长的ad.长久
34/51,Chinese,英[tʃai'ni:z],,a.中国的；中国人的；n.中国人；中文
35/51,heavy,英['hevi],,a.重的
36/51,next,英['nekst],,a.最近的；下一次ad.随后
37/51,left,英[left],,a.左边的ad.向左n.左边
38/51,why,英[hwai],,ad.&int.为什么
39/51,today,英[tә'dei],,ad.&n.今天；当前
40/51,tomorrow,英[tә'mɒ:rәu],,ad.&n.明天
41/51,under,英['ʌndә-],,ad.&prep.在下面
42/51,not,英[nɒt],,ad.不；没
43/51,then,英[ðen],,ad.当时；然后
44/51,much,英[mʌtʃ],(more，most),ad.非常；更加
45/51,well,英[wel],(better，best),ad.好a.好的int.那么
46/51,very,英['veri],,ad.很，非常
47/51,often,英['ɒ:fn],,ad.经常，常常
48/51,slow,英[slәu],,ad.慢慢地
49/51,yes,英[jes],,ad.是:同意
50/51,now,英[nau],,ad.现在
51/51,up,英[ʌp],,ad.向上a.上面的n.上升
