seq,word,symbol,tense,paraphrase
01/51,too,英[tu:],,ad.也；太；非常
02/51,also,英['ɒ:lsәu],,ad.也conj.另外
03/51,sometimes,英['sʌmtaimz],,(=attimes)ad.有时
04/51,again,英[ә'gein],,ad.再一次；再
05/51,where,英[hwєә],,ad.在哪里
06/51,here,英[hiә],,ad.在这里
07/51,how,英[hau],,ad.怎样；多少
08/51,always,英['ɒ:lweiz],,ad.总是；永远
09/51,but,英[bʌt],,conj.但是prep.除.....以外ad.只不过....
10/51,when,英[hwen],,conj.当....的时候
11/51,or,英[ɒ:],,conj.或；否则
12/51,welcome,英['welkәm],,int.n.&v.欢迎a.受欢迎的
13/51,goodbye,英[gud'bai],(bye),int.再见
14/51,after,英['ɑ:ftә],,prep&conj.S.............之后ad.以后a.后来的
15/51,of,英[ɒv],,prep当中的
16/51,from,英[frɒm],,prep.从...起；来自
17/51,like,英[laik],,prep.跟...一样vt.喜欢
18/51,with,英[wið;wiθ],,prep.关于；和
19/51,for,英[fɔ:(r);fә(r)],,prep.为了...conj.因为
20/51,down,英[daun],,prep.沿....而下ad.向下
21/51,behind,英[bi'haind],,prep.在....后面ad.在后面；向后
22/51,by,英[baɪ],,prep.在....旁；乘坐……ad.经过
23/51,beside,英[bi'said],,prep.在...旁边；靠近
24/51,on,英[ɒn],,prep.在....上
25/51,before,英[bi'fɒ:],,prep.在....之前conj.在……之前a.从前
26/51,between,英[bi'twi:n],,prep.在.....中间ad.当中
27/51,your,英[juә],,pron.你的；你们的
28/51,what,英[hwɒt],,pron.什么a.多么
29/51,who,英[hu:],,pron.谁
30/51,whose,英[hu:z],,pron.谁的
31/51,him,英[him],,pron.他（宾格）
32/51,them,英[ðem; ðəm],,pron.他/她/它们（宾格）
33/51,his,英[hiz],,pron.他的
34/51,they,英[ðei],,pron.他们；人们
35/51,their,英[ðєә],,proa他们的
36/51,its,英[its],,pron.它的
37/51,she,英[ʃi:],,pron.她
38/51,her,英[hә:],,pron.她，她的
39/51,me,英[mi:],,pron.我
40/51,my,英[mai],,pron.我的
41/51,our,英['auә],,pron我们的
42/51,many,英['meni],,(more，most)pron.许多人a.许多的
43/51,yesterday,英['jestәdi],,n.&ad.昨天
44/51,aunt,英[ɑ:nt],,n.阿姨；舅母
45/51,dad,英[dæd],,n.爸爸
46/51,class,英[klɑ:s],,n.班；班级
47/51,evening,英['i:vniŋ],,n.傍晚，晚上
48/51,back,英[bæk],,n.背a.背部的ad.以前
49/51,nose,英[nәuz],,n.鼻子
50/51,arm,英[ɑ:m],,n.臂，手臂
51/51,ice,英[ais],,n.冰
