seq,word,phonetic,exchange,trans,
01/51,farmer,英['fɑ:mә],,n.农夫，农民
02/51,girl,英[gә:l],,n.女孩
03/51,skirt,英[skә:t],,n.裙子；短裙
04/51,Ms.,英[miz],,n.女士
05/51,friend,英[frend],,n.朋友
06/51,apple,英['æpl],,n.苹果
07/51,car,英[kɑ:],,n.汽车
08/51,pencil,英['pensl],,n.铅笔
09/51,autumn,英['ɒ:tәm],,n.秋天a.秋天的
10/51,ball,英[bɒ:l],,n.球；舞会
11/51,right,英[rait],,n.权利a.正确的；右边的ad.正确地
12/51,fan,英[fæn],,n.迷；爱好者；风扇
13/51,people,英['pi:pl],,n.人；人民；人类
14/51,body,英['bɒdi],,n.身体
15/51,birthday,英['bә:θdei],,n.生日
16/51,time,英[taim],,n.时间；时代；次数
17/51,food,英[fu:d],,n.食物
18/51,hand,英[hænd],,手；指针v.上交
19/51,book,英[buk],,n.书v.预订
20/51,schoolbag,英['sku:lbæ^],,n.书包
21/51,desk,英[desk],,n.书桌
22/51,uncle,英[ʌŋkl],,n.叔；伯
23/51,vegetable,英['vedʒәtәbl],,n.蔬菜
24/51,tree,英[tri:],,n.树
25/51,math(s),英[mæθ],(mathmatics),n.数学
26/51,water,英['wɒ:tә],,n.水v.浇水
27/51,fruit,英[fru:t],,n.水果；果实
28/51,driver,英['draivә],,n.司机
29/51,sun,英[sʌn],,n.太阳，阳光
30/51,soup,英[su:p],,n.汤
31/51,cousin,英['kʌzәn],,n.堂兄弟；堂姐妹
32/51,candy,英['kændi],,n.糖果
33/51,subject,英['sʌbdʒekt],,n.题目；主题；学科
34/51,PE,英[pei],(physicaleducation),n.体育
35/51,sport,英[spɒ:t],,n.体育运动；运动会
36/51,weather,英['weðә],,n.天气
37/51,jump,英[dʒʌmp],,n.跳，跳跃v.跳跃
38/51,ruler,英['ru:lә],,n.统治者；直尺
39/51,head,英[hed],,n.头；标题a.主要的
40/51,hair,英[hєә],,n.头发
41/51,picture,英['piktʃә],,n.图片，照片
42/51,library,英['laibrәri],,n.图书馆
43/51,potato,英[pә'teitәu],,n.土豆，马铃薯
44/51,leg,英[leg],,n.腿
45/51,coat,英[kәut],,n.外套，大衣
46/51,toy,英[tɒi],,n.玩具
47/51,lunch,英[lʌntʃ],,n.午餐
48/51,tomato,英[tә'mɑ:tәu],,n.西红柿
49/51,wash,英[wɒʃ],,n.洗v.冲洗
50/51,afternoon,英['ɑ:ftә'nu:n],,n.下午
51/51,summer,英['sʌmә],,n.夏天
