seq,seqn,word,phonetic,exchange,trans
1,1/407,read,英[ri:d]美[rid],(read;read),v.阅读;朗读
2,2/407,wear,英[weə(r)]美[wer],(wore;worn),v.穿;戴
3,3/407,drink,英[driŋk]美[driŋk],(drank;drunk),v.喝n.饮料
4,4/407,draw,英[drɔ:]美[drɔ],(drew;drawn),v.绘画
5,5/407,begin,英[bi'gin]美[bi'gin],(began;begun),v.开始;着手
6,6/407,do,英[du]美[du],(did;done),v.&aux.做
7,7/407,buy,英[bai]美[bai],(bought;bought),v.买n.交易
8,8/407,bring,英[briŋ]美[briŋ],(brought;brought),v.拿来
9,9/407,please,英[pli:z]美[pliz],,v.请;使人高兴
10,10/407,try,英[trai]美[trai],,v.试图;努力
11,11/407,speak,英[spi:k]美[spik],(spoke;spoken),v.说;谈话
12,12/407,hear,英[hiə(r)]美[hir],(heard;heard),v.听见;听说
13,13/407,play,英[plei]美[plei],,v.玩;播放n.玩耍
14,14/407,ask,英[a:sk]美[æsk],,v.问;请求
15,15/407,eat,英[i:t]美[i:t],(ate;eaten),v.吃;喝;进食
16,16/407,think,英[θiŋk]美[θiŋk],(thought;thought),v.想;认为
17,17/407,write,英[rait]美[rait],(wrote;written),v.写;写作
18,18/407,sing,英[siŋ]美[siŋ],(sang;sung),v.唱;唱歌
19,19/407,turn,英[tə:n]美[tən],,v.旋转;转变n.轮流
20,20/407,study,英[stʌdi]美[stʌdi],,v.学习n.书房
21,21/407,stand,英[stænd)美[stænd],(stood;stood),v.站立;经受
22,22/407,know,英[nəu]美[nou],(knew;known),v.知道;认识;懂得
23,23/407,run,英[rʌn]美[rʌn],(ran;run),vi.奔跑
24,24/407,answer,英['ɑ:nsə(r)]美['ænsə(r)],,v.解答;回答n.答案
25,25/407,wait,英[weit]美[wet],,vi.等;等候
26,26/407,come,英[kʌm]美[kʌm],(came;come),vi.来;来到
27,27/407,shop,英[ʃɔp]美[ʃɔp],,vi.购物n.商店
28,28/407,go,英[gəu]美[gou],(went;gone),vi.去;走;到达
29,29/407,live,英[liv]美[liv],,vi.生活;活着
30,30/407,sleep,英[sli:p]美[slip],(slept;slept),vi.&n;睡觉
31,31/407,listen,英['lisn]美['lisən],,vi.听
32,32/407,swim,英[swim]美[swim],(swam;swum),vi.游泳
33,33/407,sit,英[sit]美[sit],(sat;sat),vi.坐
34,34/407,get,英[get]美[get],(got;got),vt.成为;得到
35,35/407,clean,英[kli:n]美[klin],,vt.打扫a.干净的
36,36/407,feel,英[fi:l]美[fil],(felt;felt),v.&link感觉;摸
37,37/407,put,英[put]美[put],(put;put),vt.放;摆
38,38/407,thank,英[θæiŋk]美[θæiŋk],,vt.&n.感谢
39,39/407,tell,英[tel]美[tel],(told;told),vt.告诉;讲述
40,40/407,give,英[giv]美[giv],(gave;given),vt.给;付出
41,41/407,watch,英[wɔtʃ]美[wɔtʃ],,vt.观看;注意
42,42/407,see,英[si:]美[si],(saw;seen),vt.看见;领会
43,43/407,take,英[teik]美[tek],(took;taken),vt.拿走;乘坐
44,44/407,let,英[let]美出t],(let;let),vt.让
45,45/407,say,英[sei]美[se],(said;said),vt.说;讲
46,46/407,want,英[wDnt]美[want],,vt.想;需要
47,47/407,have,英[həv]美[hæv],(has;had;had),vt.有;吃
48,48/407,meet,英[mi:t]美[mit],(met;met),vt.遇见n.会面
49,49/407,find,英[faind]美[faind],(found;found),vt.找到;发现
50,50/407,make,英[meik]美[mek],(made;made),vt.制造;使得
51,51/407,plant,英[pla:nt]美[plænt],,vt.种植n.植物
52,52/407,can,英[kæn]美[kæn],,aux.能够;可以n.罐头
53,53/407,look,英[luk]]美[luk],,n.看v.观看
54,54/407,walk,英[wɔ:k]美[wɔk],,n.&v•步行;散步
55,55/407,exercise,英['eksəsaiz]美['eksərsaiz],,n.&v.锻炼;练习
56,56/407,worry,英['wʌri]美['wʒri],,n.&v.烦恼;担忧;困扰
57,57/407,call,英[kɔ:l]美[kɔl],,n.喊;电话v.称呼;打电话
58,58/407,stop,英[stɔp]美[stɔp],,n.&v.停止
59,59/407,talk,英[tɔ:k]美[tɔk],,n.&v.谈话;交谈
60,60/407,travel,英['trævl]［美['trævl],,n.&vi.旅行
61,61/407,use,英[ju:s]美[jus],,n.&vt.利用;使用
62,62/407,work,英[w3:k]美[w3rk],,n.&v.工作;运转
63,63/407,dance,英[da:ns]美[dæns],,n.&vi.跳舞
64,64/407,cook,英[kuk]美[kuk],,n.厨师v.做饭
65,65/407,love,英[lʌv]美[lʌv],,n.&vt.爱;热爱
66,66/407,help,英[help]美[help],,n.&vt.帮助
67,67/407,cry,英[krai]美[krai],,n.哭声v.喊叫;哭
68,68/407,visit,英['vizit]美['vizit],,n.&vt.参观;访问
69,69/407,about,英[əbaut]美[əbaut],,ad.大约a.在附近的prep.关于
70,70/407,far,英[fa:(r)]美[far],(farther;farthest或further;furthest),a.&ad.远的;遥远地
71,71/407,half,英[ha:f]美[hæf],,a.&n.一半
72,72/407,that,英[ðæt]美[ðæt],,a.&pron.那个conj.那ad.那么
73,73/407,those,英[ðəuz]美[ðouz],,a.&pron.那些
74,74/407,this,英[ðis]美[ðis],,a.&pron.这
75,75/407,these,英[ði:z]美[ðiz],,a.&pron.这些
76,76/407,white,英[wait]美[hwait],,a.白色的n.白色
77,77/407,thin,英[θin]美[θin],,a.薄的;瘦的
78,78/407,sad,英[sæd]美[sæd],,a难过的;.悲伤的
79,79/407,ugly,英['ʌgli]美['ʌgli],,a.丑陋的
80,80/407,clever,英[klevə(r)]美['klevə],,a.聪明的;伶俐的
81,81/407,wrong,英[rɔŋ]美[rɔŋ],,a.错误的;不正常的;坏事
82,82/407,big,英[big]美[big],,a.大的ad.大量地
83,83/407,short,英[ʃɔ:rt]美[ʃɔrt],,a.短的;矮的
84,84/407,sorry,英['sɔri]美['sɔri],,a.对不起;难过的
85,85/407,cloudy,英['klaudi]美['klaudi],,a.多云的;阴天的
86,86/407,tall,英[tɔ:l]美[tɔl],,a.高的a.高的ad.高地
87,87/407,high,英[hai]美[hai],,a.高的a.高的ad.高地
88,88/407,afraid,英[ə'freid]美[ə'fred],,a.害怕的;担心的
89,89/407,good,英[gud]美[gud],(better;best),a.好;良好
90,90/407,black,英[blæk]美[blæk],,a.黑的n.黑色
91,91/407,bad,英[bæd]美[bæd],(worse;worst),a.坏的;严重的n.坏人ad.不好地
92,92/407,yellow,英['jeləu]美[jelou],,a.黄色的
93,93/407,hungry,英[hʌŋgri]美[hʌŋgri],,a.饥饿的
94,94/407,healthy,英[helθi]美['helθi],,a.健康的
95,95/407,near,英[niə(r)]美[nir],,a.近的
96,96/407,wonderful,英[wʌndəfl]美[wʌndərfl],,a.精彩的;了不起的
97,97/407,open,英[oopon|美[oopon],,a.开着的vt.打开
