seq,word,phonetic,exchange,trans,
01/51,ignore,英[ig'nɒ:],,v.忽视，无视；不理睬
02/51,suspect,英[sә'spekt],,v.怀疑n.嫌疑人a.可疑的
03/51,refer,英[ri'fә:],,v.参考；提到；涉及
04/51,participate,英[pɑ:'tisipeit],,v.参与；参加；分享
05/51,measure,英['meʒә],,v.测量n.措施
06/51,detect,英[di'tekt],,v.侦查；发现；检测
07/51,perceive,英[pә'si:v],,v.察觉；感知
08/51,balance,英['bælәns],,v.平衡n.天平；平衡；余额
09/51,integrate,英['intigreit],,v.合并；融合；综合
10/51,clarify,英['klærifai],,v.澄清；净化
11/51,surf,英[sә:f],,v.冲浪；上网
12/51,publish,英['pʌbliʃ],,v.出版；公布
13/51,arise,英[ә'raiz],,v.产生；出现；由...引起
14/51,resign,英[ri'zain],,v.辞职；放弃
15/51,stimulate,英['stimjuleit],,v.刺激；使兴奋；激励
16/51,engage,英[in'geidʒ],,v.参与；从事；吸引
17/51,promote,英[prәu'mәut],,v.促进；提升；推广
18/51,exist,英[ig'zist],,v.存在；生存
19/51,sweep,英[swi:p],,v.打扫；席卷；掠过
20/51,mount,英[maunt],,v.爬上；增加；安装
21/51,carve,英[kɑ:v],,v.切开；雕刻
22/51,stare,英[stєә],,v.盯着；凝视
23/51,bet,英[bet],,v.赌，打赌n.赌注
24/51,starve,英[stɑ:v],,v.饿死；挨饿
25/51,whisper,英['hwispә],,v.耳语；低声说n.悄悄话
26/51,launch,英[lɒ:ntʃ],,v.发射；启动n.发行
27/51,shoot,英[ʃu:t],,v.发射n.射击
28/51,occur,英[ә'kә:],,v.发生；出现；存在
29/51,oppose,英[ә'pәuz],,v.反对；使对立；使对抗
30/51,reflect,英[ri'flekt],,v.反射；反映
31/51,react,英[ri'ækt],,v.起反应；反作用
32/51,defend,英[di'fend],,v.保卫；防御；维护
33/51,sew,英[sәu],,v.缝合；缝纫
34/51,devote,英[di'vәut],,v.奉献；致力于
35/51,deny,英[di'nai],,v.否认；拒绝
36/51,hatch,英[hætʃ],,v.孵化；密谋n.孵化
37/51,improve,英[im'pru:v],,v.改善；改进；进步
38/51,dare,英[dєә],,v.敢；胆敢
39/51,entitle,英[in'taitl],,v.给....称号；尊称；授权
40/51,prefer,英[pri'fә:],,v.更喜欢；宁愿
41/51,update,英[ʌp'deit],,v.更新；迭代
42/51,purchase,英['pә:tʃәs],,v.购买n.购买；所购物品
43/51,evaluate,英[i'væljueit],,v.评估；评价
44/51,observe,英[әb'zә:v],,v.观察；注意到；遵守
45/51,pour,英[pɒ:],,v.灌注；倾泻；下倾盆大同
46/51,roll,英[rәul],,v.滚动n.卷；名单
47/51,wrap,英[ræp],,v.裹；缠绕n.披肩
48/51,suit,英[sju:t. su:t],,v.适合n.套装；西服
49/51,cooperate,英[kәu'ɒpәreit],,v.合作；协作
50/51,breathe,英[bri:ð],,v.呼吸；呼气
51/51,slip,英[slip],,v.滑过；滑倒n.滑行
