seq,word,symbol,tense,paraphrase
01/51,expand,英[ik'spænd],,v.膨胀；扩大；展开
02/51,criticise,英['kritisaiz],(criticize),v.批评；批判
03/51,destroy,英[di'strɒi],,v.破坏；摧毁
04/51,cheat,英[tʃiːt],,v.欺骗; 作弊; n.骗子
05/51,owe,英[әu],,v.欠；归功于
06/51,pray,英[prei],,v.请求；祈祷
07/51,distinguish,英[dis'tiŋgwiʃ],,v.区别；辨别；使...有特色
08/51,tend,英[tend],,v.趋向于；往往是；照顾
09/51,fetch,英[fetʃ],,v.取来；接来n.取得
10/51,ban,英[bæn],,v.取缔n.禁止；禁令
11/51,go,英[gou],,v.走；变得n.围棋
12/51,ensure,英[in'ʃuә],,V.确保；担保
13/51,disturb,英[dis'tә:b],,V.扰乱；妨碍；使不安
14/51,recognise,英['rekә^naiz],(recognize),V.认出；承认；认可
15/51,negotiate,英[ni'gәuʃieit],,v.商订；谈判
16/51,concern,英[kәn'sә:n],,V.涉及；关系到n.关心
17/51,stretch,英[stretʃ],,V.伸展n.拉长
18/51,upset,英[ʌp'set],,V.使心烦a.心烦的；难过的
19/51,expose,英[ik'spәuz],,v.揭发；显示；曝光
20/51,facilitate,英[fә'siliteit],,使容易；使便利
21/51,addict,英[ә'dikt],,v.沉溺于；使上瘾n.上瘾者
22/51,submit,英[sәb'mit],,v.提交；服从
23/51,confirm,英[kәn'fә:m],,n.确认；确定；证实
24/51,freeze,英[fri:z],,v.结冰；凝固
25/51,enable,英[i'neibl],,v.使能够；使成为可能
26/51,highlight,英['hailait],,v.强调；使显著n.重要部分
27/51,convince,英[kәn'vins],,v.说服；使信服；使确信
28/51,release,英[ri'li:s],,v.释放；发布
29/51,withdraw,英[wið'drɒ:],,v.退出；撤销；取钱
30/51,recover,英[ri'kʌvә],,v.恢复；重新获得
31/51,suffer,英['sʌfә],,v.遭受；忍受；经历
32/51,belong,英[bi'lɒŋ],,v.属于；附属于
33/51,persuade,英[pә'sweid],,v.劝说；使相信
34/51,charge,英[tʃɑ:dʒ],,v.充电；控告n.费用
35/51,enhance,英[in'hæns],,v.提高；增强
36/51,remind,英[ri'maind],,v.使想起
37/51,shave,英[ʃeiv],,v.刮胡子n.刮脸
38/51,shift,英[ʃift],,v.移动；转变n.移位
39/51,investigate,英[in'vestigeit],,v.调查；研究
40/51,correspond,英[.kɒri'spɒnd],,v.相符合；相似于；通信
41/51,cast,英[kɑ:st. kæst],,v.铸造；投掷n.阵容
42/51,postpone,英[pәust'pәun],,v.推迟；延期
43/51,recommend,英[.rekә'mend],,v.推荐；劝告；建议
44/51,infer,英[in'fә:],,v.推论；推断
45/51,retire,英[ri'taiә],,V.退休；退却:就寝
46/51,drag,英[dræg],,v.拖拽n.拖:拖累
47/51,maintain,英[mein'tein],,v.保持:坚持；保养；
48/51,attach,英[ә'tætʃ],,v.使...依附；贴上
49/51,sink,英[siŋk],,v.下沉；下落n.水槽
50/51,restrict,英[ri'strikt],,v.限制；约束
51/51,leak,英[li:k],,v.&n泄漏；透漏；n.漏洞
