seq,word,phonetic,exchange,trans,
01/51,survive,英[sә'vaiv],,v.生存；幸存；幸免于
02/51,revise,英[ri'vaiz],,v.&n.修订；校正（考前）复习
03/51,permit,英[pә'mit],,v.允许；许可n.许可证
04/51,relate,英[ri'leit],,v.与...相联系；与...有关
05/51,declare,英[di'klєә],,v.宣布；断言；声明
06/51,suspend,英[sә'spend],,v.悬挂；暂停；使停职
07/51,select,英[si'lekt],,v.选择；精选a.精选的
08/51,seek,英[si:k],,v.寻找；谋求
09/51,inquire,英[in'kwaiә],,v.询问；打听；问讯
10/51,depress,英[di'pres],,v.使沮丧；(经济)不景气；降低
11/51,press,英[pres],,v.按；压n.新闻界；出版社
12/51,extend,英[ik'stend],,v.延长；扩充
13/51,swing,英[swiŋ],,v.摇摆；转弯n.秋千
14/51,rely,英[ri'lai],,v.信任；依赖
15/51,remove,英[ri'mu:v],,v.移动；清除；脱衣服
16/51,imply,英[im'plai],,v.暗示；暗指
17/51,quote,英[kwәut],,v.&n.引用；引述
18/51,cite,英[sait],,v.引用；引证；举例
19/51,impress,英[im'pres],,v.给...留下印象；使钦佩
20/51,deserve,英[di'zә:v],,v.应得；应受；值得
21/51,hesitate,英['heziteit],,v.犹豫；含糊
22/51,fry,英[frai],,v.油煎；油炸
23/51,differ,英['difә],,v.不同于；有意见分歧
24/51,prevent,英[pri'vent],,v.阻止；预防
25/51,predict,英[pri'dikt],,v.预言；预测；预告
26/51,forgive,英[fә'giv],,v.原谅；饶恕
27/51,transport,英[træns'pɒ:t],,v.&n.运输，运送
28/51,consist,英[kәn'sist],,v.由...组成；存在于
29/51,approve,英[ә'pru:v],,v.批准，认可；赞成
30/51,blame,英[bleim],,v.责备；归咎于n.责任；责备
31/51,reveal,英[ri'vi:l],,v.揭示；透漏；展示
32/51,occupy,英['ɒkjupai],,v.占用；占领；使忙于
33/51,overcome,英[.әuvә'kʌm],,v.克服；战胜
34/51,fold,英[fәuld],,v.折叠n.折痕
35/51,announce,英[ә'nauns],,v.正式宣布；通告
36/51,prove,英[pru:v],,v.证明；证实；检验
37/51,justify,英['dʒʌstifai],,v.证明合法；使两端对齐
38/51,dominate,英['dɒmineit],,v.支配；统治；占优势
39/51,indicate,英['indikeit],,v.表明；暗示；指出
40/51,cure,英[kjuә],,v.&n.治疗；治愈
41/51,greet,英[gri:t],,V.欢迎，迎接；问候
42/51,choke,英[tʃәuk],,V.窒息；噎住
43/51,relay,英['ri:lei],,v.转发；转播n.接力赛
44/51,interrupt,英[.intә'rʌpt],,v.打断；中断；阻碍
45/51,boil,英[bɒil],,v.&n.煮沸；沸腾
46/51,bless,英[bles],,v.祝福；保佑
47/51,seize,英[si:z],,v.抓住；夺取；逮捕
48/51,earn,英[ә:n],,v.赚得；获得
49/51,decorate,英['dekәreit],,v.装饰；布置；装修
50/51,load,英[lәud],,v.使...负担；加载n.负担
51/51,pursue,英[pә'sju:],,v.追求；贯彻；从事
