seq,word,phonetic,exchange,trans,
01/51,settle,英['setl],,v.安顿；定居；解决
02/51,commit,英[kә'mit],,v.犯罪；委托；保证
03/51,regard,英[ri'gɑ:d],,v.看作；考虑n.问候
04/51,contain,英[kәn'tein],,v.包含；容纳；包括
05/51,preserve,英[pri'zә:v],,v.保护；维持；保存
06/51,complain,英[kәm'plein],,v.抱怨；申诉
07/51,erupt,英[i'rʌpt],,v.爆发；喷出；长牙
08/51,explode,英[ik'splәud],,v.爆炸；爆发；急剧增长
09/51,recite,英[ri'sait],,v.背诵；朗诵
10/51,sow,英[sau. sәu],,V.播种；散布
11/51,disappear,英[.disә'piә],,V.失踪；消失
12/51,realise,英['riәlaiz],(realize),v.意识到；明白；实现
13/51,make,英[meik],,v.制作；做；引起
14/51,attract,英[ә'trækt],,v.吸引；诱惑；引人注意
15/51,download,英[ˌdaʊnˈləʊd;ˈdaʊnləʊd],,v.下载n.下载
16/51,emerge,英[i'mә:dʒ],,v.出现，浮现；暴露
17/51,intend,英[in'tend],,v.企图；想要；打算
18/51,consume,英[kәn'sju:m],,v.消费，消耗；耗尽
19/51,digest,英[di'dʒest],,v.消化；吸收n.文摘
20/51,affect,英[ә'fekt],,v.影响；感染；感动
21/51,anticipate,英[æn'tisipeit],,v.预期，期望；预见
22/51,sustain,英[sә'stein],,v.维持；支撑；遭受
23/51,have,英[hæv],(has),aux.v.已经，曾经v.有
24/51,be,英[bi],(am;are;is),aux.v.&v.是；在；有
25/51,can,英[kæn],,aux.v.能；可以n.罐头v.把……装罐
26/51,supply,英[sә'plai],,v.&n.供给；供应；补足
27/51,grab,英[græb],,v.&n.抓住；夺得
28/51,display,英[dis'plei],,v.展览；展览n.显示
29/51,hunt,英[hʌnt],,v.&n.打猎；搜索；寻找
30/51,delay,英[di'lei],,v.&n.耽搁；延迟
31/51,collapse,英[kә'læps],,v.&n.倒塌；崩溃；暴跌
32/51,reform,英[ri'fɒ:m],,v.&n.改革；改造a.改革的
33/51,attack,英[ә'tæk],,v.&n.攻击；袭击
34/51,estimate,英['estimeit],,v.&n.估计；估价；评估
35/51,broadcast,英['brɒ:dkæst],,v.&n.广播；播放
36/51,scream,英[skri:m],,v.&n.尖叫；惊叫
37/51,exchange,英[iks'tʃeindʒ],,v.&n.交换；(货币)兑换；交流
38/51,contact,英['kɒntækt],,v.&n.接触；联系；交往
39/51,import,英[im'pɒ:t],,v.&n.进口；输入
40/51,bow,英[bәu.bau],,v.鞠躬；低头n.弓形
41/51,drill,英[dril],,v.&n.钻孔；训练
42/51,murder,英['mә:dә],,v.&n.谋杀；凶杀
43/51,crash,英[kræʃ],,v.&n.碰撞；坠落；失事
44/51,dive,英[daiv],,v.&n.潜水；跳水；俯冲
45/51,request,英[ri'kwest],,v.&n.请求；要求
46/51,hug,英[hʌg],,v.&n.拥抱；抱紧
47/51,design,英[di'zain],,v.&n.设计；构思
48/51,export,英[ik'spɒ:t],,v.&n.出口:输出
49/51,damage,英['dæmidʒ],,v.&n.损害；毁坏
50/51,comfort,英['kʌmfәt],,v.&n.(使)舒适；安慰
51/51,cease,英[si:s],,v.&n.停止；终止
