seq,word,phonetic,exchange,trans,
01/50,decline,英[di'klain],,v.&n.下降；衰落；拒绝
02/50,chat,英[tʃæt],,v.&n.闲谈；聊天
03/50,envy,英['envi],,v.&n.羡慕；忌妒
04/50,advocate,英['ædvәkeit],,v.提倡；主张n.提倡者
05/50,bite,英[bait],,v.咬，叮n.咬伤
06/50,claim,英[kleim],,v.&n.要求；声称；索赔
07/50,rescue,英['reskju:],,v.&n.拯救；援救
08/50,forecast,英['fɒ:kɑ:st],,v.&n.预测；预报
09/50,desire,英[di'zaiә],,v.渴望；要求n.欲望
10/50,recycle,英[.ri:'saikl],,v.再循环；重复利用n.再生
11/50,debate,英[di'beit],,v.&n.争论；辩论
12/50,protest,英[prә'test],,v.&n.反对；抗议（n）
13/50,grasp,英[græsp],,v.&n.抓住；掌握；领会
14/50,wrestle,英['resl],,v.&n.摔跤；格斗；努力处理
15/50,register,英['redʒistә],,v.&n.登记；注册；挂号
16/50,struggle,英['strʌgl],,v.&n.斗争，拼搏；努力
17/50,employ,英[im'plɒi],,v.&n.雇佣；使用
18/50,hire,英[haiә],,v.&n.租用；雇佣
19/50,border,英['bɒ:dә],,v.与……接壤n.边界
20/50,decrease,英['di:kri:s],,v.&n.减少；降低
21/50,contest,英['kɒntest],,v.&n.比赛；竞赛
22/50,lack,英[læk],,v.&n.缺乏；不足
23/50,harm,英[hɑ:m],,v.&n.伤害；损害；危害
24/50,input,英['input],,v.&n.输入
25/50,escape,英[i'skeip],,v.&n.逃走；逃脱；避开
26/50,frost,英[frɒst],,v.&n.霜冻；（给蛋糕）撒糖霜
27/50,demand,英[di'mɑ:nd],,v.&n.需要；请求
28/50,encounter,英[in'kauntә],,v.&n.遭遇，遇到；邂逅
29/50,battle,英['bætl],,v.&n.战争；斗争・；比赛
30/50,comment,英['kɒment],,v.&n.意见，评论，注释
31/50,volunteer,英[.vɒlәn'tiә],,v.自愿n.志愿者a.志愿的
32/50,respect,英[ri'spekt],,v.&n.尊敬；尊重
33/50,strike,英[straik],,v.打击n.罢工
34/50,boost,英[bu:st],,v.&n.促进；增强；使……兴旺
35/50,defeat,英[di'fi:t],,v.&n.击败，战胜
36/50,shock,英[ʃɒk],,v.（使）震惊n.令人震惊的事
37/50,ski,英[ski:],,v.滑雪n.雪橇
38/50,hike,英[haik],,v.&n.徒步旅行；远足
39/50,benefit,英['benifit],,v.有益于；受益n.利益
40/50,aim,英[eim],,v.以...为目的:瞄准n.目的
41/50,reward,英[ri'wɒ:d],,v.奖励n.回报，报酬
42/50,guarantee,英[.gærәn'ti:],,v.&n.保证；担保
43/50,handle,英[hændl],,v.处理n.手柄；把手
44/50,graduate,英['grædʒueit],,v.大学毕业n.大学毕业生a.（攻读）研究生的
45/50,arrest,英[ә'rest],,v.&n.逮捕；阻止
46/50,sponsor,英['spɒnsә],,v.赞助；资助II.赞助者
47/50,judge,英[dʒʌdʒ],,v.判断；审判n.法官；裁判员
48/50,sail,英[seil],,v.&n.航行；起航
49/50,root,英[ru:t],,v.生根n.根；根本
50/50,conduct,英['kɔndʌkt],,v.进行；实施；指挥n.行为
