seq,word,phonetic,exchange,trans,
01/50,tackle,英['tækl],,v.处理；对付
02/50,base,英[beis],,v.以……为基础；n.基础
03/50,spy,英[spai],,v.当间谍；侦杳n.间谍
04/50,limit,英['limit],,v.限定；限制n.界限
05/50,focus,英['fәukәs],,v.集中于；聚焦n.焦点
06/50,scare,英[skєә],,v.&n.惊恐；惊吓；害怕
07/50,challenge,英['tʃælindʒ],,v.质疑；向……挑战n.挑战
08/50,bomb,英[bɒm],,v.轰炸；投弹（于）n.炸弹
09/50,wrinkle,英['riŋkl],,v.（使）起皱纹n.皱纹
10/50,monitor,英['mɒnitә],,v.监视，监控n.监视器；班长
11/50,regardless,英[ri'gɑ:dlis],,a.不管的；不顾的ad.无论如何
12/50,junior,英['dʒu:njә],,a.年少的；初级的；n.大三学生
13/50,equal,英['i:kwәl],,a.相等的；平等的v.等于n.对等
14/50,amateur,英['æmәtә],,a.业余的n.业务爱好者
15/50,calm,英[kɑ:m],,a.安静的n.风平浪静v.使...平静
16/50,secure,英[si'kjuә],,a.安全的；严密保护的；v.争取到
17/50,assistant,英[ә'sistәnt],,a.辅助的n.助手；助教
18/50,pessimistic,英[.pesi'mistik],,a.悲观的；悲观主义的
19/50,passive,英['pæsiv],,a.被动的；消极的
20/50,native,英['neitiv],,a.本地的；天生的n.本地人
21/50,essential,英[i'senʃәl],,a.必不可少的；本质的；至关重要的n.必需品
22/50,awkward,英['ɒ:kwәd],,a.令人尴尬的；笨拙的；棘手的
23/50,convenient,英[kәn'vi:njәnt],,a.方便的；便利的
24/50,desperate,英['despәrәt],,a.绝望的；不顾一切的；孤注一掷的
25/50,incredible,英[in'kredәbl],,a.难以置信的；不可思议的；极好的
26/50,unusual,英[.ʌn'ju:ʒu:l],,a.不平常的；与众不同的
27/50,financial,英[fai'nænʃәl],,a.财政的；金融的
28/50,disabled,英[dis'eibld],,a.残疾的；有缺陷的
29/50,cruel,英['kru:әl],,a.残忍的；无情的
30/50,ashamed,英[ә'ʃeimd],,a.惭愧的；羞耻的
31/50,thorough,英['θʌrә],,a.彻底的；缜密的
32/50,mature,英[mә'tjuә],,a.成熟的；成年人的v.成熟
33/50,ripe,英[raip],,a.成熟的；时机成熟的
34/50,urban,英['ә:bәn],,a.城市的；城镇的
35/50,abstract,英['æbstrækt],,a.抽象的n.抽象概念v.提取
36/50,pure,英[pjuә],,a.纯洁的；完全的；单纯的
37/50,secondary,英['sekәndәri],,a.次要的；中学的
38/50,intelligent,英[in'telidʒәnt],,a.聪明的；明智的
39/50,rude,英[ru:d],,a.粗鲁的；无礼的；愚昧的
40/50,complicated,英['kɒmplikeitid],,a.复杂的；难懂的
41/50,massive,英['mæsiv],,a.巨大的；结实的
42/50,Atlantic,英[әt'læntik],,a.大西洋的n.大西洋
43/50,moral,英['mɒrәl],,a.道德的n.道德
44/50,typical,英['tipikl],,a.典型的；特有的；一贯的
45/50,dynamic,英[dai'næmik],,a.动态的；动力的；有活力的n.动力
46/50,independent,英[.indi'pendәnt],,a.独立的；有主见的
47/50,multiple,英['mʌltipl],,a.多样的；多元的n.倍数
48/50,diverse,英[dai'vә:s],,a.多样的；不同的；各异的
49/50,bound,英[baund],,a.被束缚的；必定的n.范围
50/50,energetic,英[.enә'dʒetik],,a.精力旺盛的；有活力的；积极的
