seq,word,phonetic,exchange,trans,
01/51,innocent,英['inәsәnt],,a.无辜的；清白的；天真无邪的
02/51,distinct,英[dis'tiŋkt],,a.清楚的；明显的；不同的
03/51,fine,英[fain],,a.很好的；可以接受的；晴朗的v.&n.罚款
04/51,global,英['glәubl],,a.全球的；全世界的；全局的
05/51,overall,英['әuvәrɒ:l],,a.全部的ad.全部地；总体上n.背带裤
06/51,awesome,英['ɒ:sәm],,a.了不起的；令人敬畏的；极好的
07/51,enthusiastic,英[in.θju:zi'æstik],,a.热情的；热心的:狂热的
08/51,artificial,英[.ɑ:ti'fiʃәl],,a.人工的；人造的；矫揉造作的
09/51,flexible,英['fleksәbl],,a.柔韧的；易弯曲的；灵活的
10/51,commercial,英[kә'mә:ʃәl],,a.商业的；商务的n.商业广告
11/51,upper,英['ʌpә],,a.上面的；上部的；较高的
12/51,socialist,英['sәuʃәlist],,a.社会主义的n.社会主义者
13/51,corporate,英['kɒ:pәrit],,a.公司的；团体的；法人的
14/51,vital,英['vaitl],,a.至关重要的；生死攸关的；有活力的
15/51,grand,英[grænd],,a.宏伟的；盛大的
16/51,disappointed,英[.disә'pɒintid],,a.失望的；沮丧的
17/51,practical,英['præktikl],,a.实际的；实用的
18/51,virtual,英['vә:tʃuәl],,a.实际上的；事实上的；虚拟的
19/51,substantial,英[sәb'stænʃәl],,a.大量的；实质的；可观的
20/51,appropriate,英[ә'prәupriәt],,a.适当的；恰当的；合适的
21/51,familiar,英[fә'miljә],,a.热悉的；通晓的
22/51,digital,英['didʒitәl],,a.数字的；数码的
23/51,twin,英[twin],,a.双胞胎的n.（复）双胞胎
24/51,sour,英['sauә],,a.酸的；发酸的；酸痛的
25/51,subsequent,英['sʌbsikwәnt],,a.随后的；后来的；并发的
26/51,random,英['rændәm],,a.随机的，任意的n.随机
27/51,solar,英['sәulә],,a.太阳的；日光的
28/51,greedy,英['gri:di],,a.贪婪的；贪心的
29/51,frank,英[fræŋk],,a.坦白的；直率的
30/51,favourite,英['feivәrit],,a.最喜爱的n.特别喜爱的人（或物）
31/51,particular,英[pә'tikjulә],,a.特定的；特指的n.详情；细节
32/51,characteristic,英[.kærәktә'ristik],,a.典型的；特有的n.特征；特性
33/51,decent,英['di:sәnt],,a.像样的；正派的；得体的
34/51,identical,英[ai'dentikәl],,a.完全相同的；同一的；一致的
35/51,statistic,英[stә'tistik],,a.统计（学）的n.统计数值；统计学（statistics）
36/51,dizzy,英['dizi],,a.头晕目眩的；心不在焉的
37/51,outstanding,英[.aut'stændiŋ],,a.杰出的；突出的
38/51,external,英[ik'stә:nl],,a.外部的；外面的
39/51,overseas,英['әuvә'si:z],,a.外国的；海外的ad.在海外
40/51,royal,英['rɒiәl],,a.王室的；高贵的
41/51,unique,英[ju:'ni:k],,a.唯一的；独一无二的
42/51,raw,英[rɒ:],,a.生的；未加工过的
43/51,bitter,英['bitә],,a.味苦的；痛苦的；令人不快的
44/51,mild,英[maild],,a.温和的:轻微的；味淡的
45/51,literary,英['litәrәri],,a.文学的；精通文学的；书面的
46/51,rare,英[rєә],,a.稀有的；稀罕的
47/51,fond,英[fɒnd],,a.喜爱的；宠爱的
48/51,comic,英['kɒmik],,a.喜剧的；滑稽的n.连环漫画
49/51,dramatic,英[drә'mætik],,a.戏剧的；引人瞩目的；剧烈的
50/51,strait,英[streit],,a.狭窄的n.海峡；困境
51/51,fancy,英['fænsi],,a.想象的:花俏的n.&v.幻想
