seq,word,phonetic,exchange,trans,
01/51,narrow,英['nærәu],,a.狭窄的；狭隘的
02/51,previous,英['pri:viәs],,a.以前的；早先的；ad.在...以前
03/51,delicate,英['delikәt],,a.精美的；微妙的；娇弱的
04/51,vivid,英['vivid],,a.生动的；逼真的；鲜艳的
05/51,salty,英['sɒ:lti],,a.含盐的；咸味的
06/51,contemporary,英[kәn'tempәrәri],,a.当代的；同时代的
07/51,realistic,英[riә'listik],,a.现实的；实事求是的；逼真的
08/51,rural,英['ruәrәl],,a.乡下的；农村的；田园的
09/51,contrary,英['kɒntrәri],,a.相反的；对立的n.相反；反面
10/51,backward,英['bækwәd],,a.向后的；后退的；落后的ad.向后
11/51,academic,英[.ækә'demik],,a.学院的；学术的
12/51,severe,英[si'viә],,a.严重的；严厉的；激烈的
13/51,distant,英['distәnt],,a.远的；久远的；疏远的
14/51,remote,英[ri'mәut],,a.遥远的；偏僻的n.遥控
15/51,former,英['fɒ:mә],,a.以前的；前者的n.前者
16/51,responsible,英[ri'spɒnsәbl],,a.负责的；有责任的；可靠的
17/51,permanent,英['pә:mәnәnt],,a.永久的；持久的
18/51,superior,英[sju:'piәriә],,a.上级的；优秀的n.上级；长者
19/51,prior,英['praiә],,a.优先的ad.在前地
20/51,elegant,英['eligәnt],,a.优雅的；端庄的
21/51,ambitious,英[æm'biʃәs],,a.有抱负的；有野心的
22/51,capable,英['keipәbl],,a.有能力的；胜任的
23/51,creative,英[kri:'eitiv],,a.创造性的；创新的
24/51,relevant,英['relivәnt],,a.相关的；切题的
25/51,regular,英['regjulә],,a.&ad.定期的(地)；有规律的(地)
26/51,historic,英[hi'stɒrik],,a.历史性的；有历史意义的
27/51,gifted,英['giftid],,a.有天赋的；有才华的
28/51,foggy,英['fɒgi],,a.有雾的；模糊的
29/51,limited,英['limitid],,a.有限的；被限制的
30/51,efficient,英[i'fiʃәnt],,a.有效率的；有能力的
31/51,significant,英[sig'nifikәnt],,a.有意义的；重大的；重要的
32/51,influential,英[.infu'enʃәl],,a.有影响的；有势力的
33/51,guilty,英['gilti],,a.有罪的；内疚的
34/51,primitive,英['primitiv],,a.原始的；远古的
35/51,lunar,英['lu:nә],,a.月球的；农历的
36/51,temporary,英['tempәrәri],,a.暂时的；临时的
37/51,precious,英['preʃәs],,a.珍贵的；宝贵的
38/51,genuine,英['dʒenjuin],,a.真实的；真正的:真诚的
39/51,neat,英[ni:t],,a.整洁的；整齐的；灵巧的
40/51,normal,英['nɒ:ml],,a.正常的；一般的n.常态
41/51,accurate,英['ækjurәt],,a.准确的；精准的
42/51,formal,英['fɒ:mәl],,a.官方的；正式的；正规的
43/51,straightforward,英[streit'fɒ:wәd],,a.简单的；坦率的ad.直截了当地
44/51,political,英[pә'litikl],,a.政治的；政党的
45/51,aware,英[ә'wєә],,a.意识到的；知道的
46/51,worthy,英['wə:ði],,a.值得的；有价值的
47/51,remarkable,英[ri'mɑ:kәbl],,a.卓越的；非凡的；举世瞩目的
48/51,worthwhile,英['wә:θ'hwail],,a.值得做的；合算的
49/51,professional,英[prә'feʃәnl],,a.职业的；专门的n.专家
50/51,botanical,英[bә'tænikәl],,a.植物学的，植物的
51/51,crucial,英['kru:ʃәl],,a.至关重要的；决定性的
