seq,word,phonetic,exchange,trans,
01/50,racial,英['reiʃәl],,a.人种的；种族的
02/50,subjective,英[sәb'dʒektiv],,a.主观的；主语的
03/50,objective,英[әb'dʒektiv],,a.客观的n.目的，目标
04/50,major,英['meidʒә],,a.重大的；主要的n.专业；主修科目
05/50,chief,英[tʃi:f],,a.首要的；首席的n.首领
06/50,patent,英['pætnt. 'peitnt],,a.专利的n.专利v.获得专利
07/50,splendid,英['spendid],,a.壮丽的；辉煌的；极好的
08/50,automatic,英[.ɒ:tә'mætik],,a.自动的；机械的；无意识的
09/50,autonomous,英[ɒ:'tɒnәmәs],,a.自治的
10/50,sufficient,英[sә'fiʃәnt],,a.足够的；充分的
11/50,initial,英[i'niʃәl],,a.最初的；初始的n.首字母
12/50,original,英[ә'ridʒәnl],,a.原始的；最初的n.原件
13/50,folk,英[fәuk],,a.民间的；民族的n.人们
14/50,outgoing,英['autgәuiŋ],,a.外向的；向外的
15/50,male,英['mæli],,a.男性的；雄性的n.男人
16/50,female,英['fi:meil],,a.女性的；雌性的n.女人
17/50,communist,英['kɒmjunist],,a.共产主义的；n.共产党员
18/50,surrounding,英[sә'raundiŋ],,a.周围的；附近的
19/50,average,英['ævәridʒ],,a.平均的；普通的n.平均数
20/50,current,英['kʌrәnt],,a.当前的；流通的n.(河、电)流
21/50,detective,英[di'tektiv],,a.侦探的n.侦探
22/50,apparently,英[ә'pærәntli],,ad.表面上；显然地
23/50,further,英['fә:ðә],,ad.&a.更远的(地)v.促进；增进
24/50,aboard,英[ә'bɒ:d],,ad.&prep.在(火车、飞机、轮船)上
25/50,anyhow,英['enihau],,ad.总之；无论如何；不论怎样
26/50,sometimes,英['sʌmtaimz],,ad.有时；时而
27/50,barely,英['bєәli],,ad.仅仅；几乎没有
28/50,hence,英[hens],,ad.因此；所以；从此
29/50,apart,英[ә'pɑ:t],,ad.相隔；分散地a.分离的
30/50,extremely,英[ik'stri:mli],,ad.极其；非常
31/50,mostly,英['mәustli],,ad.几乎•全部地；主要地；大部分
32/50,merely,英['miәli],,ad.仅仅；只不过
33/50,precisely,英[pri'saisli],,ad.精确地；正好；恰恰
34/50,absolutely,英['æbsәlu:tli],,ad.绝对地；完全地；肯定地
35/50,immediately,英[i'mi:diәtli],,ad.立即；直接地conj.一...就
36/50,otherwise,英['ʌðәwaiz],,ad.否则；要不然；除此以外
37/50,obviously,英['ɔbviәsli],,ad.明显地；显然地
38/50,frequently,英['fri:kwәntli],,ad.频繁地；时常
39/50,indeed,英[in'di:d],,ad.确实；真正地
40/50,nowhere,英['nәuhwєә],,ad.任何地方都不；没有地方
41/50,thus,英[ðʌs],,ad.如此；因此；从而
42/50,slightly,英['slaitli],,ad.稍微；略微
43/50,actually,英['æktʃuәli],,ad.实际上；事实上
44/50,altogether,英[.ɒ:ltә'geðә],,ad.全部地；总共；总而言之
45/50,entirely,英[in'taiәli],,ad.完整地；彻底地
46/50,nowadays,英['nauәdeiz],,ad如今；现在
47/50,rather,英['ræðә],,ad.相当；宁愿；不如说
48/50,forward,英['fɒ:wәd],,ad.向前a.向前的v.转发
49/50,fortunately,英['fɒitʃәnitli],,ad.幸运地；幸亏
50/50,definitely,英['definitli],,ad.肯定地；明确地
