seq,word,phonetic,exchange,trans,
01/50,afterward,英['ɑ:ftәwәd],,ad.以后；后来
02/50,afterwards,英['ɑ:ftәwәdz],,ad.以后；后来
03/50,somehow,英['sʌmhau],,ad.用某种方法；不知怎么地
04/50,therefore,英['ðєәfɒ:],,ad.因此；所以
05/50,forever,英[fә'revә],,ad.永远；总是
06/50,due to,英[djuː tu],,ad.由于；应归于
07/50,elsewhere,英['elshwєә],,ad.在别处；到别处
08/50,downtown,英['daun'taun],,ad.在市区ad.市中心的
09/50,downstairs,英['daun'stєәz],,ad.在楼下；往楼下a.楼下的
10/50,aside,英[ә'said],,ad.在旁边；沿着边prep.在..旁边
11/50,alongside,英[ә'lɒŋ'said],,ad.在旁边；沿着边prep.与..并肩
12/50,ahead,英[ә'hed],,ad.在前面；向前；提前a.前面的
13/50,literally,英['litәrәli],,ad.毫不夸张地；逐字地；照字面意义
14/50,sincerely,英[sin'siәli],,ad.真诚的；真挚的
15/50,eventually,英[i'ventʃuәli],,ad.终于；最后
16/50,gradually,英['grædʒuәli],,ad.逐渐地；渐渐地
17/50,ultimately,英['ʌltimәtli],,ad.最终；最后
18/50,moreover,英[mɒ:'әuvә],,ad.而且；另外；此外
19/50,nevertheless,英[.nevәðә'les],,ad.&conj.然而；不过
20/50,throughout,英[θru:'aut],,prep.遍及；贯穿ad.到处
21/50,despite,英[di'spait],,prep.尽管；不管
22/50,plus,英[plʌs],,prep.力口上a.正的；附加的n.加号
23/50,per,英[po(r)]美[p»],,prep.每，每(一个),notfixed
24/50,beyond,英[bi'jɒnd],,prep.远于；超出ad.在更远处
25/50,within,英[wi'ðin],,prep.在....之内ad.在内部
26/50,onto,英['ɔntәj],,prep.到..之上；移向(某处)
27/50,beneath,英[bi'ni:θ],,prep.在...下边ad.在下方
28/50,somewhat,英['sʌmhwɒt],,pron.&ad.有点；稍微；颇有几分
29/50,yourself,英[juә'self],,pron.[反身代词]你自己；你亲自
30/50,goodbye,英[gud'bai],,(bye)int.再见n.说再见
31/50,Mrs,英['mɪsɪz],,abbr.(已婚)太太；夫人
32/50,PE,英[pei],(physical education),abbr.体育课；体能训练
33/50,Ms,英[miz],,abbr.(不明婚否)女士
34/50,Mr,英['mistә(r)],,abbr.先生
35/50,BC,英[ˌbiː ˈsiː],,(Before Christ)公元前
36/50,a.m.,英[ˌeɪ ˈem],,上午；午前
37/50,p.m.,英[ˌpi: ˈem],,下午，午后
38/50,tip,英[tip],,n.尖端；小费；小窍门
39/50,lecture,英['lektʃә],,n.&v.演讲；讲课
40/50,bounce,英[bauns],,n.弹力v.弹跳
41/50,cancer,英['kænsә],,n.癌症
42/50,arrangement,英[ә'reindʒmәnt],,n.安排；布置；整理
43/50,security,英[si'kjuriti],,n.安全；证券；保安
44/50,setting,英['setiŋ],,n.设置；环境；背景
45/50,ballet,英['bælei],,n.芭蕾舞；芭蕾舞剧
46/50,percentage,英[pә'sentidʒ],,n.百分率；百分比
47/50,percent,英[pә'sent],,n.百分数；百分之
48/50,spot,英[spɒt],,n.斑点；小疙瘩v.发现
49/50,version,英['vә:ʒәn],,n.版本；译本；说法
50/50,conflict,英['kɒnflikt],,n.&v.冲突；争论；斗争
