seq,word,phonetic,exchange,trans,
01/50,wire,英['waiә],,D.金属丝；电线；电报v.接通
02/50,sculpture,英['skʌlptʃә],,n.雕刻；雕塑
03/50,definition,英[.defi'niʃәn],,n.定义；释义；清晰度
04/50,motive,英['mәutiv],,n.动机；原因a.发动的
05/50,insight,英['insait],,n.洞察力；见识
06/50,cave,英[keiv],,n.洞穴
07/50,poison,英['pɒizn],,n.毒药（物）.毒害；污染
08/50,sock,英[sɒk],,n.短袜，袜子
09/50,phrase,英[freiz],,n.短语；习语
10/50,paragraph,英['pærәgrɑ:f],,n.段落；小新闻；短评
11/50,contrast,英[kәn'træst],,n.对比；反差v.对比；对照
12/50,opponent,英[ә'pәunәnt],,n.对手，竞争者；反对者
13/50,alternative,英[ɒ:l'tә:nәtiv],,n.替代品；另类a.供选择的；替代的
14/50,motor,英['mәutә],,n.发动机；汽车
15/50,engine,英['endʒin],,n.发动机；引擎
16/50,finding,英['faindiŋ],,n.发现；调查结果
17/50,court,英[kɒ:t],,n.法院，法庭；球场
18/50,reaction,英[ri'ækʃәn],,n.反应；反作用；化学反应
19/50,range,英['reindʒ],,n.范围v.（在一定范围）变动；包括
20/50,means,英[mi:nz],,n.方法；手段
21/50,manner,英['mænә],,n.方式；举止；规矩
22/50,mode,英[mәud],,n.方式；式样
23/50,defence,英[di'fens],(defense),n.防御，防卫；辩护
24/50,estate,英[i'steit],,n.房地产；财产
25/50,apartment,英[ә'pɑ:tmәnt],,n.（美）公寓；房间
26/50,room,英[ru:m],,n.房间；空间；余地
27/50,flight,英[flait],,n.航班；飞行
28/50,soap,英[sәup],,n.肥皂
29/50,lung,英[lʌŋ],,n.肺，肺脏
30/50,distribution,英[.distrә'bju:ʃәn],,n.分布；分发；分配
31/50,division,英[di'viʒәn],,n.分割；部门；(数)除法
32/50,boundary,英['baundri],,n.分界线；范围；边界
33/50,anger,英['æŋgә],,n.愤怒v.激怒；发怒
34/50,style,英[stail],,n.风格；样式
35/50,landscape,英['lændskeip],,n.风景；景色；景观
36/50,madam,英['mædәm],,n.夫人；太太
37/50,costume,英['kɒstju:m],,n.服饰；戏服
38/50,symbol,英['simbl],,n.符号；标志；象征
39/50,radiation,英[.reidi'eiʃәn],,n.辐射；发光；放射物
40/50,welfare,英['welfєә],,n.福利；幸福
41/50,concept,英['kɒnsept],,n.概念；观念；理念
42/50,rugby,英['rʌ^bi],,n.英式橄榄球
43/50,cheese,英[tʃi:z],,n.干酪；奶酪
44/50,steel,英[sti:l],,n.钢；钢铁
45/50,piano,英[pi'ɑ:nәu],,n.钢琴
46/50,port,英[pɒ:t],,n.港口
47/50,golf,英[gɒlf],,n.高尔夫球
48/50,lamb,英[læm],,n.羔羊；羔羊肉
49/50,account,英[ә'kaunt],,n.账户；账目v.解释
50/50,panic,英['pænik],,n.恐慌，惊恐a.恐慌的
