seq,word,phonetic,exchange,trans,
01/50,opera,英['ɒpәrә],,n.歌剧；歌剧院
02/50,wage,英[weidʒ],,n.工资；周薪
03/50,institution,英[.insti'tju:ʃәn],,n.机构；制度；协会
04/50,citizen,英['sitizn],,n.公民；市民；居民
05/50,company,英['kʌmpәni],,n.公司；陪伴
06/50,document,英['dɒkjumәnt],,n.文件；文档v.记录
07/50,AD,英[æd;әd;id],,abbr.公元(AnnoDomini)
08/50,justice,英['dʒʌstis],,n.正义；公平；审判
09/50,function,英['fʌŋkʃәn],,n.功能；（数）函数v.运转
10/50,arch,英[ɑːtʃ],,n.拱形；拱门v.拱起
11/50,republic,英[ri'pʌblik],,n.共和国；共和制
12/50,contribution,英[.kɒntri'bju:ʃәn],,n.贡献；捐赠；出资
13/50,constitution,英[.kɒnsti'tju:ʃәn],,n.宪法；体制；章程
14/50,grain,英[grein],,n.粮食；谷物；颗粒
15/50,bone,英[bәun],,n.骨头，骨骼
16/50,tale,英[teil],,n.故事；传说；童话
17/50,anxiety,英[æŋ'zaiәti],,n.焦虑，担心；渴望
18/50,official,英[ә'fiʃәl],,n.官员a.官方的，正式的
19/50,tube,英[tju:b],,n.管道；地铁；电视
20/50,pipe,英[paip],,n.管子；烟斗；笛子
21/50,champion,英['tʃæmpiәn],,n.冠军；捍卫者
22/50,pot,[pɒt],,n.锅；罐；壶
23/50,tank,英[tæŋk],,n.罐；坦克
24/50,honour,英['ɒnә],(honor),n.光荣；荣誉v.感到荣幸；表扬
25/50,ray,英[rei],,n.光线；射线
26/50,extent,英[ik'stent],(ad),n.程度；范围；广度
27/50,advertisement,英[.ædvә'taizmәnt],,n.广告，宣传
28/50,orbit,英['ɒ:bit],,n.轨道；眼眶v.沿轨道绕行
29/50,trick,英[trik],,n.诡计；圈套v.欺骗
30/50,nationality,英[.næʃә'nælәti],,n.国籍；民族
31/50,frontier,英['frʌntjә],,n.边境；国境；前沿
32/50,core,英［kɔː(r)］,,n.核心；中心；果核
33/50,process,英['prɒses],,n.过程；工序v.加工
34/50,fault,英[fɒ:lt],,n.过失；缺点
35/50,shore,英[ʃɒ:],,n.岸，海岸
36/50,navy,英['neivi],,n.海军；卫星导航系统
37/50,dolphin,英['dɒlfin],,n.海豚
38/50,bay,英[bei],,n.海湾；港湾
39/50,channel,英['tʃænәl],,n.频道；海峡
40/50,ocean,英['әuʃәn],,n.海洋
41/50,sweat,英[swet],,n.汗v.出汗
42/50,drought,英[draut],,n.干旱；旱灾
43/50,behaviour,英[bi'heivjә],,n.行为；性能
44/50,airline,英['єәlain],,n.航空公司；航线a.航线的
45/50,millimetre,英['milimi:tә],(millimeter),n.毫米
46/50,favour,英['feivә],(fovor),n.支持；宠爱v.赞成；有利于
47/50,chorus,英['kɒ:rәs],,n.合唱队v.合唱
48/50,contract,英['kɒntrækt],,n.合同；契约v.订合同
49/50,partner,英['pɑ:tnә],,n.合伙人；伙伴；情侣
50/50,jaw,英[dʒɒ:],,n.下巴；下颌；颗
