seq,word,phonetic,exchange,trans,
01/50,flood,英[flʌd],,n.洪水v.发洪水；涌进(出)
02/50,candidate,英['kændideit],,n.候选人，申请者；报考者
03/50,breath,英[breθ],,n.呼吸；气息；一口气
04/50,fox,英[fɒks],,n.狐狸
05/50,pepper,英['pepә],,n.胡椒；胡椒粉；辣椒
06/50,beard,英[biәd],,n.胡须；络腮胡
07/50,expense,英[ik'spens],,n.费用，花销；开支
08/50,vase,英[veis],,n.花瓶；瓶子
09/50,chemist,英['kemist],,n.化学家；药剂师；药店
10/50,studio,英['stju:diәu],,n.录音(像)室；工作室；摄影棚
11/50,topic,英['tɒpik],,n.话题；题目；论题
12/50,joy,英[dʒɒi],,n.欢乐；乐趣；乐事
13/50,circuit,英['sә:kit],,n.电路；巡回；赛车场
14/50,fantasy,英['fæntәsi],,n.幻想；奇幻；白日梦
15/50,emperor,英['empәrә],,n.皇帝；君主
16/50,butter,英['bʌtә],,n.黄油；牛油v.涂黄油于
17/50,dust,英[dʌst],,n.灰尘；尘土v.去除灰尘
18/50,response,英[ri'spɒns],,n.回答；回应；响应
19/50,conference,英['kɒnfәrәns],,n.会议；讨论会；商讨会
20/50,session,英['seʃәn],,n.一场(活动)；会期；学期
21/50,membership,英['membәʃip],,n.会员资格
22/50,wedding,英['wediŋ],,n.婚礼；结婚
23/50,mixture,英['mikstʃә],,n.混合；混合物
24/50,chaos,英['keiɒs],,n.混乱；紊乱
25/50,energy,英['enәdʒi],,n.活力；能量
26/50,turkey,英['tә:ki],,n.火鸡
27/50,rocket,英['rɒkit],,n.火箭v.迅速上升，猛涨
28/50,volcano,英[vɒl'keinәu],,n.火山
29/50,ham,英[hæm],,n.火腿
30/50,goods,英[guds],,n.货物；商品
31/50,opportunity,英[.ɒpә'tju:niti],,n.机会；机遇
32/50,muscle,英['mʌsl],,n.肌肉；体力；力量
33/50,basis,英['beisis],,n.基础；根据；底部
34/50,foundation,英[faun'deiʃәn],,n.基础，地基；基金会；创建
35/50,rating,英['reitiŋ],,n.等级；级别
36/50,disease,英[di'zi:z],,n・病；疾病
37/50,dormitory,英['dɒ:mitәri],,n.宿舍；集体宿舍
38/50,geometry,英[dʒi'ɒmәtri],,n.几何；几何形状
39/50,recording,英[ri'kɒ:diŋ],,n.录音；录制；记录
40/50,memory,英['memәri],,n.记忆；回忆；内存
41/50,journalist,英['dʒә:nәlist],,n.记者；新闻工作者
42/50,discipline,英['disiplin],,n.纪律；学科v.训练
43/50,mechanic,英[mi'kænik],,n.机械师；技工
44/50,technique,英[tek'ni:k],,n.技术；技巧；方法
45/50,addition,英[ә'diʃәn],,n.增加，添加；加法
46/50,fellow,英['felәu],,n.家伙；同辈a.同伴的
47/50,guy,英[gai],,n.家伙；男人
48/50,furniture,英['fәnitʃә],,n.家具；装置
49/50,household,英['haushәuld],,n.家庭，住户a.家庭的；日常的
50/50,assumption,英[ә'sʌmpʃәn],,n.假定；承担
