seq,word,phonetic,exchange,trans,
01/50,stair,英[stєә],,n.楼梯；阶梯
02/50,deer,英[diә],,n.鹿
03/50,route,英[ru:t],,n.路线；航线；路径
04/50,outline,英['autlain],,n.大纲；轮廓v.概述
05/50,camel,英['kæml],,n.骆驼
06/50,performance,英[pә'fɒ:mәns],,n.表演；表现；执行
07/50,lawyer,英['lɒ:jә],,n.律师；法学家
08/50,marathon,英['mærәθәn],,n.马拉松赛跑
09/50,circus,英['sә:kәs],,n.马戏团；杂技团
10/50,satisfaction,英[.sætis'fækʃәn],,n.满足；满意
11/50,towel,英['tauәl],,n.毛巾；手巾
12/50,blanket,英['blæŋkit],,n.毛毯；毯子v.覆盖
13/50,adventure,英[әd'ventʃә],,n.冒险；奇遇
14/50,medium,英['mi:diәm],,a.中等的n.媒介；方法
15/50,beauty,英['bju:ti],,n.美；美丽；美人
16/50,violence,英['vaiәlәns],,n.暴力，暴行；激烈
17/50,riddle,英['ridl],,n.谜；谜语
18/50,metre,英['mi:tә],,n.米；公尺
19/50,plot,英[plɒt],,n.情节；阴谋v.密谋；绘制
20/50,honey,英['hʌni],,n.蜂蜜a.亲爱的
21/50,cotton,英['kɒtn],,n.棉花；棉布；棉制品
22/50,panel,英['pænl],,n.面板；控制板；专家组
23/50,bakery,英['beikәri],,n.面包房；烘焙
24/50,flour,英['flauә],,n.面粉
25/50,cheek,英[tʃi:k],,n.面颊；脸蛋
26/50,description,英[di'skripʃәn],,n.描写；形容
27/50,temple,英[templ],,n.庙宇，寺院；太阳穴
28/50,extinction,英[ik'stiŋkʃәn],,n.灭绝；消亡
29/50,nation,英['neiʃәn],,n.民族；国家
30/50,celebrity,英[si'lebrti],,n.名人；名流；名声
31/50,reputation,英[.repju'teiʃәn],,n.名誉；名声；声望
32/50,evidence,英['evidәns],,n.证据；迹象v.证明
33/50,pattern,英['pætәn],,n.模式；花样；模型v.构成图案
34/50,friction,英['frikʃәn],,n.磨擦；不和；争执
35/50,mushroom,英['mʌʃrum],,n.蘑菇v.迅速生长；采蘑菇
36/50,target,英['tɑ:git],,n.目标；对象；靶子
37/50,goal,英[gәul],,n.目标；球门；射门
38/50,destination,英[.desti'neiʃәn],,n.目的地；终点
39/50,witness,英['witnis],,n.目击者；证人v.目击
40/50,bath,英[bæθ.bɑ:θ],,n.沐浴；浴室v.洗澡
41/50,patience,英['peiʃәns],,n.耐心；忍耐
42/50,physician,英[fi'ziʃәn],,n.内科医生
43/50,competence,英['kɒmpitәns],,n.能力；胜任；权限
44/50,mud,英[mʌd],,n.泥浆v.弄脏
45/50,soil,英[sɒil],,n.泥土；土壤v.弄脏
46/50,cattle,英[kætl],,n.牛；牲口；家畜
47/50,steak,英[steik],,n.牛排；肉排
48/50,jeans,英[dʒi:nz],,n.牛仔裤
59/50,button,英['bʌtәn],,n.按钮；纽扣v.扣紧
50/50,agriculture,英['ægrikʌltʃә],,n.农业；农耕；农学
