seq,word,phonetic,exchange,trans,
01/52,league,英[li:g],,n.联赛；联盟V.结盟
02/52,sympathy,英['simpәθi],,n.同情，关心；同感
03/52,theft,英[θeft],,n.偷窃；盗窃罪
04/52,vote,英[vәut],,n.选票v.投票；表决
05/52,investment,英[in'vestmәnt],,n.投资；投入
06/52,chart,英[tʃɑːt],,n.(统计)图表v.制定计划；绘图表
07/52,diagram,英['daiәɡræm],,n.图表；示意图
08/52,librarian,英[lai'brєәriәn],,n.图书管理员；图书馆长
09/52,butcher,英['butʃә],,n.屠夫，肉贩v.屠杀
10/52,commitment,英[kә'mitmәnt],,n.信奉；承诺；投身；献身
11/52,frog,英[frɒg],,n.青蛙
12/52,surgery,英['sә:dʒәri],,n.外科；手术；手术室
13/52,surgeon,英['sә:dʒәn],,n.外科医生
14/52,wrist,英[rist],,n.手腕；腕关节
15/52,dynasty,英['dainæsti],,n.王朝；朝代
16/52,kingdom,英['kiŋdәm],,n.王国；领域
17/52,net,英[net],,n.网V.用网捕a.净得的
18/52,network,英['netwә:k],,n.网络；广播网
19/52,telescope,英['teliskәup],,n.望远镜v.缩短
20/52,crisis,英['kraisis],,n.危机；紧要关头；存亡之际
21/52,committee,英[kә'miti],,n.委员会；全体委员
22/52,satellite,英['sætlait],,n.卫星；卫星城；外围机构
23/52,site,英[sait],,n.位置；场所；地点
24/52,location,英[lәu'keiʃәn],,n.定位；位置；场所
25/52,position,英[pә'ziʃәn],,n.位置；职位；姿势
26/52,greenhouse,英['gri:nhaus],,n.温室；温室效应
27/52,civilisation,英[sivilai'zeiʃən;-li'z-],(civilization),n.文明
28/52,literature,英['litәrәtʃә],,n.文学；文献
29/52,essay,英['esei. e'sei],,n.论文；文章；短文
30/52,mosquito,英[mә'ski:tәu],,n.蚊子
31/52,stability,英[stә'biliti],,n.稳定；安定
32/52,issue,英['isju],,n.问题；争端V.发行；发表
33/52,nest,英[nest],,n.巢；安乐窝V.筑巢
34/52,roof,英[ru:f],,n.顶；屋顶
35/52,disability,英[disә'biliti],,n.无能；残疾
36/52,Wi-Fi,英[waifai],,n.无线网
37/52,clone,英[klәun],,n.克隆；无性繁殖；复制品v.克隆
38/52,midnight,英['midnait],,n.午夜；子夜
39/52,weapon,英['wepәn],,n.武器；兵器
40/52,stage,英[steidʒ],,n.舞台；戏剧；阶段
41/52,substance,英[ˈsʌbstəns],,n.物质；实质；内容
42/52,species,英['spi:ʃiz],,n.物种；种类
43/52,victim,英['viktim],,n.牺牲品；受害人
44/52,laptop,英[ˈlæptɒp],,n.笔记本电脑
45/52,custom,英['kʌstәm],,n.习惯；风俗；海关a.定制的
46/52,idiom,英['idiәm],,n.习语；成语；土话
47/52,washroom,英['wɒʃrum],,n.洗手间；厕所
48/52,comedy,英['kɒmidi],,n.喜剧；喜剧片
49/52,theatre,英[ˈθɪətə(r)],,n.戏院；剧院；电影院
50/52,system,英[ˈsɪstəm],,n.系统；制度；方法
51/52,cell,英[sel],,n.细胞；小房间；电池
52/52,detail,英['di:teil],,n.细节；详情v.详述
