seq,word,phonetic,exchange,trans,
01/51,priority,英[prai'ɒriti],,n.优先；优先考虑；当务之急
02/51,pioneer,英[.paiә'niә],,n.先锋；开拓者v.开辟
03/51,fibre,英['faibә],(fiber),n.纤维；纤维组织
04/51,string,英[striŋ],,n.细绳；字符串v.悬挂
05/51,bacon,英['beikәn],,n.培根；熏肉
06/51,microscope,英['maikrәuskәup],,n.显微镜
07/51,cash,英[kæʃ],,n.现金v.兑现；支付现款
08/51,reality,英[ri'æliti],,n.现实；真实；事实
09/51,phenomenon,英[fi'nɒminәn],,n.现象；非凡的人
10/51,clue,英[klu:],,n.线索，暗示
11/51,trap,英[træp],,n.圈套，陷阱v.设陷阱捕捉
12/51,interaction,英[.intәr'ækʃәn],,n.相互作用；互动；交互
13/51,sausage,英['sɒsidʒ],,n.香肠；腊肠
14/51,cigarette,英[.sigә'ret],,n.香烟；纸烟
15/51,case,英[keis],,n.案例；情况；案件
16/51,rubber,英['rʌbә],,n.橡皮；橡胶；橡胶制品
17/51,consumption,英[kәn'sʌmpʃәn],,n.消费；消耗
18/51,brochure,英['brәuʃә],,n.手册
19/51,stream,英[stri:m],,n.小河；溪流v.流出
20/51,pub,英[pʌb],,n.小酒馆；酒吧
21/51,path,英[pɑːθ],,n.小路；路线
22/51,wheat,英[hwi:t],,n.小麦
23/51,novel,英['nɒvl],,n.小说a.新奇的
24/51,novelist,英['nɒvәlist],,n.小说家
25/51,campus,英['kæmpәs],,n.校园；校区
26/51,harmony,英['hɑ:mәni],,n.和谐；融洽；和声
27/51,psychology,英[sai'kɒlәdʒi],,n.心理(学)；心理状态
28/51,mood,英[mu:d],,n.心情；语气；情绪
29/51,bride,英[braid],,n.新娘(bridegroom新郎)
30/51,coverage,英['kʌvәridʒ],,n.新闻报道；覆盖范围
31/51,salary,英['sælәri],,n.薪水；工资
32/51,envelope,英['envәlәup],,n.信封；封套
33/51,signal,英['signl],,n.信号；暗号V.发信号
34/51,belief,英[bi'li:f],,n.信念；信任；信仰
35/51,confidence,英['kɒnfidәns],,n.信心；信任；自信
36/51,faith,英[feiθ],,n.信仰；信任；真诚
37/51,image,英['imidʒ],,n.(脑海里的)形象；影像v.想像
38/51,type,英[taip],,n.类型；样式v.打字
39/51,gender,英['dʒendә],,n.性别
40/51,sex,英[seks],,n.性；性别
41/51,character,英['kærәktә],,n.性格；角色；字符
42/51,breast,英[brest],,n.乳房，胸部
43/51,chest,英[tʃest],,n.胸膛；衣柜；箱子
44/51,fiction,英['fikʃәn],,n.虚构；小说
45/51,license,英['laisns],,n.许可证；执照
46/51,election,英[i'lekʃәn],,n.选举；当选
47/51,option,英['ɒpʃәn],,n.选择；选项；期权
48/51,boot,英[bu:t],,n.靴子v.(启动)计算机
49/51,fee,英[fi:],,n.费用；报酬；服务费
50/51,institute,英['institju:t],,n.学院；机构；v.创立
51/51,trial,英['traiәl],,n.审判；实验；审讯a.实验的
