seq,word,phonetic,exchange,trans,
01/49,centre,英['sentә],(center),n.中心v.集中；以…为中心
02/49,category,英['kætigәri］,,n.种类:范畴
03/49,sort,英[sɒ:t],,n.种类；排序V.分类:整理
04/49,variety,英[vә'raiәti],,n.变化；多样；品种
05/49,seed,英[si:d],,n.种子；起源v.播种
06/49,gravity,英['græviti],,n.重力:引力；重心
07/49,pork,英[pɒ:k],,n.猪肉
08/49,host,英[hәust],,n.主人；节目主持人V.主办
09/49,chairman,英['tʃєәmәn],,n.主席；会长；董事长
10/49,housing,英['hausiŋ],,n.住房；外壳
11/49,accommodation,英[ә.kɒmә'deiʃәn],,n.住宿；食宿；和解
12/49,pole,英[pәul],,n.极点:电极
13/49,congratulation,英[kәn.grætʃә'leiʃәn],,n.祝贺；贺辞
14/49,specialist,英['speiʃәlist],,n.专家；专科医生
15/49,expert,英['ekspә:t],,n.专家；内行a.内行的
16/49,consultation,英[.kɒnsәl'teiʃәn],,n.商讨；咨询会；会诊
17/49,brick,英[brik],,n.砖；砖块
18/49,dignity,英['digniti],,n.尊严；尊贵
19/49,device,英[di'vais],,n.设备；装置；手段
20/49,tension,英['tenʃәn],,n.紧张；张力V.拉紧
21/49,pose,英[pәuz],,n.姿势v.造成；摆姿势
22/49,qualification,英[.kwɒlifi'keiʃәn],,n.资格，资格赛；条件；合格证
23/49,fund,英[fʌnd],,n.基金（会），专款v.提供资助
24/49,resource,英[ri'sɒ:s],,n.资源；财力
25/49,flavour,英['fleivә],(flavor),n.滋味；风味；风情
26/49,cycle,英['saikl],,n.循环:周期v.骑自行车
27/49,liberty,英['libәli],,n.自由；许可
28/49,freedom,英['fri:dәm],,n.自由；自主
29/49,buffet,英['bʌfit],,n.自助餐
30/49,cafeteria,英[.kæfi'tiәriә],,n.自助餐厅；食堂
31/49,sum,英［sʌm],,n.总数；总和v.总结；概括
32/49,amount,英[ә'maunt],,n.数量；金额v.共计；等于
33/49,ankle,英['æŋkl],,n.足踝；踝关节
34/49,soccer,英['sɒkә],,n.足球
35/49,jam,英[dʒæm],,n.果酱；拥挤；困境v.阻塞
36/49,component,英[kәm'pәunәnt],,n.组成部分；成分a.组成的
37/49,organisation,英[.ɒ:gәnai'zeiʃәn],(organization),n.组织；团体；机构
38/49,ancestor,英['ænsestә],,n.祖宗；祖先
39/49,diamond,英['daiәmәnd],,n.钻石；菱形
40/49,maximum,英['mæksimәn],,n.最大值a.最大的
41/49,deadline,英['dedlain],,n.最后期限；截止期限
42/49,minimum,英['minimәm],,n.最小值a.最小的
43/49,crime,英[kraim],,n.罪行；犯罪
44/49,composition,英[kɒmpә'ziʃәn],,n.成分；作文；组成；作曲
45/49,crop,英[krɒp],,n.庄稼；收成v.种庄稼；收成
46/49,author,英['ɒ:θә],,n.作者；作家
47/49,poster,英['pәustә],,n.海报；公告
48/49,billion,英['biljәn],,num.&n.1亿a.十亿的
49/49,million,英['miljәn],,num.&n.百万a.百万的
