id,level,subject,mchoice,ans,eword,title,opa,opb,opc,opd,desc,options,sql,members
qitm:p04000,primary,en,N,D,too,too,pron.她,pron.你的；你们的,pron.他们；人们,ad.也；太；非常,英[tu:] ,"[{""k"":""A"", ""v"":""pron.她""},{""k"":""B"",""v"":""pron.你的；你们的""},{""k"":""C"",""v"":""pron.他们；人们""},{""k"":""D"",""v"":""ad.也；太；非常""}]","('qitm:p04000','primary','en','N','D','too','too','英[tu:] ','[{""k"":""A"", ""v"":""pron.她""},{""k"":""B"",""v"":""pron.你的；你们的""},{""k"":""C"",""v"":""pron.他们；人们""},{""k"":""D"",""v"":""ad.也；太；非常""}]'),","('qitm:p04000','MEMBER','quiz:p04','{}'),"
qitm:p04001,primary,en,N,D,also,also,ad.再一次；再,ad.总是；永远,pron.他（宾格）,ad.也conj.另外,英[''ɒ:lsәu] ,"[{""k"":""A"", ""v"":""ad.再一次；再""},{""k"":""B"",""v"":""ad.总是；永远""},{""k"":""C"",""v"":""pron.他（宾格）""},{""k"":""D"",""v"":""ad.也conj.另外""}]","('qitm:p04001','primary','en','N','D','also','also','英[''ɒ:lsәu] ','[{""k"":""A"", ""v"":""ad.再一次；再""},{""k"":""B"",""v"":""ad.总是；永远""},{""k"":""C"",""v"":""pron.他（宾格）""},{""k"":""D"",""v"":""ad.也conj.另外""}]'),","('qitm:p04001','MEMBER','quiz:p04','{}'),"
qitm:p04002,primary,en,N,A,sometimes,sometimes,ad.有时,n.冰,n.臂，手臂,prep.沿....而下ad.向下,英[''sʌmtaimz] (at times),"[{""k"":""A"", ""v"":""ad.有时""},{""k"":""B"",""v"":""n.冰""},{""k"":""C"",""v"":""n.臂，手臂""},{""k"":""D"",""v"":""prep.沿....而下ad.向下""}]","('qitm:p04002','primary','en','N','A','sometimes','sometimes','英[''sʌmtaimz] (at times)','[{""k"":""A"", ""v"":""ad.有时""},{""k"":""B"",""v"":""n.冰""},{""k"":""C"",""v"":""n.臂，手臂""},{""k"":""D"",""v"":""prep.沿....而下ad.向下""}]'),","('qitm:p04002','MEMBER','quiz:p04','{}'),"
qitm:p04003,primary,en,N,A,again,again,ad.再一次；再,prep.关于；和,pron.他们；人们,ad.也；太；非常,英[ә''gein] ,"[{""k"":""A"", ""v"":""ad.再一次；再""},{""k"":""B"",""v"":""prep.关于；和""},{""k"":""C"",""v"":""pron.他们；人们""},{""k"":""D"",""v"":""ad.也；太；非常""}]","('qitm:p04003','primary','en','N','A','again','again','英[ә''gein] ','[{""k"":""A"", ""v"":""ad.再一次；再""},{""k"":""B"",""v"":""prep.关于；和""},{""k"":""C"",""v"":""pron.他们；人们""},{""k"":""D"",""v"":""ad.也；太；非常""}]'),","('qitm:p04003','MEMBER','quiz:p04','{}'),"
qitm:p04004,primary,en,N,C,where,where,n.背a.背部的ad.以前,prep.从...起；来自,ad.在哪里,prep.为了...conj.因为,英[hwєә] ,"[{""k"":""A"", ""v"":""n.背a.背部的ad.以前""},{""k"":""B"",""v"":""prep.从...起；来自""},{""k"":""C"",""v"":""ad.在哪里""},{""k"":""D"",""v"":""prep.为了...conj.因为""}]","('qitm:p04004','primary','en','N','C','where','where','英[hwєә] ','[{""k"":""A"", ""v"":""n.背a.背部的ad.以前""},{""k"":""B"",""v"":""prep.从...起；来自""},{""k"":""C"",""v"":""ad.在哪里""},{""k"":""D"",""v"":""prep.为了...conj.因为""}]'),","('qitm:p04004','MEMBER','quiz:p04','{}'),"
qitm:p04005,primary,en,N,C,here,here,int.再见,conj.或；否则,ad.在这里,n.冰,英[hiә] ,"[{""k"":""A"", ""v"":""int.再见""},{""k"":""B"",""v"":""conj.或；否则""},{""k"":""C"",""v"":""ad.在这里""},{""k"":""D"",""v"":""n.冰""}]","('qitm:p04005','primary','en','N','C','here','here','英[hiә] ','[{""k"":""A"", ""v"":""int.再见""},{""k"":""B"",""v"":""conj.或；否则""},{""k"":""C"",""v"":""ad.在这里""},{""k"":""D"",""v"":""n.冰""}]'),","('qitm:p04005','MEMBER','quiz:p04','{}'),"
qitm:p04006,primary,en,N,A,how,how,ad.怎样；多少,conj.当....的时候,pron.什么a.多么,pron.他们；人们,英[hau] ,"[{""k"":""A"", ""v"":""ad.怎样；多少""},{""k"":""B"",""v"":""conj.当....的时候""},{""k"":""C"",""v"":""pron.什么a.多么""},{""k"":""D"",""v"":""pron.他们；人们""}]","('qitm:p04006','primary','en','N','A','how','how','英[hau] ','[{""k"":""A"", ""v"":""ad.怎样；多少""},{""k"":""B"",""v"":""conj.当....的时候""},{""k"":""C"",""v"":""pron.什么a.多么""},{""k"":""D"",""v"":""pron.他们；人们""}]'),","('qitm:p04006','MEMBER','quiz:p04','{}'),"
qitm:p04007,primary,en,N,C,always,always,pron.它的,ad.在这里,ad.总是；永远,prep.为了...conj.因为,英[''ɒ:lweiz] ,"[{""k"":""A"", ""v"":""pron.它的""},{""k"":""B"",""v"":""ad.在这里""},{""k"":""C"",""v"":""ad.总是；永远""},{""k"":""D"",""v"":""prep.为了...conj.因为""}]","('qitm:p04007','primary','en','N','C','always','always','英[''ɒ:lweiz] ','[{""k"":""A"", ""v"":""pron.它的""},{""k"":""B"",""v"":""ad.在这里""},{""k"":""C"",""v"":""ad.总是；永远""},{""k"":""D"",""v"":""prep.为了...conj.因为""}]'),","('qitm:p04007','MEMBER','quiz:p04','{}'),"
qitm:p04008,primary,en,N,D,but,but,int.n.&v.欢迎a.受欢迎的,pron.谁,prep.在....上,conj.但是prep.除.....以外ad.只不过....,英[bʌt] ,"[{""k"":""A"", ""v"":""int.n.&v.欢迎a.受欢迎的""},{""k"":""B"",""v"":""pron.谁""},{""k"":""C"",""v"":""prep.在....上""},{""k"":""D"",""v"":""conj.但是prep.除.....以外ad.只不过....""}]","('qitm:p04008','primary','en','N','D','but','but','英[bʌt] ','[{""k"":""A"", ""v"":""int.n.&v.欢迎a.受欢迎的""},{""k"":""B"",""v"":""pron.谁""},{""k"":""C"",""v"":""prep.在....上""},{""k"":""D"",""v"":""conj.但是prep.除.....以外ad.只不过....""}]'),","('qitm:p04008','MEMBER','quiz:p04','{}'),"
qitm:p04009,primary,en,N,B,when,when,pron.什么a.多么,conj.当....的时候,pron.你的；你们的,n.鼻子,英[hwen] ,"[{""k"":""A"", ""v"":""pron.什么a.多么""},{""k"":""B"",""v"":""conj.当....的时候""},{""k"":""C"",""v"":""pron.你的；你们的""},{""k"":""D"",""v"":""n.鼻子""}]","('qitm:p04009','primary','en','N','B','when','when','英[hwen] ','[{""k"":""A"", ""v"":""pron.什么a.多么""},{""k"":""B"",""v"":""conj.当....的时候""},{""k"":""C"",""v"":""pron.你的；你们的""},{""k"":""D"",""v"":""n.鼻子""}]'),","('qitm:p04009','MEMBER','quiz:p04','{}'),"
qitm:p04010,primary,en,N,B,or,or,n.傍晚，晚上,conj.或；否则,ad.也conj.另外,ad.也；太；非常,英[ɒ:] ,"[{""k"":""A"", ""v"":""n.傍晚，晚上""},{""k"":""B"",""v"":""conj.或；否则""},{""k"":""C"",""v"":""ad.也conj.另外""},{""k"":""D"",""v"":""ad.也；太；非常""}]","('qitm:p04010','primary','en','N','B','or','or','英[ɒ:] ','[{""k"":""A"", ""v"":""n.傍晚，晚上""},{""k"":""B"",""v"":""conj.或；否则""},{""k"":""C"",""v"":""ad.也conj.另外""},{""k"":""D"",""v"":""ad.也；太；非常""}]'),","('qitm:p04010','MEMBER','quiz:p04','{}'),"
qitm:p04011,primary,en,N,D,welcome,welcome,n.冰,prep.在.....中间ad.当中,ad.也conj.另外,int.n.&v.欢迎a.受欢迎的,英[''welkәm] ,"[{""k"":""A"", ""v"":""n.冰""},{""k"":""B"",""v"":""prep.在.....中间ad.当中""},{""k"":""C"",""v"":""ad.也conj.另外""},{""k"":""D"",""v"":""int.n.&v.欢迎a.受欢迎的""}]","('qitm:p04011','primary','en','N','D','welcome','welcome','英[''welkәm] ','[{""k"":""A"", ""v"":""n.冰""},{""k"":""B"",""v"":""prep.在.....中间ad.当中""},{""k"":""C"",""v"":""ad.也conj.另外""},{""k"":""D"",""v"":""int.n.&v.欢迎a.受欢迎的""}]'),","('qitm:p04011','MEMBER','quiz:p04','{}'),"
qitm:p04012,primary,en,N,A,goodbye,goodbye,int.再见,n.&ad.昨天,ad.再一次；再,prep.为了...conj.因为,英[gud''bai] (bye),"[{""k"":""A"", ""v"":""int.再见""},{""k"":""B"",""v"":""n.&ad.昨天""},{""k"":""C"",""v"":""ad.再一次；再""},{""k"":""D"",""v"":""prep.为了...conj.因为""}]","('qitm:p04012','primary','en','N','A','goodbye','goodbye','英[gud''bai] (bye)','[{""k"":""A"", ""v"":""int.再见""},{""k"":""B"",""v"":""n.&ad.昨天""},{""k"":""C"",""v"":""ad.再一次；再""},{""k"":""D"",""v"":""prep.为了...conj.因为""}]'),","('qitm:p04012','MEMBER','quiz:p04','{}'),"
qitm:p04013,primary,en,N,C,after,after,pron.他（宾格）,pron.它的,prep&conj.S.............之后ad.以后a.后来的,prep.在....上,英[''ɑ:ftә] ,"[{""k"":""A"", ""v"":""pron.他（宾格）""},{""k"":""B"",""v"":""pron.它的""},{""k"":""C"",""v"":""prep&conj.S.............之后ad.以后a.后来的""},{""k"":""D"",""v"":""prep.在....上""}]","('qitm:p04013','primary','en','N','C','after','after','英[''ɑ:ftә] ','[{""k"":""A"", ""v"":""pron.他（宾格）""},{""k"":""B"",""v"":""pron.它的""},{""k"":""C"",""v"":""prep&conj.S.............之后ad.以后a.后来的""},{""k"":""D"",""v"":""prep.在....上""}]'),","('qitm:p04013','MEMBER','quiz:p04','{}'),"
qitm:p04014,primary,en,N,B,of,of,ad.在这里,prep当中的,pron.他们；人们,prep.关于；和,英[ɒv] ,"[{""k"":""A"", ""v"":""ad.在这里""},{""k"":""B"",""v"":""prep当中的""},{""k"":""C"",""v"":""pron.他们；人们""},{""k"":""D"",""v"":""prep.关于；和""}]","('qitm:p04014','primary','en','N','B','of','of','英[ɒv] ','[{""k"":""A"", ""v"":""ad.在这里""},{""k"":""B"",""v"":""prep当中的""},{""k"":""C"",""v"":""pron.他们；人们""},{""k"":""D"",""v"":""prep.关于；和""}]'),","('qitm:p04014','MEMBER','quiz:p04','{}'),"
qitm:p04015,primary,en,N,B,from,from,pron.你的；你们的,prep.从...起；来自,pron.他的,n.背a.背部的ad.以前,英[frɒm] ,"[{""k"":""A"", ""v"":""pron.你的；你们的""},{""k"":""B"",""v"":""prep.从...起；来自""},{""k"":""C"",""v"":""pron.他的""},{""k"":""D"",""v"":""n.背a.背部的ad.以前""}]","('qitm:p04015','primary','en','N','B','from','from','英[frɒm] ','[{""k"":""A"", ""v"":""pron.你的；你们的""},{""k"":""B"",""v"":""prep.从...起；来自""},{""k"":""C"",""v"":""pron.他的""},{""k"":""D"",""v"":""n.背a.背部的ad.以前""}]'),","('qitm:p04015','MEMBER','quiz:p04','{}'),"
qitm:p04016,primary,en,N,D,like,like,pron.他们；人们,n.冰,int.n.&v.欢迎a.受欢迎的,prep.跟...一样vt.喜欢,英[laik] ,"[{""k"":""A"", ""v"":""pron.他们；人们""},{""k"":""B"",""v"":""n.冰""},{""k"":""C"",""v"":""int.n.&v.欢迎a.受欢迎的""},{""k"":""D"",""v"":""prep.跟...一样vt.喜欢""}]","('qitm:p04016','primary','en','N','D','like','like','英[laik] ','[{""k"":""A"", ""v"":""pron.他们；人们""},{""k"":""B"",""v"":""n.冰""},{""k"":""C"",""v"":""int.n.&v.欢迎a.受欢迎的""},{""k"":""D"",""v"":""prep.跟...一样vt.喜欢""}]'),","('qitm:p04016','MEMBER','quiz:p04','{}'),"
qitm:p04017,primary,en,N,A,with,with,prep.关于；和,ad.也conj.另外,int.再见,n.臂，手臂,英[wið;wiθ] ,"[{""k"":""A"", ""v"":""prep.关于；和""},{""k"":""B"",""v"":""ad.也conj.另外""},{""k"":""C"",""v"":""int.再见""},{""k"":""D"",""v"":""n.臂，手臂""}]","('qitm:p04017','primary','en','N','A','with','with','英[wið;wiθ] ','[{""k"":""A"", ""v"":""prep.关于；和""},{""k"":""B"",""v"":""ad.也conj.另外""},{""k"":""C"",""v"":""int.再见""},{""k"":""D"",""v"":""n.臂，手臂""}]'),","('qitm:p04017','MEMBER','quiz:p04','{}'),"
qitm:p04018,primary,en,N,D,for,for,n.&ad.昨天,proa他们的,prep当中的,prep.为了...conj.因为,英[fɔ:(r);fә(r)] ,"[{""k"":""A"", ""v"":""n.&ad.昨天""},{""k"":""B"",""v"":""proa他们的""},{""k"":""C"",""v"":""prep当中的""},{""k"":""D"",""v"":""prep.为了...conj.因为""}]","('qitm:p04018','primary','en','N','D','for','for','英[fɔ:(r);fә(r)] ','[{""k"":""A"", ""v"":""n.&ad.昨天""},{""k"":""B"",""v"":""proa他们的""},{""k"":""C"",""v"":""prep当中的""},{""k"":""D"",""v"":""prep.为了...conj.因为""}]'),","('qitm:p04018','MEMBER','quiz:p04','{}'),"
qitm:p04019,primary,en,N,C,down,down,prep.从...起；来自,pron.它的,prep.沿....而下ad.向下,ad.再一次；再,英[daun] ,"[{""k"":""A"", ""v"":""prep.从...起；来自""},{""k"":""B"",""v"":""pron.它的""},{""k"":""C"",""v"":""prep.沿....而下ad.向下""},{""k"":""D"",""v"":""ad.再一次；再""}]","('qitm:p04019','primary','en','N','C','down','down','英[daun] ','[{""k"":""A"", ""v"":""prep.从...起；来自""},{""k"":""B"",""v"":""pron.它的""},{""k"":""C"",""v"":""prep.沿....而下ad.向下""},{""k"":""D"",""v"":""ad.再一次；再""}]'),","('qitm:p04019','MEMBER','quiz:p04','{}'),"
qitm:p04020,primary,en,N,C,behind,behind,n.爸爸,prep.沿....而下ad.向下,prep.在....后面ad.在后面；向后,ad.有时,英[bi''haind] ,"[{""k"":""A"", ""v"":""n.爸爸""},{""k"":""B"",""v"":""prep.沿....而下ad.向下""},{""k"":""C"",""v"":""prep.在....后面ad.在后面；向后""},{""k"":""D"",""v"":""ad.有时""}]","('qitm:p04020','primary','en','N','C','behind','behind','英[bi''haind] ','[{""k"":""A"", ""v"":""n.爸爸""},{""k"":""B"",""v"":""prep.沿....而下ad.向下""},{""k"":""C"",""v"":""prep.在....后面ad.在后面；向后""},{""k"":""D"",""v"":""ad.有时""}]'),","('qitm:p04020','MEMBER','quiz:p04','{}'),"
qitm:p04021,primary,en,N,C,by,by,pron.他/她/它们（宾格）,proa他们的,prep.在....旁；乘坐……ad.经过,prep.关于；和,英[baɪ] ,"[{""k"":""A"", ""v"":""pron.他/她/它们（宾格）""},{""k"":""B"",""v"":""proa他们的""},{""k"":""C"",""v"":""prep.在....旁；乘坐……ad.经过""},{""k"":""D"",""v"":""prep.关于；和""}]","('qitm:p04021','primary','en','N','C','by','by','英[baɪ] ','[{""k"":""A"", ""v"":""pron.他/她/它们（宾格）""},{""k"":""B"",""v"":""proa他们的""},{""k"":""C"",""v"":""prep.在....旁；乘坐……ad.经过""},{""k"":""D"",""v"":""prep.关于；和""}]'),","('qitm:p04021','MEMBER','quiz:p04','{}'),"
qitm:p04022,primary,en,N,A,beside,beside,prep.在...旁边；靠近,pron.它的,n.爸爸,pron.谁,英[bi''said] ,"[{""k"":""A"", ""v"":""prep.在...旁边；靠近""},{""k"":""B"",""v"":""pron.它的""},{""k"":""C"",""v"":""n.爸爸""},{""k"":""D"",""v"":""pron.谁""}]","('qitm:p04022','primary','en','N','A','beside','beside','英[bi''said] ','[{""k"":""A"", ""v"":""prep.在...旁边；靠近""},{""k"":""B"",""v"":""pron.它的""},{""k"":""C"",""v"":""n.爸爸""},{""k"":""D"",""v"":""pron.谁""}]'),","('qitm:p04022','MEMBER','quiz:p04','{}'),"
qitm:p04023,primary,en,N,C,on,on,n.冰,prep.关于；和,prep.在....上,ad.也；太；非常,英[ɒn] ,"[{""k"":""A"", ""v"":""n.冰""},{""k"":""B"",""v"":""prep.关于；和""},{""k"":""C"",""v"":""prep.在....上""},{""k"":""D"",""v"":""ad.也；太；非常""}]","('qitm:p04023','primary','en','N','C','on','on','英[ɒn] ','[{""k"":""A"", ""v"":""n.冰""},{""k"":""B"",""v"":""prep.关于；和""},{""k"":""C"",""v"":""prep.在....上""},{""k"":""D"",""v"":""ad.也；太；非常""}]'),","('qitm:p04023','MEMBER','quiz:p04','{}'),"
qitm:p04024,primary,en,N,D,before,before,n.臂，手臂,pron.它的,int.n.&v.欢迎a.受欢迎的,prep.在....之前conj.在……之前a.从前,英[bi''fɒ:] ,"[{""k"":""A"", ""v"":""n.臂，手臂""},{""k"":""B"",""v"":""pron.它的""},{""k"":""C"",""v"":""int.n.&v.欢迎a.受欢迎的""},{""k"":""D"",""v"":""prep.在....之前conj.在……之前a.从前""}]","('qitm:p04024','primary','en','N','D','before','before','英[bi''fɒ:] ','[{""k"":""A"", ""v"":""n.臂，手臂""},{""k"":""B"",""v"":""pron.它的""},{""k"":""C"",""v"":""int.n.&v.欢迎a.受欢迎的""},{""k"":""D"",""v"":""prep.在....之前conj.在……之前a.从前""}]'),","('qitm:p04024','MEMBER','quiz:p04','{}'),"
qitm:p04025,primary,en,N,D,between,between,prep.为了...conj.因为,n.鼻子,pron.我的,prep.在.....中间ad.当中,英[bi''twi:n] ,"[{""k"":""A"", ""v"":""prep.为了...conj.因为""},{""k"":""B"",""v"":""n.鼻子""},{""k"":""C"",""v"":""pron.我的""},{""k"":""D"",""v"":""prep.在.....中间ad.当中""}]","('qitm:p04025','primary','en','N','D','between','between','英[bi''twi:n] ','[{""k"":""A"", ""v"":""prep.为了...conj.因为""},{""k"":""B"",""v"":""n.鼻子""},{""k"":""C"",""v"":""pron.我的""},{""k"":""D"",""v"":""prep.在.....中间ad.当中""}]'),","('qitm:p04025','MEMBER','quiz:p04','{}'),"
qitm:p04026,primary,en,N,D,your,your,prep.在...旁边；靠近,prep.从...起；来自,n.阿姨；舅母,pron.你的；你们的,英[juә] ,"[{""k"":""A"", ""v"":""prep.在...旁边；靠近""},{""k"":""B"",""v"":""prep.从...起；来自""},{""k"":""C"",""v"":""n.阿姨；舅母""},{""k"":""D"",""v"":""pron.你的；你们的""}]","('qitm:p04026','primary','en','N','D','your','your','英[juә] ','[{""k"":""A"", ""v"":""prep.在...旁边；靠近""},{""k"":""B"",""v"":""prep.从...起；来自""},{""k"":""C"",""v"":""n.阿姨；舅母""},{""k"":""D"",""v"":""pron.你的；你们的""}]'),","('qitm:p04026','MEMBER','quiz:p04','{}'),"
