id,level,mchoice,ans,eword,title,desc,opa,opb,opc,opd,ope,opf,opg,oph
"meqzp08000","primary","N","A","banana","banana","英[bә'nɑ:nә] ","n.香蕉","n.鸭子","n.小时","n.小学生","","","",""
"meqzp08001","primary","N","D","elephant","elephant","英['elifәnt] ","n.医生；博士","n.小时","n.早晨","n.象，大象","","","",""
"meqzp08002","primary","N","D","boat","boat","英[bәut] ","n.医生；博士","n.足球；橄榄球","n.艺术a.艺术的","n.小船v.乘船","","","",""
"meqzp08003","primary","N","D","kid","kid","英[kid] ","n.夜间","n.鱼v.钓鱼","n.自行车","n.小孩","","","",""
"meqzp08004","primary","N","A","Miss","Miss","英[mis] ","n.小姐","n.中国；瓷器","n.星期，周","n.猪","","","",""
"meqzp08005","primary","N","C","hour","hour","英[auә] ","n.足球；橄榄球","n.婴儿","n.小时","n.照片","","","",""
"meqzp08006","primary","N","A","pupil","pupil","英['pju:pl] ","n.小学生","n.香蕉","n.W；英尺","n.椅子","","","",""
"meqzp08007","primary","N","C","shoe","shoe","英[ʃu:] ","n.颜色","n.主意，想法","n.鞋子","n.自行车","","","",""
"meqzp08008","primary","N","C","star","star","英[stɑ:] ","n.W；英尺","n.艺术a.艺术的","n.星","n.鞋子","","","",""
"meqzp08009","primary","N","B","Mr.","Mr.","英['mistә(r)] (mister)","n.医生；博士","n.先生","n.兄，弟","n.钟","","","",""
"meqzp08010","primary","N","C","week","week","英[wi:k] ","n.自行车","n.香蕉","n.星期，周","n.椅子","","","",""
"meqzp08011","primary","N","C","brother","brother","英['brʌðә] ","n.小姐","n.钟","n.兄，弟","n.鱼v.钓鱼","","","",""
"meqzp08012","primary","N","B","bear","bear","英[bєә] ","n.夜间","n.熊v.忍受","n.艺术a.艺术的","n.爷爷；外公","","","",""
"meqzp08013","primary","N","B","panda","panda","英['pændә] ","n棕色a.棕色的","n.熊猫","n.衣服","n.照片","","","",""
"meqzp08014","primary","N","D","school","school","英[sku:l] ","n.种；类","n.一天；白；天","n.雨伞","n.学校","","","",""
"meqzp08015","primary","N","D","snow","snow","英[snәu] ","n.象，大象","n.猪","n.星期，周","n.雪v.下雪","","","",""
"meqzp08016","primary","N","D","duck","duck","英[dʌk] ","n.星期，周","n.游戏；比赛","n.爷爷；外公","n.鸭子","","","",""
"meqzp08017","primary","N","C","colour","colour","英['kʌlә] (color)","n.星期，周","n.鞋子","n.颜色","n.鱼v.钓鱼","","","",""
"meqzp08018","primary","N","C","eye","eye","英[ai] ","n.鞋子","n.鱼v.钓鱼","n.眼睛","n.主意，想法","","","",""
"meqzp08019","primary","N","D","grandfather","grandfather","英['grændfɑ:ðә] (grandpa)","n.星","n.熊猫","n.月球；月光","n.爷爷；外公","","","",""
"meqzp08020","primary","N","B","night","night","英[nait] ","n.颜色","n.夜间","n.眼睛","n.医院","","","",""
"meqzp08021","primary","N","D","clothes","clothes","英[klәuðz] ","n.汁液","n.爷爷；外公","n.鞋子","n.衣服","","","",""
"meqzp08022","primary","N","A","doctor","doctor","英['dɒktә] ","n.医生；博士","n.猪","n.夜间","n.足球；橄榄球","","","",""
"meqzp08023","primary","N","A","hospital","hospital","英['hɒspitәl] ","n.医院","n.早餐","n棕色a.棕色的","n.鱼v.钓鱼","","","",""
"meqzp08024","primary","N","B","chair","chair","英[tʃєә] ","n.熊猫","n.椅子","n.中国；瓷器","n.月，月份","","","",""
"meqzp08025","primary","N","D","art","art","英[ɑ:t] ","n.雪v.下雪","n.星期，周","n.熊v.忍受","n.艺术a.艺术的","","","",""
"meqzp08026","primary","N","B","music","music","英['mju:zik] ","n.先生","n.音乐，乐曲","n.雨伞","n.种；类","","","",""
"meqzp08027","primary","N","B","baby","baby","英['beibi] ","n.自行车","n.婴儿","n.种；类","n.学校","","","",""
"meqzp08028","primary","N","C","game","game","英[geim] ","n.中国；瓷器","n.月球；月光","n.游戏；比赛","n.椅子","","","",""
"meqzp08029","primary","N","A","fish","fish","英[fiʃ] ","n.鱼v.钓鱼","n.雨v.下雨","n.主意，想法","n.衣服","","","",""
"meqzp08030","primary","N","B","rain","rain","英[rein] ","n.熊猫","n.雨v.下雨","n.艺术a.艺术的","n.主意，想法","","","",""
"meqzp08031","primary","N","A","umbrella","umbrella","英[ʌm'brelә] ","n.雨伞","n.足球；橄榄球","n.正餐","n.早晨","","","",""
"meqzp08032","primary","N","A","month","month","英[mʌnθ] ","n.月，月份","n.医生；博士","n.星期，周","n.鞋子","","","",""
"meqzp08033","primary","N","D","moon","moon","英[mu:n] ","n.香蕉","n.月，月份","n.艺术a.艺术的","n.月球；月光","","","",""
"meqzp08034","primary","N","D","breakfast","breakfast","英['brekfәst] ","n.医生；博士","n.星期，周","n.猪","n.早餐","","","",""
"meqzp08035","primary","N","C","morning","morning","英['mɒ:niŋ] ","n.雨v.下雨","n.自行车","n.早晨","n.爷爷；外公","","","",""
