id,level,mchoice,ans,title,desc,opa,opb,opc,opd,ope,opf,opg,oph
"meqzs11000","senior","N","C","innocent","英['inәsәnt] ","a.外部的；外面的","a.全球的；全世界的；全局的","a.无辜的；清白的；天真无邪的","a.很好的；可以接受的；晴朗的v.&n.罚款","","","",""
"meqzs11001","senior","N","B","distinct","英[dis'tiŋkt] ","a.唯一的；独一无二的","a.清楚的；明显的；不同的","a.随后的；后来的；并发的","a.商业的；商务的n.商业广告","","","",""
"meqzs11002","senior","N","B","fine","英[fain] ","a.至关重要的；生死攸关的；有活力的","a.很好的；可以接受的；晴朗的v.&n.罚款","a.随后的；后来的；并发的","a.喜爱的；宠爱的","","","",""
"meqzs11003","senior","N","A","global","英['glәubl] ","a.全球的；全世界的；全局的","a.温和的:轻微的；味淡的","a.酸的；发酸的；酸痛的","a.稀有的；稀罕的","","","",""
"meqzs11004","senior","N","B","overall","英['әuvәrɒ:l] ","a.热悉的；通晓的","a.全部的ad.全部地；总体上n.背带裤","a.宏伟的；盛大的","a.想象的:花俏的n.&v.幻想","","","",""
"meqzs11005","senior","N","B","awesome","英['ɒ:sәm] ","a.人工的；人造的；矫揉造作的","a.了不起的；令人敬畏的；极好的","a.实际上的；事实上的","a.最喜爱的n.特别喜爱的人（或物）","","","",""
"meqzs11006","senior","N","D","enthusiastic","英[in.θju:zi'æstik] ","a.热悉的；通晓的","a.商业的；商务的n.商业广告","a.无辜的；清白的；天真无邪的","a.热情的；热心的:狂热的","","","",""
"meqzs11007","senior","N","B","artificial","英[.ɑ:ti'fiʃәl] ","a.全部的ad.全部地；总体上n.背带裤","a.人工的；人造的；矫揉造作的","a.上面的；上部的；较高的","a.外国的；海外的ad.在海外","","","",""
"meqzs11008","senior","N","B","flexible","英['fleksәbl] ","a.头晕目眩的；心不在焉的","a.柔韧的；易弯曲的；灵活的","a.人工的；人造的；矫揉造作的","a.外部的；外面的","","","",""
"meqzs11009","senior","N","B","commercial","英[kә'mә:ʃәl] ","a.人工的；人造的；矫揉造作的","a.商业的；商务的n.商业广告","a.柔韧的；易弯曲的；灵活的","a.戏剧的；引人瞩目的；剧烈的","","","",""
"meqzs11010","senior","N","B","upper","英['ʌpә] ","a.戏剧的；引人瞩目的；剧烈的","a.上面的；上部的；较高的","a.清楚的；明显的；不同的","a.外部的；外面的","","","",""
"meqzs11011","senior","N","C","socialist","英['sәuʃәlist] ","a.统计（学）的n.统计数值；统计学（statistics）","a.喜剧的；滑稽的n.连环漫画","a.社会主义的n.社会主义者","a.商业的；商务的n.商业广告","","","",""
"meqzs11012","senior","N","D","corporate","英['kɒ:pәrit] ","a.特定的；特指的n.详情；细节","a.人工的；人造的；矫揉造作的","a.酸的；发酸的；酸痛的","a.公司的；团体的；法人的","","","",""
"meqzs11013","senior","N","C","vital","英['vaitl] ","a.唯一的；独一无二的","a.人工的；人造的；矫揉造作的","a.至关重要的；生死攸关的；有活力的","a.外部的；外面的","","","",""
"meqzs11014","senior","N","A","grand","英[grænd] ","a.宏伟的；盛大的","a.失望的；沮丧的","a.实际的；实用的","a.数字的；数码的","","","",""
"meqzs11015","senior","N","B","disappointed","英[.disә'pɒintid] ","a.贪婪的；贪心的","a.失望的；沮丧的","a.外部的；外面的","a.喜剧的；滑稽的n.连环漫画","","","",""
"meqzs11016","senior","N","B","practical","英['præktikl] ","a.至关重要的；生死攸关的；有活力的","a.实际的；实用的","a.全球的；全世界的；全局的","a.了不起的；令人敬畏的；极好的","","","",""
"meqzs11017","senior","N","A","virtual","英['vә:tʃuәl] ","a.实际上的；事实上的","a.狭窄的n.海峡；困境","a.全部的ad.全部地；总体上n.背带裤","a.统计（学）的n.统计数值；统计学（statistics）","","","",""
"meqzs11018","senior","N","B","substantial","英[sәb'stænʃәl] ","a.外国的；海外的ad.在海外","a.大量的；实质的；可观的","a.宏伟的；盛大的","a.酸的；发酸的；酸痛的","","","",""
"meqzs11019","senior","N","A","appropriate","英[ә'prәupriәt] ","a.适当的；恰当的；合适的","a.温和的:轻微的；味淡的","a.文学的；精通文学的；书面的","a.外部的；外面的","","","",""
"meqzs11020","senior","N","D","familiar","英[fә'miljә] ","a.典型的；特有的n.特征；特性","a.贪婪的；贪心的","a.公司的；团体的；法人的","a.热悉的；通晓的","","","",""
"meqzs11021","senior","N","C","digital","英['didʒitәl] ","a.统计（学）的n.统计数值；统计学（statistics）","a.柔韧的；易弯曲的；灵活的","a.数字的；数码的","a.上面的；上部的；较高的","","","",""
"meqzs11022","senior","N","C","twin","英[twin] ","a.社会主义的n.社会主义者","a.上面的；上部的；较高的","a.双胞胎的n.（复）双胞胎","a.太阳的；日光的","","","",""
"meqzs11023","senior","N","A","sour","英['sauә] ","a.酸的；发酸的；酸痛的","a.双胞胎的n.（复）双胞胎","a.数字的；数码的","a.戏剧的；引人瞩目的；剧烈的","","","",""
"meqzs11024","senior","N","B","subsequent","英['sʌbsikwәnt] ","a.头晕目眩的；心不在焉的","a.随后的；后来的；并发的","a.稀有的；稀罕的","a.人工的；人造的；矫揉造作的","","","",""
"meqzs11025","senior","N","B","random","英['rændәm] ","a.特定的；特指的n.详情；细节","a.随机的，任意的n.随机","a.太阳的；日光的","a.戏剧的；引人瞩目的；剧烈的","","","",""
"meqzs11026","senior","N","B","solar","英['sәulә] ","a.想象的:花俏的n.&v.幻想","a.太阳的；日光的","a.生的；未加工过的","a.公司的；团体的；法人的","","","",""
