id,level,subject,mchoice,ans,eword,title,opa,opb,opc,opd,desc,options,sql,members
qitm:s27000,senior,en,N,C,priority,priority,n.现象；非凡的人,n.现金v.兑现；支付现款,n.优先；优先考虑；当务之急,n.显微镜,英[prai''ɒriti] ,"[{""k"":""A"", ""v"":""n.现象；非凡的人""},{""k"":""B"",""v"":""n.现金v.兑现；支付现款""},{""k"":""C"",""v"":""n.优先；优先考虑；当务之急""},{""k"":""D"",""v"":""n.显微镜""}]","('qitm:s27000','senior','en','N','C','priority','priority','英[prai''ɒriti] ','[{""k"":""A"", ""v"":""n.现象；非凡的人""},{""k"":""B"",""v"":""n.现金v.兑现；支付现款""},{""k"":""C"",""v"":""n.优先；优先考虑；当务之急""},{""k"":""D"",""v"":""n.显微镜""}]'),","('qitm:s27000','MEMBER','quiz:s27','{}'),"
qitm:s27001,senior,en,N,D,pioneer,pioneer,n.纤维；纤维组织,n.现实；真实；事实,n.信念；信任；信仰,n.先锋；开拓者v.开辟,英[.paiә''niә] ,"[{""k"":""A"", ""v"":""n.纤维；纤维组织""},{""k"":""B"",""v"":""n.现实；真实；事实""},{""k"":""C"",""v"":""n.信念；信任；信仰""},{""k"":""D"",""v"":""n.先锋；开拓者v.开辟""}]","('qitm:s27001','senior','en','N','D','pioneer','pioneer','英[.paiә''niә] ','[{""k"":""A"", ""v"":""n.纤维；纤维组织""},{""k"":""B"",""v"":""n.现实；真实；事实""},{""k"":""C"",""v"":""n.信念；信任；信仰""},{""k"":""D"",""v"":""n.先锋；开拓者v.开辟""}]'),","('qitm:s27001','MEMBER','quiz:s27','{}'),"
qitm:s27002,senior,en,N,A,fibre,fibre,n.纤维；纤维组织,n.香烟；纸烟,n.优先；优先考虑；当务之急,n.选择；选项；期权,英[''faibә] (fiber),"[{""k"":""A"", ""v"":""n.纤维；纤维组织""},{""k"":""B"",""v"":""n.香烟；纸烟""},{""k"":""C"",""v"":""n.优先；优先考虑；当务之急""},{""k"":""D"",""v"":""n.选择；选项；期权""}]","('qitm:s27002','senior','en','N','A','fibre','fibre','英[''faibә] (fiber)','[{""k"":""A"", ""v"":""n.纤维；纤维组织""},{""k"":""B"",""v"":""n.香烟；纸烟""},{""k"":""C"",""v"":""n.优先；优先考虑；当务之急""},{""k"":""D"",""v"":""n.选择；选项；期权""}]'),","('qitm:s27002','MEMBER','quiz:s27','{}'),"
qitm:s27003,senior,en,N,C,string,string,n.费用；报酬；服务费,n.性别,n.细绳；字符串v.悬挂,n.性格；角色；字符,英[striŋ] ,"[{""k"":""A"", ""v"":""n.费用；报酬；服务费""},{""k"":""B"",""v"":""n.性别""},{""k"":""C"",""v"":""n.细绳；字符串v.悬挂""},{""k"":""D"",""v"":""n.性格；角色；字符""}]","('qitm:s27003','senior','en','N','C','string','string','英[striŋ] ','[{""k"":""A"", ""v"":""n.费用；报酬；服务费""},{""k"":""B"",""v"":""n.性别""},{""k"":""C"",""v"":""n.细绳；字符串v.悬挂""},{""k"":""D"",""v"":""n.性格；角色；字符""}]'),","('qitm:s27003','MEMBER','quiz:s27','{}'),"
qitm:s27004,senior,en,N,B,bacon,bacon,n.纤维；纤维组织,n.培根；熏肉,n.信号；暗号V.发信号,n.信仰；信任；真诚,英[''beikәn] ,"[{""k"":""A"", ""v"":""n.纤维；纤维组织""},{""k"":""B"",""v"":""n.培根；熏肉""},{""k"":""C"",""v"":""n.信号；暗号V.发信号""},{""k"":""D"",""v"":""n.信仰；信任；真诚""}]","('qitm:s27004','senior','en','N','B','bacon','bacon','英[''beikәn] ','[{""k"":""A"", ""v"":""n.纤维；纤维组织""},{""k"":""B"",""v"":""n.培根；熏肉""},{""k"":""C"",""v"":""n.信号；暗号V.发信号""},{""k"":""D"",""v"":""n.信仰；信任；真诚""}]'),","('qitm:s27004','MEMBER','quiz:s27','{}'),"
qitm:s27005,senior,en,N,A,microscope,microscope,n.显微镜,n.现金v.兑现；支付现款,n.虚构；小说,n.香肠；腊肠,英[''maikrәuskәup] ,"[{""k"":""A"", ""v"":""n.显微镜""},{""k"":""B"",""v"":""n.现金v.兑现；支付现款""},{""k"":""C"",""v"":""n.虚构；小说""},{""k"":""D"",""v"":""n.香肠；腊肠""}]","('qitm:s27005','senior','en','N','A','microscope','microscope','英[''maikrәuskәup] ','[{""k"":""A"", ""v"":""n.显微镜""},{""k"":""B"",""v"":""n.现金v.兑现；支付现款""},{""k"":""C"",""v"":""n.虚构；小说""},{""k"":""D"",""v"":""n.香肠；腊肠""}]'),","('qitm:s27005','MEMBER','quiz:s27','{}'),"
qitm:s27006,senior,en,N,C,cash,cash,n.心情；语气；情绪,n.性别,n.现金v.兑现；支付现款,n.性格；角色；字符,英[kæʃ] ,"[{""k"":""A"", ""v"":""n.心情；语气；情绪""},{""k"":""B"",""v"":""n.性别""},{""k"":""C"",""v"":""n.现金v.兑现；支付现款""},{""k"":""D"",""v"":""n.性格；角色；字符""}]","('qitm:s27006','senior','en','N','C','cash','cash','英[kæʃ] ','[{""k"":""A"", ""v"":""n.心情；语气；情绪""},{""k"":""B"",""v"":""n.性别""},{""k"":""C"",""v"":""n.现金v.兑现；支付现款""},{""k"":""D"",""v"":""n.性格；角色；字符""}]'),","('qitm:s27006','MEMBER','quiz:s27','{}'),"
qitm:s27007,senior,en,N,B,reality,reality,n.小酒馆；酒吧,n.现实；真实；事实,n.手册,n.选举；当选,英[ri''æliti] ,"[{""k"":""A"", ""v"":""n.小酒馆；酒吧""},{""k"":""B"",""v"":""n.现实；真实；事实""},{""k"":""C"",""v"":""n.手册""},{""k"":""D"",""v"":""n.选举；当选""}]","('qitm:s27007','senior','en','N','B','reality','reality','英[ri''æliti] ','[{""k"":""A"", ""v"":""n.小酒馆；酒吧""},{""k"":""B"",""v"":""n.现实；真实；事实""},{""k"":""C"",""v"":""n.手册""},{""k"":""D"",""v"":""n.选举；当选""}]'),","('qitm:s27007','MEMBER','quiz:s27','{}'),"
qitm:s27008,senior,en,N,A,phenomenon,phenomenon,n.现象；非凡的人,n.心情；语气；情绪,n.选举；当选,n.橡皮；橡胶；橡胶制品,英[fi''nɒminәn] ,"[{""k"":""A"", ""v"":""n.现象；非凡的人""},{""k"":""B"",""v"":""n.心情；语气；情绪""},{""k"":""C"",""v"":""n.选举；当选""},{""k"":""D"",""v"":""n.橡皮；橡胶；橡胶制品""}]","('qitm:s27008','senior','en','N','A','phenomenon','phenomenon','英[fi''nɒminәn] ','[{""k"":""A"", ""v"":""n.现象；非凡的人""},{""k"":""B"",""v"":""n.心情；语气；情绪""},{""k"":""C"",""v"":""n.选举；当选""},{""k"":""D"",""v"":""n.橡皮；橡胶；橡胶制品""}]'),","('qitm:s27008','MEMBER','quiz:s27','{}'),"
qitm:s27009,senior,en,N,C,clue,clue,n.费用；报酬；服务费,n.胸膛；衣柜；箱子,n.线索，暗示,n.显微镜,英[klu:] ,"[{""k"":""A"", ""v"":""n.费用；报酬；服务费""},{""k"":""B"",""v"":""n.胸膛；衣柜；箱子""},{""k"":""C"",""v"":""n.线索，暗示""},{""k"":""D"",""v"":""n.显微镜""}]","('qitm:s27009','senior','en','N','C','clue','clue','英[klu:] ','[{""k"":""A"", ""v"":""n.费用；报酬；服务费""},{""k"":""B"",""v"":""n.胸膛；衣柜；箱子""},{""k"":""C"",""v"":""n.线索，暗示""},{""k"":""D"",""v"":""n.显微镜""}]'),","('qitm:s27009','MEMBER','quiz:s27','{}'),"
qitm:s27010,senior,en,N,D,trap,trap,n.香烟；纸烟,n.小河；溪流v.流出,n.纤维；纤维组织,n.圈套，陷阱v.设陷阱捕捉,英[træp] ,"[{""k"":""A"", ""v"":""n.香烟；纸烟""},{""k"":""B"",""v"":""n.小河；溪流v.流出""},{""k"":""C"",""v"":""n.纤维；纤维组织""},{""k"":""D"",""v"":""n.圈套，陷阱v.设陷阱捕捉""}]","('qitm:s27010','senior','en','N','D','trap','trap','英[træp] ','[{""k"":""A"", ""v"":""n.香烟；纸烟""},{""k"":""B"",""v"":""n.小河；溪流v.流出""},{""k"":""C"",""v"":""n.纤维；纤维组织""},{""k"":""D"",""v"":""n.圈套，陷阱v.设陷阱捕捉""}]'),","('qitm:s27010','MEMBER','quiz:s27','{}'),"
qitm:s27011,senior,en,N,D,interaction,interaction,n.现实；真实；事实,n.薪水；工资,n.审判；实验；审讯a.实验的,n.相互作用；互动；交互,英[.intәr''ækʃәn] ,"[{""k"":""A"", ""v"":""n.现实；真实；事实""},{""k"":""B"",""v"":""n.薪水；工资""},{""k"":""C"",""v"":""n.审判；实验；审讯a.实验的""},{""k"":""D"",""v"":""n.相互作用；互动；交互""}]","('qitm:s27011','senior','en','N','D','interaction','interaction','英[.intәr''ækʃәn] ','[{""k"":""A"", ""v"":""n.现实；真实；事实""},{""k"":""B"",""v"":""n.薪水；工资""},{""k"":""C"",""v"":""n.审判；实验；审讯a.实验的""},{""k"":""D"",""v"":""n.相互作用；互动；交互""}]'),","('qitm:s27011','MEMBER','quiz:s27','{}'),"
qitm:s27012,senior,en,N,A,sausage,sausage,n.香肠；腊肠,n.小河；溪流v.流出,n.薪水；工资,n.选举；当选,英[''sɒsidʒ] ,"[{""k"":""A"", ""v"":""n.香肠；腊肠""},{""k"":""B"",""v"":""n.小河；溪流v.流出""},{""k"":""C"",""v"":""n.薪水；工资""},{""k"":""D"",""v"":""n.选举；当选""}]","('qitm:s27012','senior','en','N','A','sausage','sausage','英[''sɒsidʒ] ','[{""k"":""A"", ""v"":""n.香肠；腊肠""},{""k"":""B"",""v"":""n.小河；溪流v.流出""},{""k"":""C"",""v"":""n.薪水；工资""},{""k"":""D"",""v"":""n.选举；当选""}]'),","('qitm:s27012','MEMBER','quiz:s27','{}'),"
qitm:s27013,senior,en,N,C,cigarette,cigarette,n.学院；机构；v.创立,n.信号；暗号V.发信号,n.香烟；纸烟,n.乳房，胸部,英[.sigә''ret] ,"[{""k"":""A"", ""v"":""n.学院；机构；v.创立""},{""k"":""B"",""v"":""n.信号；暗号V.发信号""},{""k"":""C"",""v"":""n.香烟；纸烟""},{""k"":""D"",""v"":""n.乳房，胸部""}]","('qitm:s27013','senior','en','N','C','cigarette','cigarette','英[.sigә''ret] ','[{""k"":""A"", ""v"":""n.学院；机构；v.创立""},{""k"":""B"",""v"":""n.信号；暗号V.发信号""},{""k"":""C"",""v"":""n.香烟；纸烟""},{""k"":""D"",""v"":""n.乳房，胸部""}]'),","('qitm:s27013','MEMBER','quiz:s27','{}'),"
