id,seq,type,name,desc,items
qz0001,0001,primary,Quiz First,"For Primary Textbook 1","it0001,it0002,it0003,it0004,it0005,it0006,it0007,it0008,it0009,it0010,it0011,it0012,it0013,it0014,it0015,it0016,it0017,it0018,it0019,it0020,it0021,it0022,it0023,it0024,it0025"
qz0002,0002,primary,Quiz Second,"For Primary Textbook 2","it0001,it0002,it0003,it0004,it0005,it0006,it0007,it0008,it0009,it0010,it0011,it0012,it0013,it0014,it0015,it0016,it0017,it0018,it0019,it0020,it0021,it0022,it0023,it0024,it0025"
qz0003,0003,primary,Quiz Third,"For Primary Textbook 3","it0001,it0002,it0003,it0004,it0005,it0006,it0007,it0008,it0009,it0010,it0011,it0012,it0013,it0014,it0015,it0016,it0017,it0018,it0019,it0020,it0021,it0022,it0023,it0024,it0025"
qz0004,0004,primary,Quiz Fourth,"For Primary Textbook 4","it0001,it0002,it0003,it0004,it0005,it0006,it0007,it0008,it0009,it0010,it0011,it0012,it0013,it0014,it0015,it0016,it0017,it0018,it0019,it0020,it0021,it0022,it0023,it0024,it0025"
qz0005,0005,primary,Quiz Fifth,"For Primary Textbook 5","it0001,it0002,it0003,it0004,it0005,it0006,it0007,it0008,it0009,it0010,it0011,it0012,it0013,it0014,it0015,it0016,it0017,it0018,it0019,it0020,it0021,it0022,it0023,it0024,it0025"
qz0006,0006,primary,Quiz Sixth,"For Primary Textbook 6","it0001,it0002,it0003,it0004,it0005,it0006,it0007,it0008,it0009,it0010,it0011,it0012,it0013,it0014,it0015,it0016,it0017,it0018,it0019,it0020,it0021,it0022,it0023,it0024,it0025"
qz0007,0007,primary,Quiz Seventh,"For Primary Textbook 7","it0001,it0002,it0003,it0004,it0005,it0006,it0007,it0008,it0009,it0010,it0011,it0012,it0013,it0014,it0015,it0016,it0017,it0018,it0019,it0020,it0021,it0022,it0023,it0024,it0025"
qz0008,0008,primary,Quiz Eightth,"For Primary Textbook 8","it0001,it0002,it0003,it0004,it0005,it0006,it0007,it0008,it0009,it0010,it0011,it0012,it0013,it0014,it0015,it0016,it0017,it0018,it0019,it0020,it0021,it0022,it0023,it0024,it0025"
qz0009,0009,primary,Quiz Nineth,"For Primary Textbook 9","it0001,it0002,it0003,it0004,it0005,it0006,it0007,it0008,it0009,it0010,it0011,it0012,it0013,it0014,it0015,it0016,it0017,it0018,it0019,it0020,it0021,it0022,it0023,it0024,it0025"
qz0010,0010,primary,Quiz Tenth,"For Primary Textbook 10","it0001,it0002,it0003,it0004,it0005,it0006,it0007,it0008,it0009,it0010,it0011,it0012,it0013,it0014,it0015,it0016,it0017,it0018,it0019,it0020,it0021,it0022,it0023,it0024,it0025"
