id,type,mchoice,ans,title,desc,opa,opb,opc,opd,ope,opf,opg,oph,,
it0001,primary,N,A,"Summer will end ____ enough, and childhood as well.",desc,soon,later,as soon as,latest,immediately,,,,,
it0002,primary,Y,"B,D","Summer will end ____ enough, and childhood as well.",desc,soon,later,as soon as,latest,immediately,,,,,
it0003,primary,Y,A,"Summer will end ____ enough, and childhood as well.",desc,soon,later,as soon as,latest,immediately,,,,,
it0004,primary,Y,"C,D,E","Summer will end ____ enough, and childhood as well.",desc,soon,later,as soon as,latest,immediately,,,,,
it0005,primary,Y,A,"Summer will end ____ enough, and childhood as well.",desc,soon,later,as soon as,latest,immediately,,,,,
it0006,primary,Y,A,"Summer will end ____ enough, and childhood as well.",desc,soon,later,as soon as,latest,immediately,,,,,
it0007,primary,N,B,"Summer will end ____ enough, and childhood as well.",desc,soon,later,as soon as,latest,immediately,,,,,
it0008,primary,Y,"A,F","Summer will end ____ enough, and childhood as well.",desc,soon,later,as soon as,latest,immediately,,,,,
it0009,primary,Y,A,"Summer will end ____ enough, and childhood as well.",desc,soon,later,as soon as,latest,immediately,,,,,
it0010,primary,Y,A,"Summer will end ____ enough, and childhood as well.",desc,soon,later,as soon as,latest,immediately,,,,,
it0011,primary,N,C,"Summer will end ____ enough, and childhood as well.",desc,soon,later,as soon as,latest,immediately,,,,,
it0012,primary,Y,"A,C,D","Summer will end ____ enough, and childhood as well.",desc,soon,later,as soon as,latest,immediately,,,,,
it0013,primary,Y,A,"Summer will end ____ enough, and childhood as well.",desc,soon,later,as soon as,latest,immediately,,,,,
it0014,primary,Y,A,"Summer will end ____ enough, and childhood as well.",desc,soon,later,as soon as,latest,immediately,,,,,
it0015,primary,Y,A,"Summer will end ____ enough, and childhood as well.",desc,soon,later,as soon as,latest,immediately,,,,,
it0016,primary,Y,A,"Summer will end ____ enough, and childhood as well.",desc,soon,later,as soon as,latest,immediately,,,,,
it0017,primary,Y,A,"Summer will end ____ enough, and childhood as well.",desc,soon,later,as soon as,latest,immediately,,,,,
it0018,primary,N,C,"Summer will end ____ enough, and childhood as well.",desc,soon,later,as soon as,latest,immediately,,,,,
it0019,primary,Y,A,"Summer will end ____ enough, and childhood as well.",desc,soon,later,as soon as,latest,immediately,,,,,
it0020,primary,Y,A,"Summer will end ____ enough, and childhood as well.",desc,soon,later,as soon as,latest,immediately,,,,,
it0021,primary,N,D,"Summer will end ____ enough, and childhood as well.",desc,soon,later,as soon as,latest,immediately,,,,,
it0022,primary,Y,A,"Summer will end ____ enough, and childhood as well.",desc,soon,later,as soon as,latest,immediately,,,,,
it0023,primary,Y,A,"Summer will end ____ enough, and childhood as well.",desc,soon,later,as soon as,latest,immediately,,,,,
it0024,primary,Y,A,"Summer will end ____ enough, and childhood as well.",desc,soon,later,as soon as,latest,immediately,,,,,
it0025,primary,Y,A,"Summer will end ____ enough, and childhood as well.",desc,soon,later,as soon as,latest,immediately,,,,,
