type,seq,uri,name
senior,27,/playlist/magic-ear-8-times/senior/27/master.m3u8,senior 27
senior,26,/playlist/magic-ear-8-times/senior/26/master.m3u8,senior 26
senior,18,/playlist/magic-ear-8-times/senior/18/master.m3u8,senior 18
senior,30,/playlist/magic-ear-8-times/senior/30/master.m3u8,senior 30
senior,24,/playlist/magic-ear-8-times/senior/24/master.m3u8,senior 24
senior,25,/playlist/magic-ear-8-times/senior/25/master.m3u8,senior 25
senior,19,/playlist/magic-ear-8-times/senior/19/master.m3u8,senior 19
senior,21,/playlist/magic-ear-8-times/senior/21/master.m3u8,senior 21
senior,09,/playlist/magic-ear-8-times/senior/09/master.m3u8,senior 09
senior,08,/playlist/magic-ear-8-times/senior/08/master.m3u8,senior 08
senior,20,/playlist/magic-ear-8-times/senior/20/master.m3u8,senior 20
senior,22,/playlist/magic-ear-8-times/senior/22/master.m3u8,senior 22
senior,23,/playlist/magic-ear-8-times/senior/23/master.m3u8,senior 23
senior,06,/playlist/magic-ear-8-times/senior/06/master.m3u8,senior 06
senior,12,/playlist/magic-ear-8-times/senior/12/master.m3u8,senior 12
senior,13,/playlist/magic-ear-8-times/senior/13/master.m3u8,senior 13
senior,07,/playlist/magic-ear-8-times/senior/07/master.m3u8,senior 07
senior,11,/playlist/magic-ear-8-times/senior/11/master.m3u8,senior 11
senior,05,/playlist/magic-ear-8-times/senior/05/master.m3u8,senior 05
senior,04,/playlist/magic-ear-8-times/senior/04/master.m3u8,senior 04
senior,10,/playlist/magic-ear-8-times/senior/10/master.m3u8,senior 10
senior,14,/playlist/magic-ear-8-times/senior/14/master.m3u8,senior 14
senior,28,/playlist/magic-ear-8-times/senior/28/master.m3u8,senior 28
senior,29,/playlist/magic-ear-8-times/senior/29/master.m3u8,senior 29
senior,01,/playlist/magic-ear-8-times/senior/01/master.m3u8,senior 01
senior,15,/playlist/magic-ear-8-times/senior/15/master.m3u8,senior 15
senior,03,/playlist/magic-ear-8-times/senior/03/master.m3u8,senior 03
senior,17,/playlist/magic-ear-8-times/senior/17/master.m3u8,senior 17
senior,16,/playlist/magic-ear-8-times/senior/16/master.m3u8,senior 16
senior,02,/playlist/magic-ear-8-times/senior/02/master.m3u8,senior 02
junior,03,/playlist/magic-ear-8-times/junior/03/master.m3u8,junior 03
junior,17,/playlist/magic-ear-8-times/junior/17/master.m3u8,junior 17
junior,16,/playlist/magic-ear-8-times/junior/16/master.m3u8,junior 16
junior,02,/playlist/magic-ear-8-times/junior/02/master.m3u8,junior 02
junior,14,/playlist/magic-ear-8-times/junior/14/master.m3u8,junior 14
junior,01,/playlist/magic-ear-8-times/junior/01/master.m3u8,junior 01
junior,15,/playlist/magic-ear-8-times/junior/15/master.m3u8,junior 15
junior,11,/playlist/magic-ear-8-times/junior/11/master.m3u8,junior 11
junior,05,/playlist/magic-ear-8-times/junior/05/master.m3u8,junior 05
junior,04,/playlist/magic-ear-8-times/junior/04/master.m3u8,junior 04
junior,10,/playlist/magic-ear-8-times/junior/10/master.m3u8,junior 10
junior,06,/playlist/magic-ear-8-times/junior/06/master.m3u8,junior 06
junior,12,/playlist/magic-ear-8-times/junior/12/master.m3u8,junior 12
junior,13,/playlist/magic-ear-8-times/junior/13/master.m3u8,junior 13
junior,07,/playlist/magic-ear-8-times/junior/07/master.m3u8,junior 07
junior,21,/playlist/magic-ear-8-times/junior/21/master.m3u8,junior 21
junior,09,/playlist/magic-ear-8-times/junior/09/master.m3u8,junior 09
junior,08,/playlist/magic-ear-8-times/junior/08/master.m3u8,junior 08
junior,20,/playlist/magic-ear-8-times/junior/20/master.m3u8,junior 20
junior,18,/playlist/magic-ear-8-times/junior/18/master.m3u8,junior 18
junior,19,/playlist/magic-ear-8-times/junior/19/master.m3u8,junior 19
introduction,2,/playlist/magic-ear-8-times/introduction/2/master.m3u8,introduction 2
introduction,3,/playlist/magic-ear-8-times/introduction/3/master.m3u8,introduction 3
introduction,1,/playlist/magic-ear-8-times/introduction/1/master.m3u8,introduction 1
primary,8,/playlist/magic-ear-8-times/primary/8/master.m3u8,primary 8
primary,4,/playlist/magic-ear-8-times/primary/4/master.m3u8,primary 4
primary,5,/playlist/magic-ear-8-times/primary/5/master.m3u8,primary 5
primary,7,/playlist/magic-ear-8-times/primary/7/master.m3u8,primary 7
primary,6,/playlist/magic-ear-8-times/primary/6/master.m3u8,primary 6
primary,2,/playlist/magic-ear-8-times/primary/2/master.m3u8,primary 2
primary,3,/playlist/magic-ear-8-times/primary/3/master.m3u8,primary 3
primary,1,/playlist/magic-ear-8-times/primary/1/master.m3u8,primary 1
