seq,word,symbol,tense,paraphrase
01/53,guitar,英［gi'ta:(r)］美［gi'tor］,,n.吉他
02/53,illness,英「linos］美「ilnis］,,n.疾病；生病
03/53,record,英「reko:d］美「rekord］,,n.档案；记录；唱片
04/53,skill,英［skil］美［skil］,,n.技能；技巧
05/53,technology,英［tek'nDbdji］H［tek'nalad3i］,,n.技术；工艺
06/53,Canada,英「ksenodo］,,n.加拿大
07/53,homework,美「houmw3rk］,,n.家庭作业；功课
08/53,housework,英「hausw3；k］,,n.家务劳动；家务活
09/53,vacation,英［vo'ke向,,n.假期；休假
10/53,price,英［prais］美［prais］,,n.价格；价钱
11/53,value,英「vaelju:］美「v&lju］,,n.价值；益处
12/53,shoulder,英［丁也也⑻,,n.肩膀；肩部
13/53,scissors,英「sizoz］美「sizorz］,,n.剪刀
14/53,suggestion,^［sa'djestjan］,,n.建议；意见；暗示
15/53,building,英「bildi利美「bildnj］,,n.建筑物；楼房
16/53,health,英［he叨美肥叨,,n.健康；健全；卫生
17/53,keyboard,英［ki:bo:d］,,n.键盘；电子琴
18/53,fiiture,美「kibord］,,n.将来；未来
19/53,prize,英［praiz］美［praiz］,,n.奖赏；奖品
20/53,traffic,英「traefik］美「traefik］,,n.交通；流量
21/53,deal,英［d㈣美［dil］,,n.交易v.分配
22/53,glue,英［glu:］美［glu］,,n.胶水v.粘合
23/53,corner,英「ko:n°(r)］,,n.角；角落
24/53,role,英［mul］美［roul］,,n.作用；角色
25/53,dumpling,英「dAmphij］,,n.饺子；汤
26/53,step,美「dAmplnj］,,n.脚步；台阶v.跨步
27/53,coach,英［kootn美［kootn,,n.教练；家庭教师;经济舱
28/53,classroom,英［kootn美［koot,,n.教室；课堂
29/53,education,英］ed3u'ke向,,n.教育；培养
30/53,result,英［n'zAlt］美［门'ZAltn］,,n.结果；成绩；答案V.结果
31/53,excuse,美「kl&srum］,,n.借口；辩解；v.原谅
32/53,gold,英［g0md］美［goold］,,n.金子；金色a.金的
33/53,treasure,英「tre30（r）］美「在必加爪,,n.金银财宝；财富
34/53,progress,英「prougres］,,n.进步v.进展；进行
35/53,dining,英「dainnj］美［'dami。,,n.进餐；进食
36/53,manager,英「maenidsMr)］,,n.经理；管理者
37/53,experience,H［maemdj^］,,n.经验；经历v.经历
38/53,spirit,英「spirit］美「spirit］,,n.精神，心灵；气质
39/53,neck,英［nek］美［nek］,,n.颈部，脖子
40/53,policeman,英glismon］,,n.警察；巡警
41/53,policewoman,英gli:swumon］,,n.警察；巡警
42/53,guard,英［ga:d］美［gard］,,n.警卫；保卫，保镖
43/53,competition,kumpatijn］,,n.竞争；比赛，竞赛
44/53,sentence,美「smtons］,,n.句子；判决v.判决
45/53,club,英［kL\b］美［kL\b］,,n.俱乐部；会所
46/53,decision,英［di's^n］,,n.决定；决心
47/53,army,英美［armi］,,n.军队；部队
48/53,coffee,英…］美「k冽,,n.咖啡；咖啡色
49/53,truck,英［trAk］美［tTAk］,,n.卡车v.用货车运
50/53,exam,英［ig'z田m］,(examination),n.考试；测验
51/53,scientist,英「saontist］,,n.科学家
52/53,guest,英［gest］美麻st］,,n.客人；嘉宾
53/53,course,英［ko:s］美［kors］,,n.课程；过程；航线
