seq,word,symbol,tense,paraphrase
01/51 can        英[kæn］美[kæn] aux.能够；可以 n.罐头
02/51 look       英[luk]]美[luk] n.看v.观看
03/51 walk       英[wɔ:k］美[wɔk] n.&v•步行：散步
04/51 exercise   英['eksəsaiz］美['eksərsaiz］ n.&v.锻炼；练习
05/51 worry      英['wʌri］ 美['wʒri] n.&v.烦恼，担忧；困扰
06/51 call       英[kɔ:l] 美[kɔl] n.喊；电话 v.称呼；打电话
07/51 stop       英[stɔp］美[stɔp] n.&v.停止
08/51 talk       英 [tɔ:k］美[tɔk] n.&v.谈话；交谈
09/51 travel     英['trævl]［美['trævl］ n.&vi .旅行
10/51 use        英[ju:s］美[jus] n.&vt.利用;使用
11/51 work       英[w3：k］美[w3rk］ n.&v.工作；运转
12/51 dance      英[da:ns］美[dæns］ n.&vi .跳舞
13/51 cook       英[kuk］美[kuk] n.厨师v.做饭
14/51 love       英[lʌv］美[lʌv] n.&vt.爱；热爱
15/51 help       英[help］美[help] n.&vt.帮助
16/51 cry        英[krai］美[krai］ n.哭声v.喊叫；哭
17/51 visit      英['vizit］美['vizit］ n.&vt.参观；访问
18/51 about      英 [əbaut］美[əbaut] ad.大约a.在附近的 prep.关于
19/51 far        英[fa:(r)］美[far］ a.&ad.远的；遥远地 (farther,最高级farthest或further, furthest)
20/51 half       英[ha:f］美[hæf] a.&n.一半
21/51 that       英[ðæt] 美[ðæt] a.&pron.那个 conj. 那 ad.那么
22/51 those      英[ðəuz］美[ðouz] a.&pron.那些
23/51 this       英[ðis］美[ðis] a.&pron.这
24/51 these      英[ði:z］美[ðiz] a.&pron.这些
25/51 white      英[wait］美[hwait］ a.白色的n.白色
26/51 thin       英[θin］美[θin] a.薄的；瘦的
27/51 sad        英[sæd］美[sæd] a难过的；.悲伤的
28/51 ugly       英['ʌgli］美['ʌgli] a.丑陋的
29/51 clever     英[klevə(r)］美['klevə］ a.聪明的；伶俐的
30/51 wrong      英[rɔŋ］美 [rɔŋ] a.错误的；不正常的;坏事
31/51 big        英[big］美[big] a.大的ad.大量地
32/51 short      英[ʃɔ:rt]美[ʃɔrt] a.短的；矮的
33/51 sorry      英['sɔri］美['sɔri］ a.对不起；难过的
34/51 cloudy     英['klaudi］美['klaudi］ a.多云的；阴天的
35/51 tall       英[tɔ:l］美[tɔl] a .高的 a.高的ad.高地
36/51 high       英[hai］美[hai］
37/51 afraid     英[ə'freid］美[ə'fred］ a.害怕的;担心的
38/51 good       英[gud］美[gud] (better, best)a.好;良好
39/51 black      英[blæk］美[blæk] a.黑的n.黑色
40/51 bad        英[bæd］美[bæd] (worse, worst)a.坏的; 严重的n.坏人ad.不好地
41/51 yellow     英['jeləu］美[jelou] a.黄色的
42/51 hungry     英[hʌŋgri］美[hʌŋgri］a.饥饿的
43/51 healthy    英[helθi］美['helθi］a.健康的
44/51 near       英[niə(r)］美[nir］a.近的
45/51 wonderful  英[wʌndəfl］ 美[wʌndərfl] a.精彩的；了不起的
46/51 open       英[oopon|美[oopon］a.开着的vt.打开
47/51 fast       英[fa:st］美[fæst］a.快的，迅速的ad.迅速地
48/51 old        英 [əuld］美[ould] a.老的，旧的
49/51 cold       英[kəut］美[kout］a.冷的n.寒冷；感冒
50/51 cool       英[ku:l］美[kul] a.凉爽的；酷
51/51 all        英[ɔ:l］美[ɔl] a.全部的pron.全部ad.全部地n.全体
