seq,word,symbol,tense,paraphrase
01/51,playground,英[pleigraond]^［ple.graond],,n.操场
02/51,grass,英[gias]美[græs],,n.草；草地
03/51,toilet,英[toibt]美[toibt],,n.厕所
04/51,tea,英[注]美[网],,n.茶，茶叶
05/51,supermarket,英[su:poma:kit]美[Hf'suponnarkot],,n.超级市场，超市
06/51,city,英[siti]美[、ti],,n.城市
07/51,taxi,英[taksi]美[t2eksi],,n.出租汽车
08/51,kitchen,英[kijin]美[],,n.厨房
09/51,ship,英[Lf】p]美[M],,n.船v.用船装运
10/51,window,英[wind。]可美[windoo],,n.窗户
11/51,bed,英[bed]美[版d],,n.床
12/51,spring,英[spriij]美[spnq],,n.春天：泉水
13/51,word,英[w3：d]美[w3『d],,n.词，单词；话
14/51,bag,英[beg]美[bag],,n.袋，包
15/51,egg,英[eg]美[囿],,n.蛋；卵
16/51,cake,英[keik]美[keik],,n.蛋糕；饼
17/51,rice,英[rais]美[rais],,n.稻米；米饭
18/51,place,英[pleis]美[pies],,n.地方v.放置
19/51,floor,英[fb(r)]美[fhr],,n.地面；楼层
20/51,map,英[mæp]美[map],,n.地图
21/51,film,英[film]美[film],,n.电影
22/51,cinema,英[sinnm]美[sinoma],,n.电影院；电影
23/51,computer,英[knmpju:匕(r)]美[ksm'pjut》],,n.电脑，电子计算机
24/51,email,英[]美[imeil],,n.电子邮件v.发电子邮件
25/51,winter,英[winto(r)]美[winl»],,n.冬天
26/51,animal,英[asniml]美[ænomol],,n.动物a.动物的
27/51,zoo,英[zu:]美[zu],,n.动物园
28/51,shorts,英由闾美Lfbrts],,n.短裤
29/51,socks,英[saks]美[soks],,n.短袜
30/51,car,英[网川]美[时],,n.耳朵；听力
31/51,room,英[ru:m]美[rum],,n.房间；空间
32/51,house,英[haos]美[haos],,n.房子：住宅
33/51,fly,英[flai]美[flai],,n.飞行；苍蝇
34/51,plane,英[plem]美[plen],,n.飞机
35/51,minute,英[minit]美[mmit],,n.分钟；一会儿
36/51,kite,英[kail]美[kail],,n.风筝
37/51,Mrs.,英[misiz]美[misiz],(mistrcss),n.夫人
38/51,parent,英[peorant]美[peront],,n.父母，双亲
39/51,father,英[fij：6o(r)]美[],,n.父亲
40/51,woman,英[womon]美[woman],(复women),n.妇女；女人
41/51,pen,英[pen]美[pen],,n.钢笔，笔
42/51,song,英[SD9]美[S吨],,n.歌唱；歌曲
43/51,worker,英[W3：ko(r)],,n.工人；工作者
44/51,bus,美[W3[ko(r)]英[bAS]美[bAS],,n.公共汽车，大巴车
45/51,park,英[pa:k]美[pork],,n.公园v.停车
46/51,dog,英[dDg]美[dog],,n.狗
47/51,story,英[stxri]美[stori],,n.故事，小说
48/51,light,英[lait]美,,n.光；灯v.点火a.明亮的
49/51,child,英[tjaild]美曲ild],(复children),n.孩子；儿童
50/51,box,英[bDks]美[baks],,n.盒子v.拳击
51/51,blackboard,英[bkekbrd]美[bkekbord],,n.黑5,
