seq,word,symbol,tense,paraphrase
01/51,mental,英［mentl］美「msntl］,,a.精神的；思想的;心智的
02/51,vast,英［vast］美［v&st］,,a.巨大的;广阔的;
03/51,enormous,英［I'rKxmos］,,a.巨大的；庞大的;巨额的
04/51,concrete,英「kDDkri用美「kagkrit］,,a.具体的n.混凝土
05/51,military,英「mhotri］美「miEeri］,,a.军事的；军用的;军队的
06/51,visible,英「vizobl］美「vizob刈,,a.看得见的；明显的
07/51,visual,英「VI3U的美［VBUH］,,a.看得见的；可视的;视觉的
08/51,scientific,英［saion'tifik］,,a.科学的；科学化的;系统的
09/51,adorable,英Qdombl］,,a.可爱的；可崇拜的;迷人的
10/51,reliable,英［rflainbl］,,a.可靠的；可信赖的
11/51,available,英［o'veibbl］,,a.可用的；可得到的;有空的
12/51,eager,英「i；go(。］美［ig»］,,a.渴望的；热切的
13/51,positive,英「pDzotiv］美「pQzctiv,,a.阳性的；积极的；正面的;
14/51,blank,英血我亦］美［bl网k］,,a.空白的n.空白
15/51,generous,英［djenms］,,a.慷慨的；大方的;丰盛的
16/51,broad,英［bro:d］美［brod］,,a.宽阔的；广泛的
17/51,loose,英口心］美［㈣,,a.宽松的ad.散漫地V.释放
18/51,romantic,英［rou'meentik］,,a.浪漫的；传奇式的
19/51,optimistic,英［Dpti'mistik］,,a.乐观（主义）的；看好的
20/51,comprehension,^［komprihenjh］,,n.理解（力）；领悟（力）
21/51,ideal,英［aid:训美［ai'diol］,,a.理想的；完美的n.理想
22/51,instant,英「instnnt］美［'instant］,,a.立即的；即食的，速溶的n.瞬间
23/51,exceptional,英［ik'sepjbnl］,,a.例外的；异常的；超常的
24/51,polar,英］'p3ub(r)］,,a.两极的；极地的
25/51,amazing,英©meiziij］,,a.令人惊异的
26/51,horrible,英［'hDrobI］美,,a.可怕的；极讨厌的;恐怖的
27/51,pleasant,英「pleznt］美［plezont］,,a.令人愉快的；友好的
28/51,fluent,英［'flu:。叫美［'加:前,,a.流利的；流畅的
29/51,logical,英「k）d3】kl］美口（1由次1］,,a.逻辑的；符合逻辑的
30/51,contradictory,英［kDntmdktori］,,a.矛盾的；对立的
31/51,annual,英「aenju川美「arnjgl］,,a.每年的，年度的n.年刊
32/51,weekly,英「wikli］美［wikli］,,a.每星期的ad.每周一次n.周刊
33/51,monthly,英［mAnOli］美「mAneii］,,a.每月的ad.每月一次n.月刊
34/51,slim,英［slim］美［slim］,,a.苗条的；微小的v.减肥
35/51,sensitive,英「sensotiv］,,a.敏感的；灵敏的
36/51,plain,英［plem］美［plen］,,a.简单的;朴素的n.平原
37/51,specific,英［spo'sifik］,,a.明确的；具体的:特定的
38/51,internal,英［in't3；nl］美［in't3rnl］,,a.内部的；国内的
39/51,inner,英美,,a.里面的，内部的:内心的
40/51,comprehensiv,e^［.kompn'hensiv］,,a.综合的；全面的;广泛的
41/51,senior,英］sE0(r)］美］,,a.年长的；地位较高的n.毕业班学生
42/51,critical,英「kntikl］美「kntiksl］,,a.批评的；临界的；关键的
43/51,flat,英［flaet］美［flaet］,,a.平坦的ad.平直地n.BrE公寓
44/51,ordinary,英［'o:dnri］美「ardneri］,,a.普通的；平凡的;平庸的
45/51,odd,英［Dd］美［ad］,,a.奇数的；奇怪的
46/51,organic,英［a'gaenik］,,a.有机的；器官的;有组织的
47/51,humble,英「hAmbl］美［hAmbnl］,,a.谦卑的;低下的;简陋的
48/51,consistent,英［kon'sistont］,,a.一致的;稳定的;持续的
49/51,potential,英(poteiW］,,a.潜在的；可能的n.潜能
50/51,shallow,英「网刈美［Jaelou］,,a.浅的；肤浅的
51/51,intense,英［intens］美［int£ns］,,a.强烈的；激烈的;紧锣密鼓的
